exquickxfw,fzslsrtutu,ntrkuhcgja,qlcyphuikp,pEt,nitzlzmkzd,wqnimqxvts
-0.123,-456,-0.3935,-0.431,Cat,-0.0735,tnlrsaqpxn
-951,-0.138,-372,346,CAT,0.2325,kzqviqovov
0.2475,cat,219,caT,CaT,413,-0.3625
-742,yhkpcovikf,DOg,-0.2405,CAt,-404,-840
0.231,-384,dfgjulkxos,grmefzqgkd,dOG,cAT,136
844,dOG,-0.2905,kmrwclsdtw,-0.3355,935,hjcgrpnvad
hnfbqkbfly,doG,839,0.4265,dOg,qizwdyvhbi,caT
bfhjqcdqvc,yqybhoggin,imxbdxdkxc,-799,0.363,574,hbhlikgilv
-0.072,-760,0.0605,xxakzaxmrx,Dog,910,eoavitwjcw
-283,-780,kfpwcffxwa,-0.169,cat,ndlrecryoy,0.0675
-792,-736,-0.359,doG,CAt,0.1715,-0.009
327,-0.224,-0.29,djdoyrsiih,-956,yzgbandgzk,0.1665
mlkvyrkigp,0.2325,902,0.4905,dog,0.035,DOg
pagtshresp,mbszmxmesa,dOG,fvsgamyvdz,CAt,703,ffjuyjhwhy
0.219,-160,CAT,epjbdkfrkg,-0.017,usabcasbxq,-641
-391,cat,xcugvxtphn,Dog,CaT,765,diwrmjnujd
