ygnjwxyqtp,wabqfvwtam,hlbbolcguo,eaicwsvzpn,keppxphdqo,exueitjmlo,iiiqeodgpz
dOG,0.3245,yfhwsycrlv,672,-0.195,dOG,982
11,-602,475,0.2845,-0.091,0.093,0.115
rtoccmznfe,-873,rjnclleayy,dOG,caT,492,0.3125
-0.2275,-937,-133,-0.0545,-0.201,0.266,346
304,-934,ihbjecahkd,CaT,dog,0.4375,-366
cfgagbuftc,114,0.4645,CAT,icbzagywlf,0.481,tsqjflqwgs
0.252,-138,cat,-0.1175,-0.0175,usrdfkzzhd,-523
dog,-620,gnvobkwtle,cwzkutbwmt,caT,Dog,0.374
0.108,17,640,DOG,623,mxgqbdyagv,uxdkkuyymx
0.2495,yzuzzijimg,-0.1345,cwwdgsuoij,-623,CAt,554
-551,xknqaeqzkd,-933,ixzpmffokc,vkqlxhtdwc,cat,CAt
caT,-647,-947,-728,0.2285,910,exfkuajlnu
DOG,niwubzhraw,0.0145,-62,0.0615,-342,dOG
0.142,dog,-0.498,-20,cAt,CAt,Dog
-659,0.3245,0.397,Cat,517,-0.3255,119
caT,wdpksfeypz,ygiszjfypi,197,844,-785,cat
ntxjnfncvn,512,-0.2875,-0.04,-0.027,-0.306,-301
0.049,dog,0.2955,fgryoukzox,0.1735,-0.178,CaT
388,0.422,cat,ttzwbyehqv,cAT,289,272
-419,caT,-0.3505,-460,0.0375,nvwbnfnocs,DOG
cAT,253,905,0.327,Dog,-0.3415,wbyipxmvpn
980,-0.098,315,dOG,iyxxzoropw,0.027,CAT
-0.0135,wskdhbmdmp,dOG,xtabbsqsqz,DOG,caT,0.283
