jiuicgxwwk,emmwclxceu,rhpjuplofc
580,Dog,yjbzemczyb
-499,0.2385,-0.393
dtiwibfqek,DOg,CaT
-347,-0.1505,Dog
aysblvanul,gvopgezeek,ifswdxeiee
ozkinwoufx,-213,703
0.0865,-686,178
-153,351,zbamyrvbhs
CAT,167,550
CAT,0.194,411
wvqtpidgxb,-0.096,dOG
dOG,0.4565,ydgqpyinnd
-107,gmpnicgnow,0.32
0.49,-698,196
665,zguahhksvs,-389
fuwiiquvxs,-203,xyqwatepxl
0.0735,-192,-0.1495
-0.4135,CAT,67
0.495,534,-904
lgoexxqipw,0.2585,Cat
-877,0.003,cuqoffrdzb
-0.4645,nbixdtiznm,tgapzytlob
244,-0.0785,840
-0.427,323,knwayyinvt
doG,-0.2195,178
thfgedztzz,dOG,-617
-819,cAt,hunifpzgyv
-468,cat,xsfuccsxas
litbibcinu,105,-746
