isjkfldhwr,lcgoqbunvc,shrdowrtkd,mfkiwegbzc,pet
-376,dyjsgnfkvv,9,0.142,cAt
oqijiuydfd,-733,-998,ezsdplmvdh,dOg
Cat,0.254,415,555,dog
-0.46,ddtsaxtzqz,-0.416,-519,cat
576,-826,-0.2015,yzsiegtgse,caT
355,-0.4615,dog,0.0475,DOG
338,0.097,ibztomclqq,0.372,cat
927,0.456,-439,-0.235,CAt
DoG,cat,CAT,bgeoktaxpi,DOg
0.1685,-965,ilhcdtdrab,-260,DOG
Dog,CAT,yoljfopkom,encjckobyu,dog
-0.2985,dOG,xxznxxllkg,450,dOg
dOg,0.094,fsupsawxhe,nffkuemeek,-75
gpvfauwwlr,767,202,222,dOG
-0.4355,-0.356,-0.13,zefyrjgapu,CAT
Dog,0.3515,272,dOg,CAt
dog,-0.195,khfdgbwrds,cat,781
-0.1425,-0.231,839,-755,CaT
wgbawkqxtr,-0.39,-974,735,doG
caT,zgwsosmwai,-129,vwvaboktte,dOg
-15,89,922,650,CAt
poqsnyqnks,-755,-0.3545,413,CAT
ecazeqeslm,0.046,ahintzrrni,zpjjwnonrf,-0.1945
-0.3415,-0.3315,cAt,334,uqaruwccpe
990,CaT,doG,-0.2295,CaT
0.2745,877,-0.2505,qbyguhhasn,0.4005
0.0285,0.1175,-0.1945,jxovocjljd,-665
-0.1035,0.3695,-0.3885,-0.086,CaT
doG,ojfkdnspyq,aqyqscklmt,fkimdiwlww,249
vcfxhbofsh,tyuknypnhq,doG,-0.1225,dOg
-0.1675,643,jzcfhliwud,DoG,motjtamfvr
-0.19,-0.446,0.391,cAt,Cat
0.4475,0.0715,-0.4625,cAT,Dog
oxbkxyrerr,bhrlstdtiq,DOg,okurzxdagk,Dog
-414,cAt,-0.164,ponquidjzx,dog
0.356,-872,0.109,xidugffxvh,DOg
dOg,0.478,zitwdxrkln,dog,cegqoaumlv
425,cpdaoquvrh,-0.2035,-0.0885,0.1035
-365,-383,hnelespfif,-219,CAt
clhadxvgmu,DOG,-633,-0.458,-0.121
cjhtnnohyt,-0.263,0.4145,409,doG
cat,556,symevclgjq,CAT,DOg
-379,zhpkzdfyzf,deyrfcvvvl,dqsurcvibp,Cat
tncthnrkdm,0.188,-854,0.1835,Cat
