pvmgksegbd,PET,ggcepfbshr,snziobysjm,wpjaralwlz,blncownzuv,gwunneecvx
rictosendj,DoG,-154,doG,-855,Cat,zocyfbmauh
bzpvasygfr,dog,DOg,-609,-0.0745,125,0.2395
CAt,DOG,20,hegvkuggmg,-0.075,-588,0.2615
swzhednxia,Dog,658,dOg,mirveajaai,275,-0.4265
-543,-391,ffruhbryda,0.026,xrihjwextw,-123,-883
-0.037,DOg,wxiabflhue,qfeixegtyw,-0.1295,DOg,0.176
votfqbpyry,doG,pdpbuppqns,dog,dygetyjybc,zmtbsrokdy,-450
mvnlezdkne,-780,0.416,Dog,-0.398,495,Dog
dog,cat,-0.034,DoG,0.4005,hjlisntgpy,dog
-326,DOg,-79,302,0.0835,-389,-480
dog,cat,CaT,-0.3975,465,-89,orinatijwh
DOg,dOG,jaaxjheize,oczrndsdon,kqwkiqxned,592,DOG
976,dOg,-0.495,-0.4355,xldiwtvwfu,-0.3185,-0.001
cat,0.22,0.0995,-0.1455,-0.2545,-304,doG
0.1805,-624,cat,819,DOg,DOG,tgzswammaf
dOG,doG,767,dOg,0.0645,dbrxwhwiyq,0.151
886,iewgjsvofc,DOg,kxqdrmjkus,-664,-0.2305,0.422
-0.163,CAt,-0.016,xasheredbi,0.071,dOg,nycmhynrja
-0.0275,dkzfuuaqiw,kkubeibrxj,kmkvaujhoo,CAt,154,DOG
-766,-0.391,394,0.484,-385,iwfeqcawnm,cwudhsishw
doxwnpzllp,110,pyhakuavsf,DOg,723,-0.3485,0.281
0.333,dog,132,731,-233,0.2995,0.4885
cat,cAT,0.009,nazzsccvqm,cAt,uqewzgsrmi,-495
cAT,perwfdwyxw,dOg,0.2565,0.4855,-472,-782
-0.16,cAT,ksftwtkqsx,-0.2885,-137,0.188,0.1025
-0.1075,cAt,nkfatswyyo,dOG,-0.179,DoG,-0.2895
owbqrllpqg,CAT,htvfrvrepj,mztzmutdqq,0.341,bknnmcrsgr,714
qsccjnovut,dog,434,-0.056,-0.42,ybuhxarjje,0.161
-926,cAt,854,jyeokuvuso,mxcbclvwvt,0.4245,DOG
802,dOG,-140,pdfdcmjpbf,531,wccdbskdff,275
cat,DOg,doG,0.456,wbvlxjnsdu,rvyigczfnl,-234
yglowhmlcg,dOG,-927,xllzlboqvy,CaT,-396,pbgzvdqkfr
DoG,ftzcolbfie,-866,tcsfgmvywo,tqgueuzxxv,cAt,zauvmnlcov
pqigftsutk,CaT,-0.0475,-280,0.3775,DOG,-271
-0.107,doG,yrqodndmvb,CaT,quigzwcetk,-428,130
510,dog,940,hcgpmimsbo,-853,0.021,Cat
xuddoiwbwh,wiizyvokie,sjkrhridcr,-0.0205,-198,175,jwvqampbxp
njncdtdemp,dOg,tsxizxjync,730,0.481,cat,ywsokamlxa
caT,caT,bnnjkjqrdt,cAt,-28,dOg,0.1195
0.088,dOg,xijhasmbdz,0.1025,cjnbmkgpjh,-0.0245,0.088
-208,doG,cyhslzjpge,-0.0475,Dog,zbjbzshzqx,-343
-0.088,Dog,544,0.0965,DoG,717,mhmexnmlrm
0.1325,dOg,-0.311,-146,-746,zaoirwqbhq,kzogieqscg
CAT,dOG,vezyuqbwko,0.271,-545,hicffgrjqc,upnknfeawa
13,CAT,0.1965,Cat,cAT,hmexqvolrh,0.4275
ybzegfzbzc,rqgpwxcanl,-0.359,-0.4105,252,-0.2465,-342
ukfeunjhbq,cAT,-0.357,mpjtkmiklr,0.2245,cat,caT
7,DOG,cAT,ofutcjmuyx,lvgebclnyu,-0.164,427
qupxmbohhs,-451,304,-0.1925,-0.027,0.289,vknwhklmjx
-0.0335,Dog,-0.0025,Dog,-0.2315,CAT,wjylynrrrm
qojiskadyq,caT,CAT,-0.1955,0.3755,CAt,-0.2045
