cgwbffesqk,ihletmdhow,xjuuforxsp,peT,hynxevpvtt
cAt,dog,-0.449,-656,-439
0.0,628,fntwpywmxh,dog,760
bpszxjqyxo,116,udobzdqtxn,DOG,ptyxbabyxs
cAT,DoG,0.404,Cat,0.41
pxrszytmlk,uutokmzsfw,DOG,Cat,-0.334
qbvleyoicd,0.3025,jdvntbjcsf,DOg,478
tiheewpfka,0.3735,-885,cAt,0.0575
-343,-0.2785,-0.129,lncfenpnye,517
-45,CaT,0.204,DOg,CAT
-0.456,0.2145,CAt,DOg,0.2805
464,cAt,DOg,dog,fvllvvrted
DOG,-0.0415,-60,meqwbybxfq,-0.441
-0.4255,bxwibietic,doG,CaT,-0.14
284,CAt,cAT,dOG,0.2475
dOG,-214,-791,CAt,0.2575
esmygqpfiu,499,-0.3625,dog,822
-0.054,ipgrklqtew,jhizinmmkt,Dog,davilisjhd
0.422,CaT,-0.18,CAT,khofgiuscj
anbuauybim,CAT,zyxtxicecj,dOg,huplknqokz
-0.3705,440,-478,270,scqtffdagb
635,lggochonoe,cgqxbzqbxj,DOG,eohisylcan
jqrjddsnrj,-775,ipnutsjujd,cAT,DOG
iqocwomrhv,jjfjntvhzj,-0.4055,doG,pngdobkpzc
CaT,-0.319,wabjmqmnjr,-0.0345,-56
-779,bgzbypugbk,0.374,CAT,230
fbkpaivyul,763,dog,kpqtmulxvu,-0.3355
0.1935,-303,kbgakzykrx,-0.0795,-217
cAt,otzrbyrslb,DOg,Cat,0.2685
kgrasstzle,rakoibmroo,462,cAt,-0.471
-841,-595,-45,cAt,DOG
cAt,igeavlrkwc,359,-152,dOG
mgovslsbnp,-1000,pazkikjzso,blbkdbmppm,89
616,dOg,qcrilajvvo,Dog,dmthdlgoxn
-896,220,0.1835,kwnskhyvsy,DoG
orkgnginxm,525,476,-0.193,dOg
dOG,-552,-249,dOg,caT
-103,mxsqassaxf,doG,cAt,-97
blbodevsuk,ohuggscaxf,-473,cAt,-0.2665
283,-0.367,-945,CAT,CAt
Cat,hxqpsougvp,nkfxglrgie,cAt,-243
xhpstkldfr,0,-447,cAt,0.182
-344,-0.284,573,doG,quzztgokbf
-274,128,dog,DOg,-0.399
-96,iclidsjyyv,igapxckdmr,460,644
gsnyjzzgik,-0.04,qxmlqjbaca,DOg,ofemafnnei
-48,qpmpplrwbt,whctyucdmt,820,cAt
0.168,btgplvfede,anonwljlyx,CaT,-0.093
0.4265,zmsvsueyza,cuvzejbzkr,ifeyqrbjiv,bjjkasjfft
-0.084,cAt,545,cat,-0.004
371,DOg,vpzusujehy,ksfgqchkxd,-201
884,qkvouerisy,DoG,DoG,mjtrxgaped
446,-0.2585,wphrbdradf,cAT,-0.331
0.1455,0.2205,dOG,DoG,-732
spuaksdknu,DOG,0.1905,CAT,0.4375
edcqagjjzr,vtmmsjwftp,-0.251,CAt,207
jnxrtxefnm,0.436,0.4525,Cat,gybcpgpyaf
0.054,biygnafqov,mvwtkgywkr,sfrdfplrto,amtlpngbfj
-322,0.175,0.1535,-771,203
-0.0535,-540,-0.0485,eizogsnawb,-0.2605
xrnacdowgq,0.2605,669,-765,sxpskmashl
rlwvhqcswp,-0.0945,-0.217,Cat,0.206
ajymedvlwx,-0.2815,Dog,cAt,byjejtoqui
-0.0555,fjortxbvjq,0.499,doG,bnxiichwlg
0.129,zxoiiixrxg,splcdoqkqp,DoG,-0.0595
