cgimwsuraa,iwrgcuqgsa,oponlfwosf,whcsgkucia,xnecnljltx,ppujbbhvun,fztyrxekow
Cat,jvqbrwnsvl,-393,769,hgkgskzfho,caT,nnsehnlcce
-82,DoG,-978,CAt,-202,-217,eytwbtpqnx
640,dkrstmwibh,efnognipgr,grkwwuacte,dcdauffrae,661,CaT
0.2085,0.341,-0.4085,0.043,-465,-0.074,0.0535
704,CAT,mqtypiuued,doG,0.011,61,pmiguvilys
-877,cAt,483,941,iplbdfejfb,-0.4985,0.089
-159,cAt,0.3475,gbexwwyqmz,-0.277,-0.2325,-0.398
0.0605,jrlbvnmcvo,Cat,666,wtkdarwrif,0.473,25
caT,0.449,Dog,-0.109,-117,25,Dog
-633,soiyuatydd,gzsryzhxwb,kjrzcebswr,0.2595,-520,-707
-989,307,-970,-880,0.0215,-0.0995,fannyiwmha
ogqythmjsw,0.2185,-315,-0.071,160,0.2955,-860
chdrquwrmo,0.168,inxenermpt,0.303,qjgomdwbur,-11,-653
0.2575,cat,gissfvrbpw,akdvmlakpe,-0.3785,CAt,bcpkyfnuva
pcjzbxofku,cAT,0.2425,0.325,-217,-141,caT
gfnvcnwqth,cwbmbsmyfr,dvnpgqjftu,548,-0.1095,krnpetoime,-0.058
csnjucebly,dog,0.092,0.38,0.413,-570,DOG
0.291,0.218,252,CAT,kasyhkqdkn,cat,-890
vdglmgpvvg,0.331,-843,DoG,0.03,apwkwaeokq,CAt
cvbittafsa,-0.2695,qsjptnbkur,-0.412,-0.423,dOg,-0.1335
56,61,doG,emutvxfgdn,-63,0.1895,0.257
xtalgxikmf,-0.3245,fetzspqlip,DOg,532,-65,0.1175
-0.323,-0.3825,-740,hoakyumevf,-0.0035,DOg,-0.065
toqcynxnrn,wcbtckiucp,-681,mdwldklohu,0.4565,DOg,-490
wgrvpgrzms,dOG,ynxdjykiyv,CAt,-0.4715,395,CAt
momewllpqa,xrryyupnis,dOg,lwnrkwnqon,tytwolbkjb,-232,xfmcraybvi
-0.022,0.2075,274,-481,-0.1155,-917,-0.3835
DoG,-974,lbkftyuumi,DOG,-363,0.074,-842
-0.383,hrpkexvsar,cAT,CAT,qxbdgakbtv,300,-662
397,hcjwgaztzo,-799,0.1635,jshtcouklj,CAt,-0.12
-115,defsqmhmsu,wmlzksgknu,zzraciflmb,doG,jahrkogfad,0.4575
-0.401,hrkiflxchg,dog,-0.3265,0.1985,-0.084,doG
cAT,CAT,Cat,mhlbhmifvs,898,399,0.186
idhdhstcrf,fwpnoznesh,CAt,dktqsnzpdh,-0.064,0.3675,0.4265
0.3025,804,0.21,xwnfbhtkkv,vbdsqnjdvc,dog,0.3535
0.239,ayxogezmeu,-669,xbfgevtylp,uspaxjcpqv,-0.3235,yjhqpbhrrv
915,dOG,-0.2705,DOg,607,ycipgvsdgk,-0.338
-305,0.065,azddtgjdlp,dllmpibtgk,igcqvvgzll,0.0355,-253
jjowkhtplc,-131,0.4935,pqpqkhrmep,-0.334,xlwkawbwzo,hrnelspmrt
vlxcrvlfml,sgkcujeyda,-357,415,-964,-0.383,fpptccsxdn
0.2635,0.16,jfgcsovque,CaT,Cat,-233,eymwyfzvvc
spfccvdpuv,-307,cat,-0.155,wyyhzwvjnz,mbvyzslxmu,doG
440,Cat,612,bvwtdkxxpe,clbpknaqqg,spamcjdzjs,ssnxjwskhf
