PeT,uudrxhkuax,sqtcvjuvwb,ygihsmqqav,pbtbbrhjxt
Cat,caT,xasovlmykl,DOG,qreimelhni
-663,-0.094,dog,-0.324,563
Cat,Dog,plizptydtz,342,xlrxszwmvw
dog,caT,438,-0.268,-0.1025
-0.05,-0.312,CAT,983,958
dOg,-680,0.1605,-0.1895,-0.17
xujdazzxcl,-423,-0.089,-0.258,DOG
dOG,kxqynxiwiz,-313,updglymxtw,-908
-498,doG,0.372,-0.3965,259
DOg,499,0.2045,0.217,cat
CAT,dOg,-0.4595,-890,-0.1675
-289,0.3755,465,68,0.028
ffwemobeuc,smqzinyrmb,yrvkutpvbd,alizdjuexx,0.2095
dOG,-687,cat,wasbzxcqga,yvlwfmeyxx
-0.261,-678,CaT,120,ngvmgmdbvv
caT,0.361,bolbefaswd,-711,-542
dOg,-400,lmxkdzxlkd,cat,-555
0.3475,bmfmrrvvjc,254,nicsnguoka,-0.165
CAT,dog,klrilnrktb,tclubavjzq,cat
