leayqsybiq,cuubwnjmlo,nnpsgutmuv
dOg,-0.349,qpnuuegmbf
yuuoklgqzm,nojysritba,-0.2615
epmbociwvp,cat,-204
dog,htjxmfskqv,mbqfgcoukp
-0.207,-0.0805,-0.3975
553,0.298,0.3985
0.4215,DOG,284
-0.2555,0.425,fysguyamht
cat,dutuekeoap,0.403
724,-0.309,Dog
379,0.087,177
CaT,0.0995,cAT
-0.051,cAT,689
jzasizhmfk,spszluegqv,0.3735
dog,cAT,ypvzcqewto
0.2425,CAT,foqxcuqaev
wyyzrytvwt,0.2345,56
-0.4185,0.43,342
187,-39,0.468
0.2465,cAt,cAT
826,dog,sjpfrdwsds
3,vqbfyaskuh,44
0.4795,0.484,DoG
mkksapjhnh,kiotbxsens,-0.185
