fsdqmqiwne,pEt,muccywehvr,ifbiwkflyn
555,CAt,-0.3715,bffrbmzbzx
925,cat,CAt,-0.355
rkrodynfsm,CAT,0.384,272
-0.316,dog,gtfeffbubt,114
402,-158,-621,41
oimfgkxoll,Cat,0.0805,orshohagad
dOG,DOG,CAT,-628
icszkhkpyf,Dog,cAt,339
-0.3455,-397,0.0525,cAt
700,cat,DOg,-829
-835,-0.489,dafsahfwqe,cAT
0.001,doG,0.135,mjudvjdoos
gquwzcfhyq,CaT,-0.36,szdupxbmzo
-0.2765,doG,mjjjsewkfh,qyqieubagt
riolgwibrn,Cat,-0.3235,-0.2975
0.1345,dOg,xblsgakhqn,caT
dog,cat,947,616
qmlnthiotr,503,hulbexzyes,ukgqezuwxm
-0.134,Cat,-506,Dog
-0.4845,-698,917,CAt
825,isfgoewqgj,936,-0.485
yqfwvapifu,DOg,eozkbkakxu,cAt
-0.345,doG,-0.0105,urrsgelowz
CaT,cat,afflkdpmkc,kgrkqotkwd
-0.3505,0.1815,-0.3165,-292
-0.2675,caT,0.2265,DOG
-503,dOg,-0.401,ijwnzwduri
-0.4055,352,vpwaqpyznl,-115
937,-0.432,zpgdufvsvy,-0.189
xryqfksgkj,0.058,-0.389,-0.334
380,-365,0.4285,-329
-0.3545,CAT,rszhcinzky,niccqxeuzy
dog,DoG,tqagovdtpg,imwemjltul
dog,-236,-0.436,250
DOg,514,-981,-517
skvwupdgbk,-562,940,-170
kkpznypkhq,318,nhmclbqhzg,859
jqvkathvtw,DOg,0.251,0.1445
doG,689,0.109,-0.344
dOg,Dog,yuhwtcgfwe,402
994,CAT,311,399
-0.1645,cAt,-0.4195,tklkkquzsl
291,CAT,kggeyzwemm,-0.199
Dog,DoG,-0.1905,dcoffugdpe
948,Cat,727,0.2795
caT,CAt,611,nibjhyeslp
cAT,caT,-310,-0.38
-0.494,CaT,svejbdvglu,ozwzcgkbtw
-579,caT,0.321,jkvyaqzjxy
0.16,Dog,-0.0015,ixmsonyprc
-0.392,0.1505,612,338
-398,-443,qrdlszflkz,688
DOG,cAT,-0.3575,-181
-49,doG,-275,-980
avnrikftfu,-749,-0.3595,-0.4815
hpbfonqyjd,0.38,-335,0.4045
-434,caT,830,282
-0.0045,CAT,zqzslzmxod,CAT
-0.487,bkvrbvusuz,-0.348,364
DOG,dOg,16,-548
zkxlschiaz,CaT,56,dOg
0.26,0.197,0.0065,168
-666,CAt,CAT,0.0495
-0.419,CAT,ghtdrvkcum,Cat
prnkeolbra,doG,537,-0.4495
-497,DOg,fyumjpicqo,722
900,CAT,xykvemhpyd,0.4685
919,dOG,0.017,dog
-787,DoG,xerolstfvu,-0.397
fvzshgckxy,doG,0.1215,-50
0.176,zddwgxttvt,-0.164,-128
-0.3105,CAT,cAt,-731
863,doG,tjbnetksfd,hludsojmnw
cAT,dog,0.043,0.0725
