Pet,ggdwaxdhyb,soqmtolryk,abbhetvkyl
CAt,0.0255,asrgnpsduu,djtilimrxv
CAt,-484,0.3395,0.203
CAt,obtsejxnqj,bmfqpxhdyf,293
DOG,-371,fiodaopuup,gdorexscml
CAT,CAT,355,DOg
0.4525,0.311,-0.063,-269
DOG,vmhhpkazxw,-715,-803
708,-765,0.0935,CaT
CaT,fxrvpbxltg,tfyufratjq,509
llfqcfuvxw,-434,0.1185,-618
496,-649,tnjixmcclh,DOg
dOg,fijhybdbxf,CaT,CaT
CAT,-161,-371,dOG
doG,CaT,iejjposbec,-0.15
DOg,968,otrxhnsmjx,-0.015
cAT,-0.2,dOg,ssipifbanl
CAT,xudmvxxvcu,awbtjnzuue,0.202
cAT,doG,-522,-0.121
dOG,cAT,-0.4485,cvrtopyklo
328,qxpnzwgfkp,-938,-811
CAT,dOg,cat,0.0855
cAT,wxjxqgjulo,-0.06,yyitsmifdw
CaT,ygdtcxitdl,dknfopruko,0.0185
doG,otlgdxnjsp,-197,133
dOg,-635,0.3335,-702
-0.2615,dOg,-0.3865,684
cAT,-305,0.114,cAt
-0.115,jhkrkdqtmc,780,-0.236
949,esalgtcyqe,-0.033,cAT
cat,wgwaloqrjr,jexsbzpqwk,0.317
DoG,cat,cjyhstptzo,-0.1385
cAt,tkfgdrylsp,-0.0875,0.054
Dog,-0.453,tfkqinxclk,214
dog,aiykjlpwki,-0.3595,vglpaxdnkj
dOg,498,DOG,znjiecxews
Cat,-206,-0.242,0.452
caT,-549,-0.315,0.1325
gtaqbewlpu,764,uehuhrxajc,fibbditorn
DOg,-334,-0.28,0.031
dOG,210,mcoxcouvmz,0.2615
Dog,-0.1625,-0.402,qlheudfopz
dOG,-576,316,ykyfacvyah
dog,dOG,795,908
cAT,0.0415,iccmepzgdm,Cat
cat,-0.499,DoG,uncgxllaha
dOg,-0.139,412,-98
hgniethrli,-0.1405,959,vlwhefdkfw
cat,369,lnmnpgnpnu,-0.2925
CaT,Cat,doG,mthxbuqmix
-0.3205,yngahqymyf,-423,-0.0425
0.1305,gkowprvaex,pylcwsqkxv,297
DoG,boscsuhcim,-0.095,DOg
dog,-12,dog,bazyblxjno
-405,-0.135,iwgnnhfdne,pllpthrqdv
caT,-0.1915,-0.1905,-961
CaT,-0.24,xootnimbph,lfwxtyybur
dOg,-0.188,-0.037,DOg
cAT,kgmibdhuli,983,-507
Dog,-0.5,-0.061,108
dOg,-0.064,799,-0.281
491,-419,mygsoevsso,DOg
CaT,-0.1915,vjxijipteh,DoG
DOg,CaT,-0.3795,-0.193
cAT,xuykyjvmtu,tlhorvknyo,-0.202
0.3705,wzbzwawhqv,-182,-774
dOG,795,dOG,DoG
DOG,-573,mmuzembuaa,-691
Dog,jwtnibvylw,rurtcrqojg,dogxsjcjzy
800,wmqjqknfzz,-42,-0.3925
DoG,-0.266,-0.3665,-0.4485
urxfkoubab,0.466,-185,-293
CAt,okgrmswhdy,-0.2565,-400
hjixsgwwdi,-0.256,0.191,-0.003
DOG,-0.265,-0.329,0.223
CAT,DOg,evjvjrltvl,ewhyqininf
Dog,0.3195,-465,-0.378
DOG,798,kjdtdcqthq,-312
DoG,dog,bemjkazado,Cat
-604,aynazleedb,-0.3905,znnuhxylrv
-930,0.4455,-0.073,625
qgccvvzyfa,0.2145,0.0205,-0.1815
CaT,-426,Cat,747
dog,-0.4825,-289,caT
CAT,152,lfyfwqxhpi,-448
cAt,-0.365,dOg,Dog
dog,Dog,emmnlafbdn,723
DOg,ympkjkksgy,-0.287,xmuhcghruk
Dog,422,Cat,-983
dOg,dog,cxujrhxlqn,-383
cat,701,bbgdtzvccj,CAT
Cat,601,-681,cAT
dOg,CAt,cuudrynmea,mvipsvvnmm
DoG,DOG,bjtedhzoov,-0.171
