fsewgyugsp,pktkqhsiwy,nzjugkcnso,PET
203,dog,-0.45,dog
381,-1000,zmtsyrwlvi,321
-0.036,-0.4745,jeizvierhe,-0.3275
-0.02,tmrqfdknov,-314,doG
hcdqadccyj,-285,obpfxofgjq,dog
jktzpixbql,0.095,CAt,CAT
0.2485,-16,-0.481,DOg
CaT,647,oramzzcloi,ofkhbhjklx
-731,cat,-0.338,DOG
-803,0.069,oszyalavkw,dog
47,388,bfafdjacyv,cAt
DoG,-558,438,-0.407
pavzjpmpyi,-0.414,doG,0.428
yjknjvayoz,-0.3765,ppnienaclz,khsufpgvsk
-0.293,-0.0175,qyjvunqyqn,doG
-0.3485,-0.0705,Dog,DOG
icerowkmxw,kezpbludoz,-0.425,dog
0.2325,-897,-778,Dog
doG,0.4315,-0.1135,doG
znfiedidil,obwkfckvyh,216,cAt
-0.1155,nfedlgjwhr,276,cAT
cAt,elsstewqzl,-0.148,DOg
-0.2445,lyhbfnavhj,628,doG
DOg,0.4275,knskhrapde,doG
677,-0.247,Cat,CAT
yeuvutyolw,cAT,-158,193
-0.0545,0.1005,-355,Cat
xgmsgzwgrp,qjynozqens,dOg,ctqglcfhjw
-859,dog,-0.382,doG
0.125,-93,CAt,dog
ugpcogwroe,0.2185,162,caT
sjijwjnsbo,rfcufvniaz,0.1845,84
0.2235,345,90,doG
lnipixprlz,odaburoggz,-552,CaT
msurbrgcup,0.129,kyyvdftvzi,CAT
Cat,-0.236,CAT,Dog
-0.1655,-405,-0.129,cat
-0.026,314,0.3265,cat
-783,0.036,-225,mcuhbjltqu
0.082,mhsmuhtepp,-782,DOG
ufhujvosco,nndcxnjwtg,cAt,doG
cAT,-838,0.4505,0.4455
CAT,0.3675,fkiwkepqce,469
-693,0.497,-0.485,cat
cAt,0.131,omrywbbgwa,CaT
DOg,0.17,cAt,CAt
bjuuirnydo,mkgjjjnldl,-0.089,DOG
-0.4315,DOg,-0.0655,-696
oteivhxsur,-0.2695,-440,DOG
ujtryzbeas,awwvsfepdj,frhzdgvemm,cAt
xmleussxmm,0.437,0.163,cAT
0.0945,-0.3695,-79,doG
ghtxykcdlh,dog,DoG,-7
521,-0.4925,uuvdflkgwk,DOg
ixwdixbicw,-0.178,-0.3405,cat
ptguripfot,876,-0.095,582
CAt,jnltpctprz,cfoamllcyo,CAT
hcdbjeymvq,230,0.137,CaT
cAt,-693,-0.095,dOG
Dog,-806,lzyoofxnjq,cAT
0.045,-0.332,doG,Cat
Cat,231,646,Cat
Cat,dfadowaxix,-0.2085,CAT
Dog,ilivtllwsy,0.384,CAT
254,0.4225,-0.231,698
-0.024,ubgcmuwmks,-871,Dog
877,-646,55,-665
nnegbugwuq,699,916,DOg
Dog,xcdfrutwyk,-0.1095,CAt
tqhgnysjgp,avplbedhij,DOG,-0.3285
cat,CaT,0.3815,Dog
ssizywliev,enqnkefrld,-0.1905,CaT
-0.134,yoqobmwjvh,-163,-0.307
gaivfrxzrj,0.3565,yaafrqfxui,DOg
jplrdnhoff,-691,kqrdaegceo,dOg
0.452,yuipvhutfd,-0.1515,dOG
yqgqcfsppu,-97,737,dog
-0.146,dddlkmuhyl,-593,-457
caT,466,918,DOg
172,-0.1715,0.214,CAT
-337,-0.418,0.227,mpnasakflg
825,-0.379,40,CAt
yqttgoukgc,mruxaphodz,svhfvnfuuv,-0.0035
