hebwxzmtwz,wpvgfixpxb,fndpyyogpe,vfwjaczpdq,mrgdqnayxg,ekuoqzjxde,pysdwzrtzz
azdotjifjk,vkskesfoyh,-0.073,dOg,-0.3125,-397,-0.4635
0.054,792,tgbcyuwzrq,0.238,0.3485,-649,420
-726,qzcgrbmsfl,issijqpxed,944,0.1425,DOG,-0.483
-811,-0.36,-0.231,-0.2875,xlggbmwtuy,aranchahta,247
0.2985,-0.045,209,dOG,383,Cat,xdvziuvbst
dwyzzaflte,DOg,93,-0.113,sqgevuogku,0.0485,zpzxpahrba
-0.234,-0.3075,362,957,0.2465,CaT,332
-643,0.3545,-0.3815,924,-0.251,-709,-490
DoG,cabsvlqqan,cAT,-74,Cat,-484,-136
-0.491,-0.286,0.458,DOG,0.181,0.1235,cAT
doG,0.404,micrtrbeah,0.3945,-0.1,gjjjxhkihj,mrjcpliqcg
0.4165,-85,gdxxqkqzuc,-0.3085,-894,prccgfmfgq,759
-883,0.326,0.4405,-959,328,dOg,jafdxxaoum
-0.3675,0.1885,CAT,-25,fsclfgmcrs,ghuubycquu,uqhvovsurp
-362,tknlsooqpr,-0.293,-990,yiawvskmst,-0.3705,gilknhykut
Dog,0.2575,CAt,fezepmechg,muokqukuii,-219,363
Cat,szjoqucndm,890,uuzljtdvko,uwtvclscvl,cAT,qoiambofof
wqfpymmocs,-0.1355,cAt,-952,irfctykxsn,ppeyhgonrq,665
dkkvktuhuq,-0.2375,-924,cat,-596,-942,-672
-0.174,rqarefvfjb,-0.3695,iktgyglokz,-499,tvtwkdksjs,hgfxzwzsho
skjfrxmovj,nfdealqeps,-762,cAt,fficqxccgb,umtnvlishy,mmfoldqwpe
bnngonyikk,zfmqnndbye,-874,0.491,-0.0325,564,kzlwzhytpq
-860,caT,-0.296,-379,0.363,616,-362
ryswqaavqx,-0.344,-0.022,suknqaauyi,caT,-828,-0.4085
-439,yaxykajwaj,vsyqqcejqo,vtvdtkyznw,ykpreynhmk,CAT,-0.132
dOG,373,0.036,dog,cat,410,-0.405
-0.1415,-0.458,Cat,-78,763,0.2445,lisfzdkjgu
-153,0.4755,-0.0265,0.2445,DOG,934,-0.279
hecxctplll,0.162,dOG,vvlicsyblk,nhrawvclse,0.4875,DOg
otjtdisyjv,cujmekrjll,ecovrgebdg,640,-0.319,828,DoG
-394,ywbynbrhnd,0.422,ygirfeqioy,0.1915,CAt,0.021
xgjpatupkt,CAT,ezxfjggxzj,-0.1525,-775,0.4625,onifxxsnmf
32,-458,-599,0.1155,-875,404,0.368
0.3685,0.0785,-0.1845,nwygbhwbnl,txpzxbghrn,-792,-737
-543,0.2085,-347,gdaacogmdr,402,-526,-75
-0.4675,-381,87,gevswtanml,caT,qkrjtravbl,nutysansix
307,0.0335,-788,-0.2095,0.3285,-0.2075,dog
-0.263,0.468,668,409,ewpucnovsa,wzpnypkitn,dndjjncfqr
