ivhqjijirm,Pet,tsjoibtzib,ososudzghu
-0.0725,CAt,-251,41
731,dOg,957,kpgdtjqenb
pwlkufpfcj,DoG,ewhxifhkrp,19
yrhbchudxy,cat,0.1885,-0.411
367,-0.295,-570,-0.271
xcerdoymth,DOG,wbfiwfnpzn,mmljwecjir
qlhbabrdmj,-0.456,-231,dog
0.06,DoG,cAT,aqxqwhuaar
0.269,cAt,-591,-0.3535
abknuyfcoc,qnsixuudcs,CAT,DOg
824,DOG,dOG,0.345
qecgangltv,-701,-17,eboppfkool
ieuuojzofg,cat,0.3815,doG
cAt,Cat,CaT,0.0575
-353,dOG,-0.115,tawgqrpoca
cat,-0.2815,dog,dog
Cat,0.14,qgkcswkixh,0.1395
223,Dog,ytkqfhlleu,qadkjamcje
-208,0.188,0.3085,-666
kdzjhrcjnn,DOg,dOg,ekrsbzjbjr
htdztxlgrt,doG,-975,0.3005
tboqdcinwt,CAt,nwfkqruvlh,177
Cat,cAt,nqdionrbtn,0.3715
819,-823,-25,bjexnmnyks
0.4855,CaT,510,-0.46
0.182,Cat,692,hzsvrochkw
tzztbctkac,caT,0.189,-710
Dog,doG,-481,CaT
dOg,DOg,CAT,qsocsifwqj
0.4265,dOg,0.0175,-793
hyabceuzfo,doG,-0.0135,0.153
dog,Dog,-0.2655,dog
526,DOG,uflodroctr,vebsseoaaa
198,cAt,-0.318,0.0115
wojjkgmmqw,DoG,-972,Cat
-24,caT,-0.2555,rrhbbvjuqc
CAT,cAT,CaT,mhkvpmawlg
-311,caT,-461,DoG
-423,dog,100,-672
Cat,DOG,rhyimunufr,0.1635
qddxxdcyxy,DoG,mxuyccbaul,647
cfwmuqnbql,cat,-0.0265,136
cat,DOG,pmikynpror,149
538,854,0.395,861
Dog,dOG,-640,caT
doG,cAt,qmrzbwwccn,ytkoqwaras
-553,DOG,-39,Dog
793,569,-501,fphnmhrlyb
0.4815,0.333,0.373,dgxssxbyrg
0.0175,doG,0.393,-0.34
245,505,876,0.1825
cAt,cat,-0.1375,0.1935
-0.181,dOg,dOg,bcksekhton
okerwpzave,210,zjhukgnbkm,-730
0.4735,DoG,-0.449,ppdawukrll
-426,yngyhtmxzb,adihuyjwmr,155
-215,-6,0.4095,ajgbnysrlw
DOg,-0.195,-733,0.2375
Cat,cat,0.476,DOg
-0.158,dOg,fuetoqxvuq,oyewgiddov
-338,Cat,raivmvnhwb,DOg
-419,doG,-0.3525,-328
0.2985,iuvvqsevoc,-0.147,sbizsqkoet
-0.0545,CaT,0.3385,yrznwnzuxg
DOG,CAT,cat,-917
0.1555,Cat,pzccbfnwpu,0.225
719,DOG,cAt,0.488
DOG,jrmcdmotla,DOG,492
-0.0105,caT,CaT,-114
-599,437,DOG,0.267
-447,DOg,-642,CAT
202,CAT,ezqvktwcnh,vimcsyhizl
qwnddfesud,DOg,-0.2495,-856
682,Dog,yyhlfgxifn,-0.2605
dog,-0.0445,-0.238,-121
