jkhkvcgltx,xstmnyuaec,zhyezlalnk,fdnbeqmpiu,phirlawfxa
Cat,dOG,cAt,-316,dghyfedztl
-0.342,-0.285,-432,rebaofzyzt,webzoqrinh
-565,-92,ujjhrlclub,ajmuwrzrsn,876
-434,CAT,wotivwsxrw,-773,-0.2225
-379,grlszmmcie,-0.159,-0.4945,qczmdgfxxx
hmhfepqqed,280,kdouchwfer,-585,-569
doG,-553,ogwlhmtkoy,789,-0.189
0.4575,-0.3095,-0.4155,vjxhqccxyo,ogiicgztgt
-0.209,-852,0.3525,0.0665,CAt
-488,148,tssfgptuum,rbtmvnxsdv,qrpvkikigo
-913,hvpdkpsloq,ufxjiirfqx,-266,eymitsjhwi
127,cat,Dog,-0.0225,DOG
Dog,CAt,322,dOg,jmmutpiltt
968,1,rvbekqpwic,CAT,cAt
nvjleswpcs,0.495,dOG,DoG,860
878,ofgfpimmrr,vqpykltqgd,0.1345,qnqqqepriv
0.359,321,-0.037,-604,0.4875
0,872,qlllkxcgtj,doG,0.0645
qpewqeafam,437,pvrejihgjz,0.4735,0.4095
-919,DoG,CAt,0.027,-0.1595
7,usqqoiqhmo,170,-0.1485,468
