mqezffhtod,gxqforanbw,dujkbloreu,gtamtnyzks,tvoelureny
196,286,187,rbvpfbuxmi,729
756,DOg,-957,866,0.0955
-0.181,-0.462,-342,rssyeaitdd,zoxdcfirua
jvlslwhmzr,utnycsmmvi,idihviikyr,0.2975,vbxoxmyqmr
uuelfcnfbq,CAt,695,-0.177,DOG
-0.3275,0.201,DoG,-777,-0.055
0.1355,CaT,sgfuchzcxa,-0.3225,gilcsgiecf
dOG,0.4075,0.429,syeocclkzn,0.4845
279,-879,lmgtzdigwt,lilsapyhwt,CAT
0.213,780,nfscizffds,dOG,647
yaglohxdnv,0.2,ageddwxhrk,576,mlwgtfotyx
575,kunqlclrtn,-398,owzsataqlq,tpiskthjje
861,0.394,xvhstilpat,0.2825,0.1845
Dog,fyqffhjdby,upaforppnc,-612,0.1285
272,rshdiwgtmf,-0.0435,-470,adoapcnepp
-144,mmqwzykbqp,-336,vukujlbnhn,-0.4445
-190,-194,-987,-0.3635,cAT
ltmqghpnak,-73,-0.214,-349,CaT
qitmnrbxpg,jxuoxtygrs,eoisnkrttb,308,dOg
-825,0.029,ouiahzsbcu,39,0.224
pxoiqwdryy,CAt,ghlulkxolm,bxfyuixpox,-0.0635
793,vzwbbzlkko,cAT,691,xfbddabtvn
-0.4725,cat,-783,notitbdngr,aqdsqogqxz
-0.009,flgpoqptun,CAt,-614,-0.378
-0.099,0.125,-288,-0.031,588
336,805,0.358,212,uciwmdyrvs
dog,Cat,0.4025,dOG,Cat
-0.1415,dOG,xtjioapxbh,CAt,dog
CAt,-0.4415,xpbolvbmyy,680,0.019
-0.0295,CAt,yyotzfebow,xbrfobrsoe,-0.393
333,gtxudpygkx,309,gaqariomtp,-830
CaT,0.1355,DOg,yhobwwuovy,cafllhibnl
119,0.1295,cAt,lmuaonzwju,fkcdnxiasd
CAt,-560,arlwsxdivr,-240,0.274
0.3385,acmhnvslvl,cat,0.461,-0.3545
294,dog,dcpvigwmly,ymkdouober,-16
352,dOg,0.1335,-158,-0.149
fffxnurxqb,elgtevjksy,50,rtcpkkczkn,0.243
DOG,-987,989,Cat,oloxhexlyb
quiqpinblb,203,caT,CAT,0.138
0.128,nxsowtfwdq,dog,pmokdftehi,ftzswvzxwt
cAt,0.0025,-0.2445,-0.0575,CaT
DOg,gmeszgciri,kbqmgkxyfm,-0.0465,0.032
-0.385,cat,548,wqygxpqgbx,xymxofpzqr
huzftrldtm,0.175,remlanhzwp,qvwcfycocs,dtemsaadrl
-0.14,-278,-0.1075,-691,zbsnhdzxnc
-273,0.5,965,dOg,DOg
cAt,nebdgzmotg,-0.0865,pnkjfnincn,CAt
dog,285,0.0825,-225,0.087
-0.1655,547,-0.424,0.094,CAt
727,-0.1135,-0.4485,14,vbhnfvwdwh
-710,-203,0.239,-235,dog
-0.138,xjgkebodbd,cAt,0.0575,znrdjonfmi
750,dOG,0.0035,0.3725,0.482
tcczdnxffl,0.1725,0.366,CAt,sszjdgjdtb
itdiqqxkvu,-36,-0.2845,425,569
vbgherqkmf,0.2085,0.057,245,gcejefdtuw
-732,-0.3185,wlzjzfupgj,-93,mjnckebusz
pdlrezdmud,puiqmuvggd,793,rqjqimcdxr,doG
124,191,0.484,usswsrdwdi,xkamooijmg
-0.188,0.1515,Dog,dmdzrhfamg,doG
629,0.4875,-569,-985,0.4875
dxzucnatrh,DoG,pufyajzbbl,-0.167,-0.233
-0.3795,Cat,-0.164,hhabvskhks,cAt
jauiztspzj,-414,664,-0.1575,-0.187
865,482,611,ywneigydag,cxycuugxuo
0.475,81,-885,-0.488,drasztbnfe
qotktsqkts,-0.1765,-477,-0.1295,-53
0.1285,-876,0.2155,DOG,wzgaaoldph
0.324,392,0.1835,369,nyoghpckfx
dOG,-0.042,xevlpyefxf,-191,-0.4825
tisuvsgces,0.357,-0.1135,-0.284,CaT
oapasbhxwe,-0.047,475,0.424,-325
DoG,zxznwqzyrb,0.0505,ofoodiymwv,847
-0.332,-180,-0.036,0.202,0.195
CAt,sknpnmrllm,Cat,vbyquzhlju,-4
