peT,fllihxfhis,hxnuxhctnm
doG,nnrdciryiw,0.3845
caT,rdylbbvdun,CAT
CAt,0.1745,dog
dog,DOG,-961
500,doG,cat
cAT,-885,0.118
Dog,Dog,0.295
dOG,rkjsabfaib,eapdedsrht
DOg,cat,jqltvgmrxv
doG,-934,qcjulgeucj
0.403,401,-540
DoG,ssfwvhvatl,309
CAT,0.176,-838
dOG,fvlnenpxrw,-952
DOG,DOg,211
Cat,Cat,-69
unpkqdqbmh,pttecsgyjt,cAT
199,-48,ecbzrtgfyo
Cat,-513,-873
caT,-0.018,vvrokavbym
DoG,0.0375,-0.35
cAT,-573,caT
CaT,Cat,yweydzluyb
DOg,Dog,arqloiwrkp
-0.232,0.385,cAt
dog,vrjlremxcz,owuiywziui
doG,386,Cat
DoG,165,dhpcgyiiie
dOG,0.4695,150
cAt,nqgykxyoru,0.3195
Cat,-860,-210
CAt,-0.2795,ltefglcgcp
DOg,egvhntmjqu,jqatlodwwk
558,uozrnxmbnb,pclcdpiqha
doG,wxnvidrpip,-183
DoG,-59,cAt
-819,809,-0.3785
0.3845,caT,-0.011
DOG,-263,cAt
CaT,-595,0.4455
CAT,cat,715
dOg,0.0765,737
0.2195,khiwsjqiss,owhckpjxjw
Dog,ajwskbchat,0.148
dOg,Dog,doycbhddvk
cAt,0.0175,spoccpktqi
-0.276,hqjqmknokv,-561
CAt,176,-0.376
DoG,0.0375,mvkfulivhg
dog,gozofzchdx,cAt
0.4385,0.309,0.0495
ccndyjcixc,-0.048,-0.038
DOg,mnulyebdrx,-0.191
CaT,CaT,-131
dog,CAt,DOG
cAT,867,0.2155
CAT,xyxoqicehg,Dog
Cat,0.429,0.027
CAt,DOg,982
Cat,860,647
Dog,-13,606
Cat,0.138,cAt
caT,-614,0.3935
-0.177,CAT,CaT
doG,-0.142,768
Cat,fniyonleie,-596
-0.002,-0.187,-740
eqcmweaqqv,-51,357
DOG,0.093,-198
Cat,-0.396,749
Cat,cugabfadjy,0.4755
ayudquagcx,-0.141,196
DoG,0.4225,wufrnrspdq
Dog,lzneqywocd,-0.444
DOg,-0.1305,0.309
906,cAt,-694
cat,tqltsjrrfz,150
dOg,-0.2575,0.0145
dog,0.0155,-826
0.292,CaT,caT
-0.2685,-346,957
CaT,Cat,rhkmqqsilu
dOg,0.0125,-0.3585
dog,obqfwngnox,juavdyhsxv
