PET,tcglylqbdi,prvjszrafm,keuhcpymro,hfrtergpwz
CaT,5,0.434,rvpmnizhah,lcojhpvhxc
Cat,Dog,-0.1815,0.4585,ywdidkyftq
CAT,0.3965,CAT,-0.2805,dOg
caT,-0.4925,caT,pmcqnwunsj,-0.3135
dOg,CAt,nrppxeprsd,tqeusjkdmz,dxfzuznuhg
-670,764,-638,kdyxmacfis,ogbvoosbqc
0.1485,DOg,-0.1345,-447,-976
dOG,dOg,cAt,tmbtmvwfua,mybgcnyofv
dcfrzzgsii,893,864,0.0245,-852
Cat,761,-0.1395,CAT,292
cAT,-0.458,-0.119,431,logtxvvgta
CaT,0.1135,caT,dOg,0.3495
-0.3615,owjtlscdrx,523,915,298
Cat,-645,-0.4335,Dog,0.1265
cAT,ofcwisjuje,861,nznvrsxsja,zqdnpveaqy
cat,0.12,0.155,dvgemrjuyu,bogecokgox
749,814,-498,-166,-817
DoG,livkwlsodv,xcpdnceprv,241,hdmlqleaor
Cat,DoG,413,zpwuhwtrxm,cAT
caT,dOg,884,-39,cAT
cat,cAt,cAt,-901,-101
0.441,ctpxwhsnsx,dog,-419,451
doG,763,-498,bymymlkgdp,doG
DOg,0.406,eygybcdgqp,nwztroargo,cat
-0.016,431,-162,950,0.05
caT,-0.2175,-332,374,yzygbcsheu
dOg,242,hitufhhyjv,-0.401,0.1555
DOG,dOg,qgbxciuiqi,0.419,cAt
0.49,0.3175,-0.11,0.493,-627
DOG,0.4085,-0.1435,xzhbotukby,-733
cAt,0.281,351,719,caT
ksqimlxmki,yzzazafyks,-400,-992,CAt
DoG,tcwdxsqrfw,cAT,0.438,0.478
935,kkfhsruots,gxkoeofyjo,-0.1965,0.0485
caT,rljirzjbuw,0.331,-442,0.06
691,-666,svszmgoein,Cat,-0.049
DoG,vfbtkjiyih,CAT,312,dog
DoG,0.0125,0.3165,-0.3695,0.067
Cat,-0.333,-893,-0.055,933
Dog,-639,-0.211,DoG,627
ovxhlpddas,985,afbuzrerti,sdahyetixz,-150
caT,0.3205,-0.068,nydbteitsz,ugyjbsofuc
