sfaocgorwz,xlimtmovzy,ctgzuajcrs,blmpscjnph,shpsfqleav,pqlmiuusrn,egjbpeztfo
52,-0.148,dipkmqdykx,411,-677,0.387,-0.3275
-0.194,-326,DoG,sgarjmvdmn,DOg,wsaghjmbpl,-373
0.3435,qogbypitzc,-0.0685,emaepjpiyb,-989,0.105,-118
-6,doG,navgdbiqsh,nyfghpuowd,945,cAT,DoG
-0.2665,cktdfyzfhy,-0.148,-190,-0.4145,cat,Cat
0.3025,0.0565,lfpmyiaodr,doG,-0.4285,-251,-332
-59,389,CaT,DOg,-869,mmvqmvxung,-0.36
232,mfoermxvxs,dOg,zfnqjyqrfj,0.2245,romkgzpiri,DOg
-0.387,cAt,-0.498,-408,0.461,-799,343
doG,0.1495,341,CaT,33,-0.1495,ysgutjsgpu
949,zlsbsgvxyc,CaT,dOG,-764,exgrflxdgv,-0.1655
-781,645,0.44,zzuznfjdfi,0.109,myvzaeccer,fqzmiqmosq
ftooytogaq,-302,951,uamgllpeot,-0.1615,-977,CAt
atxdvepsie,917,Dog,pkoruarcxu,0.469,gkmlsfllfa,-0.212
-268,-720,-516,dog,-0.388,-0.1055,hmysrmqkvc
-0.0445,0.141,wuujermvjo,996,0.4105,293,-0.206
-883,pkgfvvbxnc,dog,-0.1285,-283,-238,DOG
kljaphybuc,-0.167,tidzapmivu,cAt,0.048,smgoraadfs,vomufpsfha
DOG,0.44,cAt,26,caT,570,oucbiumplz
dolhngenxy,836,zijkzunikm,0.1095,dog,-0.38,mxfqsnglce
0.3965,-0.2655,-251,227,631,cAT,0.1855
-487,doG,397,caT,CAT,-0.388,238
0.131,wdzayhqnes,0.4125,0.2155,doG,tvgklacoun,dubkplfmrq
-406,CAt,0.1485,-0.099,-522,-674,42
pfbtvpfeld,-0.447,-0.161,fvtzpbdhbc,0.113,ivgtnxatoo,Cat
-0.221,-0.2365,sluxkgbymm,746,vbynmwafcs,-0.2795,-196
-495,DoG,0.484,-0.147,jiipthhwyh,Cat,cat
-0.3105,DOg,24,aznohiqdhp,tnmdvxhxip,Cat,-0.283
iejiicgybr,-0.462,DOg,515,-201,ecbncocmzb,CAt
17,-0.001,doG,-0.2175,242,-296,wxuiqtffux
