mogocnepob,tlnhebzxsu,tvuvjfknvz,ngkcmnsjeu
qplbphegwr,aqibsiujng,-0.2235,-0.331
cwftqnikde,-992,164,252
ljdltfqfjy,486,-0.4435,cAt
-0.121,0.1115,465,587
-324,-0.4095,524,-22
obtesftisi,frwnbnniuk,-665,xjrohcjzpt
-0.1805,ikdqkjavpq,-977,-0.303
dOg,napswhdmgg,ckpkoszoqr,0.407
dqwqznkpwh,CAt,hchptkbfnr,cAt
-0.0385,-326,-0.018,-0.276
-0.162,plaftvdive,dtcbedwuop,-70
eaucpukpic,Dog,ycspgksqce,-0.004
86,-992,-0.417,Cat
fangyuigqc,0.382,-0.485,-0.194
CAt,0.315,xtbvedenzv,0.424
71,0.105,mfgmtszkob,0.253
0.2645,953,dyvahswvkj,dog
CaT,CaT,524,-884
-236,-0.399,-30,0.2375
xrkwcvjhkh,zqyxbvguef,0.4615,vmwmoizizb
bhxtispewn,cat,dfharhdfvt,70
0.2275,942,-0.3695,rtpctyszcy
181,-0.0955,0.4255,-0.0695
oputgpoyts,CAT,sgwwhyyhsv,-0.3035
-865,699,0.4225,qekphwlkis
dog,ujaqftmjnz,bvtmfgfpna,dOg
dOg,-0.4855,Dog,-336
-638,-321,-275,vlucjzmevo
cAT,zpqaulrbdm,onbdibvknt,0.3355
-150,-576,Cat,0.394
dOG,riyzcblefm,0.355,fmsvfsyrzf
0.1135,dysglanvwq,qutcldzvlz,-290
tqdamkokei,-0.0545,jjidbnomjh,dog
dOG,-0.2275,-0.4905,CAt
0.3355,vexumasqjp,niwmropvvz,-0.13
Dog,-0.3735,qojcbzyrys,0.2965
doG,-931,ypymkgsnxp,doG
iqraznrgmb,194,-729,lhhyhaommm
365,0.4305,-0.1425,-0.3515
Cat,933,iksecxrxal,dOg
rwszcldrvt,-636,405,0.2705
-252,-0.344,0.144,rtzjxlwbcv
