oecfztaggj,pET,xntfkizqkw,ucgnnrntyp
736,dog,40,aeitwdfmjc
cAt,dOg,zpwmreniie,padrzkauub
0.115,CAt,-68,dOG
qnfhvgeqig,Cat,mmsfhwapsr,0.3475
-308,-843,436,-809
cAt,dog,Cat,0.3485
-0.203,DOg,0.0735,pxipbooulb
DOg,dOG,-478,-0.0155
triiepycxe,Cat,-219,tzmrwqwfts
cAT,cAt,48,0.22
0.3045,cAT,dsydhsfcit,pbxxvgrwcb
-104,dOg,995,jaavwkympe
cAt,dOg,0.1515,umrsqzotbs
585,CaT,dOg,muliqjbiss
185,cat,hsjffeajsb,hgvqbexhvg
-0.179,caT,nmwwbqmzfw,cat
-432,DoG,fjnvcpxopg,848
wfyowqlssw,CAt,bjdnulpnug,Cat
757,dOG,oiguavwymj,lbulmrieie
Cat,CaT,qjvwmtmlea,caebbzobrm
126,doG,cat,DOG
icextrgtgw,DoG,mvpownemsh,441
ahihllgsam,CAt,223,0.4875
-0.2855,CaT,0.135,urpzljcqtz
-70,doG,127,uotxfvsgmt
0.305,cat,-0.2105,-0.1005
890,cAT,-0.0855,Cat
-0.4105,doG,cwbmzdxmya,wtlthzfdck
358,cat,436,0.298
0.1315,cat,ekqcptqvlr,kbkzydlxbw
709,dog,-486,dog
DoG,CaT,-177,0.2715
0.3975,-0.2125,kflhfmggwc,0.271
-419,dOg,uodshyxhhd,cAT
0.1715,DOG,caT,0.402
DOg,doG,483,0.1245
-0.3545,dOg,oxgukhcqku,-217
qtwygfzcyn,dOG,fsbtcljwts,0.423
-0.4455,Cat,0.0215,-0.2875
ltdeyeshbf,cat,380,CAT
937,cAT,-830,DoG
mjeqreqhiv,caT,DoG,-469
DOg,-528,luusekenag,0.197
-811,DoG,jabcocgram,325
cuhgnxgnaa,-690,0.316,ualyoulhym
-0.1715,cat,cAt,0.3335
CaT,cAT,-983,507
cAT,DoG,0.2225,cxewmfzmpn
-132,CAT,-0.2405,CAT
ejmcvqrlpd,455,-0.036,0.0035
0.245,295,344,dcmjssuego
-943,dog,-132,-658
-0.4,cat,CAT,pkykonlcdf
mbtwwmcgom,Dog,tgjtmpuxad,-630
-700,cAt,cAT,-0.05
xsojzuasoe,Cat,0.1515,-0.073
-738,-234,apdjrlvmli,412
-0.456,966,-0.3215,fabnedecic
-0.0885,Cat,0.2495,-0.0475
zubvmdeobb,ibhspzlola,353,zlpvkicnqb
268,Cat,-0.3725,egoesfnjhz
-729,CAt,gtylcillfn,-0.136
sxdvetfsks,dOg,-0.4785,0.486
cAT,CAt,-573,-0.1125
0.2585,CAt,0.0125,-0.0145
-513,caT,0.057,dog
-0.193,DOg,cAT,178
-0.4915,dog,-467,dOG
DOg,cAT,0.456,0.385
dOg,DOG,evksvmleoc,iodsqjegqg
-0.356,Dog,0.4145,DOG
0.056,DoG,0.4605,syqyvtdgor
dOg,pwkwfzzwhf,50,-0.345
elarxujtqo,dOg,-926,-665
ibsrvllduw,CAt,CAt,toxiamurrd
