gjuvfkfepc,xurkwfgijh,avgqhysnbf,etdeiiaesx,nsbthuepdo,whprzbbhzp
cAT,-783,cAT,rbsjagllqy,-0.18,-226
-713,-0.182,-0.489,pbvhxvntpx,elqxsdkhgb,futonyfqmr
-0.0375,fyxvptfauh,doG,gtkksfydqb,0.38,occpxtmpej
-0.0555,mffykzyorb,gakblewdjg,-0.4765,0.356,-831
-920,-0.2065,0.3755,0.285,-40,hdripikxyl
990,-0.35,-0.41,Dog,-0.2325,iuubhwxvqg
0.369,-90,sxinnrttev,-0.409,esjzklyobr,-459
-0.2445,-0.3925,rgpufcgrhz,CaT,-0.21,-0.19
sjozsdhmgr,-511,117,651,838,dog
bkpnidjdtt,dog,Cat,0.353,-0.355,414
dafqlodwfc,0.2785,cAt,-405,cAT,coywsifscn
376,DoG,nhtnlvbheg,zhoqpplmos,616,hlmjxbvztt
imbtwlqqjm,qnkinyrmlz,44,DoG,0.1225,0.119
dOg,-0.192,-0.317,-602,827,-0.475
wtadbyvpwo,qgodwwxins,dbodiorava,CAT,-0.251,0.266
dacxswamdu,nynxcyqaih,opeaqpqfim,-0.279,548,0.2785
CaT,wirxhzodcd,bhgdbjjybw,Dog,967,qkyyajvjxi
DOG,-170,347,-0.143,-555,547
-0.1905,cat,uhvqbuikms,429,761,lzihpyozqk
0.352,dog,0.4525,-0.2065,-496,cAt
645,-0.3385,nqlhwanrbs,rdpyvvcrgm,xipyxoctwy,cat
opxviowfgw,0.2475,-0.1005,nnotmfvksn,-0.3785,efgobepzgq
-725,0.4645,CAt,Cat,0.3055,llfxnkzxyi
-824,-38,Dog,429,142,0.114
plrfjgbrqq,vfcwsqvooe,dOG,-608,rwwbgiimaj,uhsbedrlgj
dkxyxvcnkr,-450,twpapruswb,0.2025,-0.285,doG
858,937,-799,-0.34,-152,ieafsqrzno
-0.4525,rpjulnitmm,bkloschsdu,xypbsthoeh,-853,0.442
-0.0905,-91,uijrvycvxh,dfboirckuc,caT,102
crylxwudbk,0.2805,ffhkusedgk,0.018,0.0455,-816
jbhgrjffdb,pdplwkhwyr,-133,-542,-347,pakqeudobl
777,986,-905,CAT,0.27,cat
zlmydhvfvc,oxavetvyio,-0.061,-359,ytsqfgyugg,-950
mbyuzgzipt,cbhbmgberd,dog,-0.3905,cAt,pbsvkyicsq
0.335,dog,-629,hovjqdvyvf,-0.365,0.203
174,-31,CAT,Cat,-0.3105,287
sdyxvednjo,-0.275,0.2705,181,tshkjwodjh,-0.014
CAt,-0.2705,529,ggruyxjlaj,-0.1135,0.427
361,896,-0.3515,bqyhbcoeuo,837,-0.3245
cAt,-906,285,stpzcpojta,949,-0.3695
qnzzxrnrqn,295,fgktrwburz,528,0.1635,uyyewqxcpv
0.4905,224,lsyqlvintk,-264,uxjuzemmwu,xyuwxpeluh
-353,aeihxwzmuj,0.483,0.49,0.354,Cat
nyczdjihgz,692,0.372,nfsljefjeb,-700,fggmtritkt
boydmrweik,0.023,nodqfbxnaj,hgopewiurb,urtysxxygm,DOG
829,0.006,-771,201,390,825
-279,-655,68,792,wdndcbjboq,DOg
hlqeiietmf,ndkwrnhurs,0.039,DoG,gnsavysgky,-214
-945,cAt,omwacduhyl,DOG,cxumqmhdsg,-856
264,cAt,-0.2365,eweswdnuoq,-2,Dog
815,cthdjiuhhi,mouljierrf,-0.2265,834,-778
ryqdeikgfo,870,-691,-0.426,cqwvbqimbb,-0.1225
655,dpgyjfuiua,-0.478,735,-261,-225
cAT,406,-676,cAt,bezmhpnxnd,0.3305
iyavvbbqbk,mphjeelwmv,-532,0.3615,-0.075,0.0475
yythdxabtk,218,-268,241,0.277,kbayesfugn
cat,-0.226,-0.373,xdocierqls,DOG,gifraogvcs
ipfikaocdn,931,hvbcklcnxy,-0.2305,0.432,0.211
-105,npugjarfoc,cAt,-165,mbdclntmna,0.461
414,-12,-0.4095,-0.2305,-305,0.4285
