grngzvgxpk,ytxokwjqlf,eqllpvusrx,egomrmdbyj
DoG,-950,cAT,-0.4385
cat,atmnmcweuv,xklwgbwmcj,0.054
-667,CAt,0.335,-860
401,qfzsoxgond,0.077,yoygdvwmqj
-638,0.3205,ztvycbqobx,667
dOg,893,-678,0.284
stmnsugcxp,-0.26,-273,165
628,0.26,mhiuyauyvx,-60
-811,Dog,0.0805,doG
dOG,-202,0.0175,396
yjiswemayw,dqxlrhnvwn,-796,tetqwqzgyd
-0.419,-0.005,bcxxibkybs,CAT
ilocotqipc,-784,-922,0.4665
0.1665,cat,-698,caT
-566,-80,0.408,cAT
kfbmsdcjxa,-0.0665,fwgeeeuvgq,imglvticho
DOg,flqgjvfciz,osynnfftxp,dwuhquloxb
uuilvrkyxh,776,ahaukxppdh,-240
0.4135,0.2785,0.216,0.4405
jgldrfeksp,455,-817,-0.203
894,-973,-0.1215,qfnhyduhzb
-0.1135,951,0.399,-0.424
DOg,-844,DOG,0.01
CAT,caT,iuwowcidci,78
-0.4415,387,0.4115,Dog
yleczqvdtr,-0.358,0.1145,-636
0.22,doG,DoG,0.47
-0.4325,bfvyyfxxqz,jmsxegtkly,judbzmwvgl
zhunqlcocv,0.132,DOg,0.263
253,-760,364,cat
eembipwako,dog,0.0085,813
yizjfxhbzb,dabpsxxciy,-0.3185,rudjsasddf
-0.306,-0.0495,dOG,mlqdvnpbcm
cAT,-556,-986,268
0.248,rziznrbwrx,irajpnjsyi,357
-465,iulfxgarfr,356,cpstcfwjgx
455,doG,0.104,cat
ojblypvbqv,723,phmuqufhkf,-0.1315
fhnffikftt,zdtkbtzugw,dOG,-939
0.1125,454,475,-245
-857,dbwtmmliue,-0.4445,530
-0.467,-5,dOg,0.1115
cAt,883,acxuxgbwbf,CAT
601,-0.336,caT,Dog
vaqedsuxit,cat,tuowgwalro,-559
jqtfixawrg,wtbrykwtvd,bsphkytfqr,-405
438,-639,0.277,-705
-0.279,DOG,0.1675,opqselrwtu
487,-0.223,acuxdspbkd,-0.04
423,-110,-425,jqzwppuzrp
715,cat,0.2235,340
793,wqwdlxejri,0.0055,tbvjnjivxl
0.4135,-712,0.4155,-735
DoG,xkfyfeumkf,tralzyveut,dog
454,-0.4585,lkbgoicvst,-0.2275
220,-0.378,-0.1185,0.4345
0.0805,-140,dOG,wdabgsbhqi
-943,dOg,0.3805,363
-0.285,qsrnbupxie,959,CAt
ysssmdwzac,-0.3315,bxcaghvssu,0.444
nsvqdtgqym,-733,xnniybofxk,0.2745
-0.2885,Dog,Cat,obmzhejsdf
383,dog,849,-0.3345
-0.0905,0.372,Dog,74
-143,94,0.0155,dOG
0.0605,llcejhikfc,rmqbyhxche,155
DOG,-0.1795,vckgqtacuo,430
-0.3875,cat,0.4975,dusinkhhsi
0.483,Cat,-0.1095,bmnkzdozzx
cat,-524,mdtmskcpzf,-0.3985
0.457,DOg,oayrsdfntg,-560
kxxvmyidxf,-426,nskcimjgoi,DOg
0.206,0.0755,-0.2265,dqupccvneh
ydxmdhbzsv,0.3385,-0.1,-6
0.1975,0.1485,rbdrhcrptw,ouoyvrsxcx
-0.135,uxlhqpcwmz,-0.078,urklbmxpve
DOg,-0.369,0.268,0.093
-0.391,-785,cAT,0.2715
-222,caT,-0.232,-907
0.3085,0.235,0.395,dog
aoevbfzmjx,-0.0265,618,-544
dOG,Cat,0.1145,0.2625
stgmweznjb,voyziasycc,0.2475,-783
0.2855,DOg,-0.4935,-0.092
CAt,meacmkrmpg,0.137,0.3175
dOg,0.0545,DoG,fuhdaxvenl
dOg,0.4705,-580,CAT
ytnvssnrsz,DOG,-0.42,-0.3955
DoG,uzramibnsl,261,qqcoeecfld
836,rpbfbtcldh,vtlxoohlpo,zmucstgkdv
