upnrigipgm,jwvfttdaww,mdmmpknxvc,shlzoglusn,hrcydhckbv,hmrnstgpav,vswnlmzwif
-655,-500,0.477,bjuagcpwsc,0.1215,0.1285,csdxptdlje
691,-40,rkkjyzecth,cat,0.066,enofftsqqw,-0.0215
0.2505,0.1045,-0.0475,-734,759,kmndurwwpz,tdxoggpkmg
DOg,-365,0.448,709,ewmrunhgic,490,izishfyzcf
sspdmplyzw,caT,-553,CAt,0.1215,0.0985,-0.1425
0.028,321,-0.414,ospnnnvxqi,cat,-994,-0.121
loixttpfhe,blslgxnxyq,DoG,bwigucjtkg,0.4835,-0.1795,588
-875,-323,cAt,juriqepguu,ooidcwmbjt,-0.381,362
koandksmve,Dog,cAt,vawqnfkivg,qkjuzwwntu,CaT,0.133
CAT,cAt,0.3125,928,0.1515,586,laptiqkkgl
eyzkvrnyfg,Dog,dvphigvujt,0.1605,fvaetzkowk,aapdvhjwum,caT
-0.0465,-0.1915,233,caT,352,0.427,DOg
doG,815,fxdkymmvfh,dog,0.1865,0.251,111
dOG,slvqtxiuyw,0.3335,-0.3785,-0.1245,DOG,doG
775,946,0.118,273,0.0265,jsvojlecmx,0.1935
-0.3805,daldcpnrjp,-680,pxfwwmztpb,cxlpypckto,908,hijjfvuqyg
0.3455,533,yuovuvweph,-905,0.2105,DOG,517
gcgcdefmvf,-0.252,0.401,0.3535,0.0265,doG,0.359
caT,pvcpdmvkel,dOg,-0.0175,DoG,caT,-940
iqbrhldwwj,dog,0.2795,300,CAT,343,cAT
175,0.3575,-212,hfbfrhjfmk,-0.0905,-711,0.2615
-854,-687,0.0785,cat,jaszagpvka,biyirwmczm,dhstqrziwh
-682,956,mgfuarupbh,-0.438,-0.196,-192,vdlgflgdgz
jqrsgcqyrd,-0.2525,-0.143,cat,62,0.0165,-0.4775
672,0.028,0.21,DOg,utqaoppptg,CAt,0.2155
DoG,DOG,doG,uxflgsetrr,DoG,0.2405,vbjwpsrusa
DOG,0.39,0.239,0.424,790,DOg,0.3095
573,904,yzmsjzuvci,-714,358,caT,nhejijzwde
idviacsyqm,516,-442,rvchecuieu,-437,-258,dog
tfgnxnqzjy,qdsnfbefrt,-0.3115,egrztbwexq,-0.266,-815,ddyrxypxpx
261,0.4385,-0.0555,-935,CAT,upgnuhbofi,-97
-0.419,cAt,-0.067,xjpsupvebg,520,0.3165,cqwnirjznq
0.0515,-0.253,cAT,lldoelppkg,338,rhonwgrtgr,-0.2485
991,-0.412,-0.4945,dOG,oyizsejvdx,-456,aujcxnuqqq
283,0.047,874,dOG,ooftrradgy,jnuvgqnvji,-0.0515
mwbaalrkqm,jsgoryoqdv,0.3465,-931,orfrpehxwc,dOg,-0.1555
DOg,cat,cat,-0.1705,617,zbnpcvrrid,-729
udaxdfisil,948,psbgyilpet,0.4025,0.2605,caT,-767
-765,-627,atatiqpktp,-0.01,-552,vtwwwhxdhn,-215
-130,-0.4045,0.015,pxxtsrzqeq,-725,-0.0435,fklliltaey
fzvrcrbjbm,-0.3385,cAT,0.045,0.042,0.086,Dog
zqesbkleno,0.3275,zsuhodlnzr,Dog,vbcrsybxsg,qhkhxsgzrm,0.018
fitpnyhxan,0.262,-0.221,CaT,-0.1335,0.3095,-0.2525
0.0565,qwwwvwwcxc,0.3255,0.24,-994,tvkvavszgg,-574
pauamqcfgr,-558,caT,xwmzvplbbb,zuplppbrsw,guuzdteedb,cAt
749,Cat,-0.264,iqytordxyq,-646,dog,-0.2705
368,-0.2575,njsatdrgbu,-561,-898,Cat,0.435
ovoxrtsajc,CAt,-0.4625,736,fesuubassr,jqmduzefxb,nytunhobfz
cyjrqmbywl,703,imwfqvxxwl,DoG,ygcamnhngs,zzuuzzhoim,dOG
-0.039,131,dOg,csmdkotgke,297,zlweusanlw,0.454
-489,otmimhkqis,Dog,311,-702,-0.057,406
139,yjxjupkith,-0.11,-0.085,10,0.0945,-0.145
