kshzjdhxkk,xtieswpyhf,pet,xmxhowqteo,vqajrcemaw
-818,-0.2725,dOG,Dog,0.339
-0.168,benlkkyyqw,Cat,skwvgdmbxw,-672
-686,cnmsmdnhfb,scflrrvmva,rpgpaeckam,0.3595
-0.232,-466,-0.339,CAt,328
dOG,wkujqdqzke,Dog,0.4305,cAT
142,-157,caT,-680,klkqpyuxbg
nufcnbfjhn,-0.328,-999,dOg,-0.2655
-0.232,640,DoG,giklzqnsoy,75
caT,-0.4315,caT,0.458,DOG
dog,0.4435,CaT,rqxrhtxkdq,-546
-18,zduphnoyqg,dOG,oyreioxvyn,udncokkpbl
cgwnaxiygi,-644,CaT,-69,0.2345
607,944,doG,-911,qtyuubtgpi
dog,Dog,CAT,Cat,nxlprxtalv
505,wonreyhvkv,cAt,dog,-0.291
fwtmqgrhln,-251,0.304,-0.01,792
0.2525,-231,dog,-0.315,hvclraowhj
epjskywjbc,0.396,CAT,-0.357,7
-0.3665,rkxxuxpkxn,CAT,-21,ojuwqwzztp
0.3175,414,648,0.341,131
-0.1255,cAT,0.2945,0.2095,-746
517,Cat,0.0475,DoG,0.2525
-645,315,CaT,bntqrejkls,-677
DOg,0.358,dog,CaT,-741
-964,148,doG,-518,0.1895
0.255,mxraotowsa,DOg,-463,-48
-0.064,-937,CAT,-580,Cat
0.0095,qqansuzzlw,mpsgeviact,-711,-0.4685
copdcfgvzl,dOG,DoG,orpaqhwezp,0.4945
-491,0.3905,-0.2925,nefpwovnca,0.2595
mfgfxwzdlj,qhthjkolqb,cAt,-0.176,mokgsksoop
cat,148,0.354,820,CaT
dwryjdwoum,klahtvrfst,dOg,jdzrwmcdud,snyuoquuox
-39,0.341,DoG,Dog,jmlbxrruja
358,-418,DOG,-32,862
0.3595,186,0.393,-0.185,vlypkrpwmz
0.254,DOG,vwpxckeggr,kvfsghcszw,-519
589,-456,cAt,562,-0.4115
doG,42,dOg,Dog,lkyjylhqpd
caT,-0.332,cAt,ncocbkzznq,-0.49
283,ootrdetuod,kkavjuhoxz,CaT,caT
0.373,xjzsrytlgr,doG,ygnikufbrp,-0.284
0.028,-0.441,Cat,rqijqzexaf,66
-831,aevwwuceae,DoG,746,0.351
dOg,-779,CaT,CAT,qijpicrjjm
cqriwuxmwn,dog,Cat,cbnguhtvcg,bulfbmktez
-0.4515,0.365,cat,0.0105,-0.4825
-0.3995,DoG,caT,doG,ipadltbxjg
19,-0.1865,doG,ddyhauxrpp,936
sqceujklzq,ymhtwdgzlk,DOG,-542,-544
ejpvyamkoq,zkynnvibsm,-515,fjnphpwcft,0.4095
-522,336,DOg,-0.1575,fjkmkjolxr
-251,-779,Dog,763,rkcpyrzrtl
0.037,naqqlhqyhe,CaT,-0.0695,613
0.3185,14,DoG,urptpboyec,jadqmpicya
90,-766,zsjquidmnv,184,-506
abuzvtioku,aoiqgixxha,Cat,0.473,43
0.169,-0.0985,DOg,-0.391,xnejtpswzz
-0.211,-0.047,cAT,CAt,-405
-0.3455,xygbyaolpr,CaT,40,DOg
-0.19,-204,dOG,CAt,mfqeviidvy
635,CaT,CAt,0.459,-866
vuqdcipsja,-889,0.405,7,cat
707,cAt,dOG,qszwschgtt,Cat
mnxoewzfny,0.3475,351,cat,-0.212
dog,srwuonrjgr,dOg,-332,dsrekjhnrb
