rjbeukbxsi,yyupaeeult,gccyievoam,vpsraeteeo,ykyhxvxwto,hskipujayc
cAT,Dog,685,0.2415,DoG,327
753,kgvmfigaxl,lzwcyztdov,-44,137,CaT
-0.0075,0.0845,-0.4725,-416,zghlqlteay,wupcsskvia
-0.366,zsmvfkvlex,-0.3675,120,0.47,-334
0.214,dOg,khgpuedgmu,xihudehzql,-0.386,xcmdccnsig
vdccyfeznt,0.249,415,rgvvyhxgbn,-0.28,-811
-0.266,0.3275,0.4395,692,DOg,DOG
169,0.4015,-0.335,xacyhwljxc,-0.295,Dog
0.006,736,819,tduhsddpir,-7,237
exhzvestdj,-700,-0.4015,CAT,hbsrhvwqzb,-0.3555
-364,CAT,siajawhfkv,dOG,ksdaijmfex,-4
vankcyscdt,dOg,768,CaT,-463,442
xejnuikaeg,658,-0.268,mixzivuxhf,Dog,-0.198
749,qjmjrnvjwq,tytqmftfwr,0.42,-479,0.0185
-0.4845,16,-683,-0.1515,cat,-0.3505
DoG,0.48,0.2445,-932,DOg,rvralfybey
ldhznwiyky,emlwnrouoa,419,cat,-0.0395,-170
doG,CaT,-25,55,ryoxkiqrbp,-216
lmwfpmonki,xstpmmtqkl,mtcfdqabew,xdqodiuhhb,ocymjucdkl,221
fezkwmmtqm,0.415,0.4,hbbsespbdz,okefpvglmz,wqmlqyvlms
xdyjlwyrhm,cAT,-0.31,-0.09,-889,CAT
typbdpdpqo,524,kedkciaomk,0.332,bnycnhhkhh,68
gobvigvzrv,0.09,qgwkfcqlye,-0.228,-0.001,-489
91,-0.343,-0.036,ndjparzfjg,-0.407,cAT
-0.2625,-0.082,149,-0.438,0.0415,81
mnmstctnuc,0.0235,0.2825,0.3575,dOG,epslawthve
oxpcjtnrwv,pfghakmrsz,hmhlbumfvv,-0.255,-0.0455,cAt
-0.417,-0.154,0.03,0.358,cAT,irdgkjvzmr
-0.0055,-0.285,DoG,qmibjwnwrr,cddjislbcl,0.163
-0.0565,-0.134,DOg,666,-921,-0.05
gztqluqpwz,0.108,0.3155,xqdsadweih,CAT,648
-0.179,bwuxiekuvp,dog,-0.384,-111,uyysuljjun
-622,183,hltmzzzplg,lpebxjcpne,CAt,641
495,78,CAT,ytgxpcyzvz,0.1455,DOg
ldvpjyazrl,-393,ljkpivpywt,-194,jateqehhqy,Cat
DOG,-296,tfaicgffey,uahrujxqlq,auipwbtstk,lsijktpant
170,397,-252,kxalhsxntk,-0.398,-0.117
-0.02,-898,cAT,-0.045,uwzdupllqk,0.239
441,-0.084,-753,234,mwdaxtmgsz,0.1085
-0.0605,nongfrsaxo,-0.377,DoG,DOg,0.2415
801,-0.4125,-306,zezkmtnyxv,583,-857
71,yvvebdtdax,umordqfauq,-680,-0.121,dOG
itztwykyzs,jcpwlyphrf,CaT,-0.4145,lvdgcwvwph,cat
-977,DoG,-0.163,0.359,uqipjrmcuu,-279
dOG,0.131,ylkwvxzjfz,-783,cgmssfqqfj,0.281
ywnhhqjhbu,igqzezzyoc,bxdusocbsx,0.243,-418,-438
151,qjhqtsfnyc,qtllkxhllz,-231,-487,ppmdkwbcaq
-0.2315,Cat,276,CaT,azojsayhxu,CaT
cAt,0.26,kyviyiuupc,0.0465,dOG,-0.4105
wxjtufrchz,924,-0.2245,qxanwvwrtx,-162,0.377
cat,-633,DOG,DOG,CAt,-30
psuiqoloec,397,puyzkquweb,-825,0.0175,-0.4105
743,cAT,vbryspbdxb,-501,569,-0.254
-0.0615,-915,783,zviydakwkx,-203,Dog
211,0.1405,0.241,-0.1555,-0.3085,DOG
kuayvoklqm,CAT,0.408,kliplopfsj,-0.3345,0.418
pxqiygbfug,503,DoG,0.4955,vbhleejato,orkftsytue
cAT,iitcbmbnso,dOg,doG,-895,-398
0.019,-596,CaT,cAt,cjbnilirvg,0.434
683,iqgpddplkd,-0.172,jkkuhacnkj,tfehmfwcgb,jsrytnnjjo
-138,-0.2095,0.1105,oojlhuvzlg,dog,mjerdabpsh
-0.1735,rfditsvewd,-776,leqqsxgbdu,cat,-688
0.2005,0.0325,231,vljhekzqed,aqekssidke,393
-14,fzvzwkrcdb,-336,627,542,0.2675
0.173,369,caT,drpwdjrzzb,0.3875,cgzmezawqh
-849,mnqilemqeo,0.4135,658,-534,lbaqjbgjcs
321,-981,44,-0.326,826,-0.2095
0.0565,0.24,215,gvorcbsdsh,cAT,DOG
rvuxcrjutd,wzycwsvwrn,-731,cbdaahwmwk,0.11,cdeklrkihq
DoG,946,886,jhaylhlcru,0.108,mosaqrpbon
yikcrksafk,-225,jdpyclclxx,809,-0.2815,doG
-0.485,0.435,0.067,434,csbiqkemtp,czcaziilyf
0.341,0.2385,786,-0.0715,-871,vifcqqaoxc
-0.352,Cat,-856,0.176,-0.397,-835
-0.0825,DoG,-752,-791,-658,0.0085
-0.4355,0.219,pnejbgpsva,0.07,ohzqaeitsq,0.325
Dog,emjchrznyo,-0.477,dzvveyqqzt,661,-234
