pet,hcpbhwfurl,aptghcucuw,vwpwqeyvxh,agngaqcjef,xlmngnuadr
cAt,Dog,Dog,-0.009,juojyueqmp,-0.409
DOG,-302,hddbhoytai,oxtqkyadju,uoaidrfbkl,xaurdlqank
Dog,50,-0.372,-579,ownajpqhkh,zbpgqosddh
DOG,0.0995,710,doG,lxvspyrpat,DOG
CAT,aihnvarser,483,dxaczjwpop,-0.4845,-962
CaT,0.074,ooinquspmg,wnifehyuce,DOG,lxwllmerdc
0.0,vdzfqzeivf,rbrynmrids,DoG,-0.081,zmfdlpbdfs
CAT,nwofisowke,-0.0025,oagutveajw,hyiwerjglx,-415
Dog,-211,DoG,857,vxaimgxbgj,CAT
dog,-591,ipzrrrtemv,-0.0385,doG,Cat
DOg,caT,488,DoG,-204,CAt
CaT,0.107,823,-338,ggudnetbeo,-659
ilxwscsjqu,zxwotfeqnu,-0.251,auuwrrcyef,blrfbcyeaw,Dog
nccpmrsgvb,hczhaleqim,-516,-627,xjkkvylavk,0.1075
951,-0.4585,-0.0025,533,146,Cat
DOg,0.2625,paucblmffn,-616,Cat,0.05
cAT,-46,-0.0055,493,pjjponpnrr,122
DoG,0.41,bhvhdhidjy,-559,-0.342,CAT
515,mgacjwbipm,-802,dOg,21,-442
CaT,acdsktkmve,0.2575,117,-0.321,mqswrlxthu
dOg,507,358,DoG,569,197
-791,DOg,448,-127,dog,jnfajuhtsx
cAt,105,-0.3295,zbmwjbiylf,bazsyvblgw,991
cAt,cAt,0.159,cat,kdypbqffcb,0.0215
Dog,cjzqgpbyjj,-365,bfzsxjywry,doG,gszdhsanbq
dog,-0.16,-879,0.462,-0.366,DoG
0.164,-540,hzchydemku,0.438,yejkoglhdi,ljqyjuibsj
0.3475,DOG,hlxwclrwju,911,ifduczvvga,jqwsgkekfw
cAT,0.263,CAt,-0.2035,-260,nsoeuizxrf
doG,690,dOg,-186,dOg,504
rhcmzhhoth,-184,-0.2835,CAT,nfolzbdcnj,lnhdvaqyxg
DoG,-663,645,0.194,-0.3315,pubuqzcsds
Dog,-89,-0.4685,gfcsjnekkt,rweqnpxzbv,cAT
cAT,dog,103,619,-0.358,xyyuycesfp
doG,Dog,-0.409,98,-90,0.238
-0.2665,DOg,0.2885,-0.265,-753,tsnetvptla
CaT,cAT,692,-0.1515,-0.3635,0.128
CaT,-463,-769,-0.3855,rjalgcvjrt,CaT
DOg,CAT,DOg,-892,0.1625,CAT
Dog,-0.299,dOg,-0.083,-0.093,tpbxxthgfx
dzdjbdjrqc,-429,0.0965,nusxtfizob,-514,-515
831,ggkjsoaakz,160,ftftnznumn,CAt,wakvrxawsm
xvbxgxxkbw,184,tyczuohjvr,0.0135,-742,dOg
CaT,ndxxhjjkym,-0.343,qhpzlnrkwi,253,uldcfoalsy
-153,cat,0.4135,DOg,0.1595,pzbovvcifc
cAT,-0.19,-0.024,-0.3535,490,zmxpsntvve
DOg,0.2035,-343,0.408,868,-410
cAT,doG,817,gmowwtansj,Dog,hgncpaffgq
cat,-0.109,-0.059,zhskqbjwrj,sdptjzksxn,kgbqpyxmym
caT,wdtnlirkkw,815,-105,494,zlnldcmljr
-0.408,-0.334,CaT,-0.162,CAt,-0.3095
CAt,835,uizhmvoayy,400,-0.3585,-0.0895
dog,100,mkvzqrrerl,805,0.046,-595
dog,Dog,-135,CAT,-0.012,-105
0.0605,-305,DOg,xqkxwbtfft,dog,-0.4535
Cat,-103,-0.308,-0.2935,-0.4475,0.3515
DOg,oxgudjjimh,-0.1415,-0.403,-636,xqonwvbnns
yzniokhjau,cAT,-125,eglhospnef,DOG,dOg
dOg,-752,21,nedphftzhd,-0.247,kglfwdscmv
0.4825,cAT,-0.164,303,-0.444,913
CaT,256,oeikutmvjl,-995,CAT,qhstnsbefb
CaT,0.3565,0.146,-191,0.444,wapcqczbjf
fkfiyftcvp,0.4445,cat,cAT,157,706
dOg,cat,CAt,hojmmpvvzp,0.436,hnpykxuvaz
106,-426,51,-0.247,caT,-978
cAT,0.4625,-559,438,-0.444,-0.4715
29,0.495,Cat,-564,gcbktwietk,-0.0245
caT,-996,-0.251,-449,dog,-0.388
-86,0.313,0.387,999,CAT,77
dOg,-0.1805,0.312,-0.2115,doG,0.007
0.281,ippxgkczzi,-811,caT,-386,739
