sgshkatfom,pET,iyuywgvwkr,hvqtgckjcx,uihspzpmvs,qmzwtxawgs,ernojvddqq
mgkiecldhp,CAT,-228,qscaibsaib,-421,452,DOG
-0.4,CaT,dOg,owqkpakjzl,-486,cAT,-935
dog,CaT,-56,ciovxqyknj,uubejebqti,0.0365,axsywfrzmn
cAT,-389,-0.1575,0.093,817,917,-329
-0.161,DOg,cAt,0.4905,odlewikrgc,rlnykfgnty,0.139
-171,0.3565,uhailzgmca,-709,-551,dOg,-827
urqxmsfffs,DOG,214,pjkytufvvl,0.25,-0.4835,cAt
-0.199,DOG,dOG,-352,-0.3505,-0.4315,vqteirowht
kxdlclctfl,Cat,0.3375,-0.4615,DOg,beackmeyvv,dOg
dkbpvaklyq,Cat,dpgldzhvqg,-5,doG,-195,xstvdzrdop
496,0.163,-209,Dog,480,-581,uphkusykdd
603,dOG,0.472,zcikljqzaf,CAT,erqmqkmmue,-321
cAt,caT,DoG,-152,932,fedextvzgn,-324
watcttxhne,-0.489,-758,136,bsjxdahxkw,-0.3215,0.068
cdqhzrauky,DOG,cat,0.4365,dOG,bfiynhcvvo,385
-865,821,38,doG,scercsfryw,caT,rlzhstsdsd
0.1595,CAt,DOg,dOG,0.1955,-395,rcuogbjrgw
-685,doG,CAt,0.1505,caT,0.183,651
218,Dog,0.4745,292,DoG,DOg,0.404
caT,cAT,DOg,-122,8,0.1535,DoG
0.484,0.0685,aeakkjrqkm,-913,-0.21,Cat,711
wmexeuvweo,dOg,-525,cat,-57,-507,tjjrldwmhl
sdvtgzpbgi,cat,0.245,786,izpvlhtjkn,-0.1875,942
jxhouxegjt,DoG,0.4785,-0.276,-0.284,0.309,yjsqkvgucz
hfhjzbmddn,dOg,637,vtbalyzeso,vufrbdmbvh,-0.1575,0.486
fijgeessjb,cAT,ismetcbzqt,359,-818,-0.476,723
0.061,xjhupdrflz,293,697,rdyjvtgtnz,shsjjiouhv,nnsmwnygyt
-0.2925,839,hjqhafwuck,-0.1485,196,-0.431,lfrhuahiip
-0.183,uajwtnymks,-0.078,-0.113,-334,838,doG
zssihvalpk,DOG,CAt,Cat,Cat,-365,cAt
mudieelwkl,dOg,276,caT,ovbknpxinp,-742,CAT
xsdrwrdadr,qojjfmibjc,ousfpzzlho,25,0.0985,0.113,uorzjndhen
DOG,cAT,0.4705,-395,0.412,-59,-521
okfrvgoypa,Dog,195,-0.376,-337,-899,149
xandyfvnvn,DoG,DoG,0.4115,604,vztlzdzlob,-0.3725
caT,doG,-947,lbjdgdqwgg,0.107,CaT,gycjsjadxv
DOg,CAt,-551,zyxftinbsg,-0.0835,0.082,doG
caT,doG,tnytnxbhxh,scylvobwqb,-620,0,-0.4145
axczirmezc,saoolvtfvm,dzccudrlfr,daohwpptay,doG,-0.3745,-0.4515
436,DOg,-709,-789,-0.3635,215,844
117,cAT,mdjjcxxeym,430,0.061,-0.017,udssasxjdb
mdxpyqnkpj,CAT,CaT,murgadaajt,-893,eihxjxjflw,-837
wzaovkfaei,CAt,pmonavrjsk,845,Cat,961,dcwkvhozym
uvlgozeeku,-824,-880,uxbbkquwxs,-0.383,930,-242
-742,dog,ycklyxnpis,agbwuiodxl,0.324,-42,414
-310,dOg,DOg,730,arfumtgncb,axlnszsnwf,-363
CAt,cat,0.3305,dog,xvhhimvvpn,0.137,ibazyripzq
-354,caT,0.3035,nypjphqujl,-769,520,-606
348,dOG,-651,0.3785,702,plkvccwdlk,dOg
-0.129,CAt,Dog,-712,qqcvshtkbc,mvpxjaldly,zmgutvjeso
