afcwymzwgo,jutywudsme,thgvzvguek,jftfbdyhpd
0.1315,bynphqjyas,0.3815,ktmphbgzmf
dOg,-607,-0.0475,0.0395
788,0.0375,zjbjmayybm,-0.287
CaT,CAt,0.4595,-0.2945
605,0.496,248,Cat
0.143,156,ktndftzwvu,153
uaundxoehf,-715,-169,lmhnpwucyx
csxhkldyva,0.153,-0.3745,0.184
504,unrdlofrvu,-0.069,0.3605
cbldfgujec,cAt,736,xuslfmbnvq
udapushxxi,DOG,-644,0.043
280,654,-286,-46
82,0.17,oqnoaozvfg,0.0465
-542,-459,mlyzqqpnav,838
43,czidrjaeez,dkkvidgsaz,-173
-0.1085,66,vocgfknrya,527
Dog,63,caT,-0.012
0.2075,-990,-0.143,Cat
dOg,-0.0455,DOg,0.28
-392,-789,0.3535,DoG
0.074,865,yjrdyccmvz,-299
0.144,fbyvyqjcni,nlzpvpeihe,DOg
0.1705,tawibcfxaj,-833,hhzzzvwbks
-0.203,-0.1945,-0.165,bxukzpkaol
fcxdzrggsi,180,-0.4215,0.376
0.247,-0.399,fxkegdzrbu,ummvvvsacu
CAT,sdgqofyuek,0.496,0.095
eyfxdcxngj,nnyqggarai,hapzbiapzt,-0.449
0.046,-246,-690,wdokasbdga
lqjxiwgpnz,lasndaszmn,0.1465,cgufbtevap
-199,idrkllsvnb,kgiwxnfqgx,xckbyqscpf
Cat,0.121,caT,927
dOG,-0.1305,CaT,0.4355
-0.1365,dOg,fhtelocjed,gjwypwqfff
qmhtinwvrw,-114,290,-757
fklhwogedz,-20,0.4965,-0.3825
rhezyfpudn,dqcxafgtwy,0.108,pxifzmdjlb
-690,DoG,-0.2835,ohgrmthxcd
fvwadkgdhv,602,cykrzhxgik,-36
-0.3245,bwvujdakeg,-796,0.42
-0.387,qihgiiijnx,72,242
hivchhbici,-170,301,655
-142,dog,ddsmfdjsia,cvrdjdseuu
204,clvnnudjfo,578,sboefkvkor
0.0,-0.161,-76,ogxoibhxsi
0.031,-0.41,CaT,-748
-0.2875,CaT,DOg,icyxydqyir
lhmsusepaa,rovbxjciin,DoG,0.2055
-0.2645,kcqsnmzcqf,0.367,423
-643,-0.1735,-0.304,DOG
-312,646,-632,lefxftlcmq
ydiqqkuube,DOG,vyndhxguph,-0.33
-292,-0.3105,493,385
ytatehweld,0.3385,290,jnsbufxdfa
-0.0375,dog,197,bhskdjfxdv
254,-0.2495,-810,DoG
-0.066,702,-0.345,ktwxtbifxm
bgsztohioh,mzyqyziwie,oitdxvtvlr,91
-545,-0.2695,-570,-0.086
zegxbhbqvo,Cat,CAT,jkgveruuwx
CAt,-101,0.2995,0.35
caT,jwunigkwse,mxwugdiufv,-341
tiioumwpfa,791,764,CAt
glprlqneqw,-0.3875,vaeuqniydj,ooxcsjowqi
jntauecsoz,-454,dOG,594
0.4635,-0.046,-4,-873
-465,DOG,keyfsjzrct,rdlmbrfwqg
cicgnbqnpc,kpiefjzafr,650,29
-0.12,jrshizvrxs,tosytnxnym,-0.259
-0.0095,dOG,CAT,CaT
CAt,-189,lycboothkl,ixvubxayta
-492,-878,857,cleycrpive
-0.0295,twhyqvvpbw,xfbpiiqyln,-0.1125
0.2985,-0.241,-0.491,fufvncdzoy
165,hdfkyyravv,-0.404,0.09
0.0625,teydoctsaw,-0.391,pxrtyyndgf
vcwxxgjxgu,0.2135,624,dog
htcxcouyxf,0.026,-682,qkzhtfilzi
dywketzwqj,ytgciagozz,cAT,lpmrqgaevt
409,DoG,-0.2775,0.1165
caT,dOg,miozsaptpp,831
pozcwsxyft,0.3585,-472,0.444
0.0695,0.4665,rjbwfjlvuv,-990
dog,-0.2295,482,dOg
chxydlxnty,yxtkklbsyt,470,753
-237,-701,dOg,-0.338
rfvbfvygod,-0.1735,-0.0665,-0.128
ydrxxuhhzi,779,991,dog
0.4765,urdxggqaxe,0.1625,-0.1495
wtcibvyszj,iwmvfhmfqs,335,548
970,doG,gnyrvdqtix,463
azaiufqgfb,dpbevcozpg,caT,-0.399
