wtwluwjytn,mwwewgwfqo,xuivhibwre,goywdwzbfe,yndjqpsfzk
-39,0.292,370,fbbdrapkaq,0.033
zuzwmsbhbn,dOg,mrnpjatpbh,0.4035,ojyofgqfzu
311,CAT,ulrigzzhwu,480,kxsgmludzy
llramawrdo,-0.013,ekyodrxvkt,jtmoafgbws,355
DoG,-0.3765,soarllxanb,897,vxhenohdup
fvqzojjxvc,pdpfuwfcwz,doG,hsfhnbrjzb,-0.3315
fjabtsfaic,-0.0225,-826,-131,0.405
761,CAT,linesgpopz,-0.015,-722
-125,-0.205,hlaugyahij,lxoazchpks,220
gncwdwxzrr,0.136,-869,ghzpgwnpgs,-858
-540,DOg,cat,-0.1515,mbovbcoevk
-0.0365,0.311,-369,-882,-0.0965
-768,-0.0205,xaoanmkuxo,lqroputoie,-0.268
-639,-192,okitnxttzx,qnxobszyrw,CAt
0.484,-977,0.4305,cat,-636
-618,540,CAt,DOg,47
DOg,caT,102,374,-549
-0.049,0.2865,txjncjapry,cfwpfkngdn,xkoemdhzfk
-0.324,0.2055,533,cAT,rdoenerahq
CaT,623,fgxkyntyog,-0.403,kizjlmedfg
-729,0.0085,ovgmmluryf,248,oxczyetwow
eyvgohskbg,qofxywkzua,0.426,-0.3075,cat
caT,DOg,qxcknlsvjh,-0.4105,dog
-0.0675,wteujdclwg,204,sghgktoohf,-484
CAT,-562,0.017,-785,-0.1425
hdlnwvakct,xoaxdnbems,839,0.0025,173
-198,kpvwvqohzv,wxurandfyu,doG,cvfurzumfe
DOg,dOg,25,-0.4485,yoohoqmpag
pzirwlfexa,0.415,-0.3435,-0.3845,0.1055
wzsuohppyh,0.2955,-657,CaT,-0.0935
0.467,cnxmkejpnh,-232,DoG,DOG
Cat,-413,DoG,0.0785,mwuzfeqkcx
eqlmowlbek,0.0,-0.072,-629,324
270,dog,clunziejos,-89,-822
-0.357,iwguiudzgk,gwrutambck,-969,-0.0095
kphudmrngm,0.357,dOG,qldnlvfkdb,0.0895
-0.1225,-0.0675,0.026,iyryuritou,btkbkbcmaa
-734,kwtluuuvog,-396,0.181,-0.033
grdrxmmsea,-390,0.1375,0.1515,552
DOG,dog,-600,0.0755,499
eiwtxboall,-711,ctlxfpichx,0.1575,4
-619,0.457,DOG,-0.1115,-559
cat,857,xokrgvmeqd,DOG,kfhczovagt
0.037,0.17,cAT,jhkffzrbpk,-304
-671,hmddmffcqq,-0.304,703,-665
dlektnypon,cAt,0.3505,365,DoG
586,168,ncackbrztc,dOG,0.0655
68,ligqgsimbf,-696,cynzdgscfg,-919
0.2785,73,-810,-0.322,206
-0.292,0.245,0.263,0.447,gnodxzhpyi
cat,ytfejtwobn,dog,-0.322,-598
0.0155,-0.248,-0.0685,cAT,-0.1765
zokemrfwol,-0.0725,0.1615,dOG,237
-522,fzgbwzkyqg,rxxfjroqne,jouxlsbddc,Cat
-234,0.2785,CaT,jpcwmqudol,cAt
hqjlymokis,-847,eclsetnjos,0.23,-72
sovskqfdef,-95,0.3225,0.2625,0.3445
tiiichsrxn,0.043,-538,-0.1695,caT
xmxhujnjwj,-61,prdnldwsph,-301,-0.018
CAT,0.2635,nzkegsfbgj,0.4775,0.3145
0.1625,sgpsmbjjtt,727,0.1795,DOG
354,-193,-88,0.1275,582
oyihldpzbg,-0.151,mcunsspjdm,0.352,Cat
143,nqbvuoauws,0.414,lkdlktauzt,-0.041
hjtpnjtgzr,-318,CAt,-0.351,814
rayxqmikyb,viyullmzke,jvmopcknxy,834,caT
-512,CaT,Cat,0.2,-919
0.055,0.4395,dog,-453,-495
CaT,0.2955,-136,-0.3205,uxbbothvpz
-370,dOg,-0.446,dog,hssarpekmk
ukhmxmopew,paxqbveucy,vcxztjjmle,tsnjthygoe,Cat
