gzbzhukqtt,omkhzftpxa,wswjtkfkmj
edvzbbozhf,caT,Cat
356,-0.4515,0.2255
bzqntyejjd,vtksjqrrvy,-0.354
799,znouzbcskm,-192
952,DOG,34
-471,616,wxlunxqvar
cAT,0.1585,yjnhjimatx
dOg,cAT,0.268
-0.032,0.397,-0.1135
dOg,ycdkjddrhb,85
rrhirbovxx,nsrpvpqlyq,105
-0.089,-0.1485,sqyaextqrc
exezwjgaud,DOG,0.0835
jthvyupkpv,sriqmehcyl,0.17
-573,239,-179
clnaitplba,-825,-390
-271,xplpzyrpxp,dOg
0.396,DoG,oynhitjaml
DoG,182,0.3465
735,avcyslpdra,-0.2935
-291,-185,589
0.174,159,0.025
-0.109,jwkdjihhxk,-0.4055
-587,mfnpcqmrtw,yloykvpwze
0.306,0.397,0.475
951,0.164,-0.036
0.333,0.256,0.0245
dOg,voedkxfgum,bcxbnorrfa
31,nwntwxolwz,ucjiqupmdl
68,jpxnmdcivi,ynlbrxqegh
828,0.0485,-0.4345
hlncrvitox,768,zvfitrawbi
-630,-0.224,xqtmmvoymn
-0.183,0.203,-496
jnqzamuvzp,jzduppwlhy,0.144
-0.3945,-0.3835,jmlkivjbso
fergtxfhza,krnxbbfenb,-709
caT,roknztnvgb,-0.398
pavcpwdkuc,-917,-0.389
DOG,sthaykncwm,grytjakmqj
CAt,CAT,ttoectqruc
-285,wfyholjfyj,21
0.252,873,oqfmuvzcze
-307,cAt,vtltdxzmni
-774,-0.242,dOg
ujbydcghdn,-0.057,ymnabygqqm
caT,lkriniuhkt,cAT
680,Dog,wvpbzaswsf
0.1695,zyqeucbgtr,ltzbnszfig
dsgxatfppa,322,805
894,-0.3855,bynvhebvak
xckqdftthj,DoG,-236
-500,0.26,0.2615
dsjozdkwem,juvdqraexp,-653
699,-898,-694
-454,sqoweoxfcn,-298
606,364,-771
-0.4075,0.283,-686
Dog,0.1,770
cat,343,0.412
