oycqsrsylr,vkudvrxzzm,kqznfdjwik
hnsyhpemue,DOg,900
auzsefoobw,wvfcxsndqs,eztwowolag
0.2335,0.283,pklxiyikhk
DoG,rkqmoeeqen,92
885,DOg,-152
iknbihnemm,35,bnbnbigwgr
-327,bawfmxzonf,dOG
499,0.0175,-0.053
-166,86,-0.1165
dog,303,CaT
-903,cAt,0.4705
bvexnlsdsl,dog,doG
xkzooraffq,-239,0.1795
171,0.0525,0.199
187,cAt,odiwfkeeeu
238,zabvckjcnj,-542
0.0,hdxsvnkeww,DoG
-682,qzdojlaulr,vaqgrucddz
lswtlnkuqx,povvalfave,cAT
0.311,-522,704
-156,-533,985
bfxsdrbknh,-0.5,0.4915
0.263,-0.143,0.0765
-752,-432,rashdcqpxi
-999,-0.4375,173
eomfhdxajx,0.175,-343
407,683,0.4765
-0.1125,wesubdlppd,-216
-0.204,vgvttlnafg,-0.3995
0.26,nrcbvohsvs,-0.4635
-0.48,ydtorpyfiq,akzbuvphyy
-0.402,0.2855,tdylrlmmzd
DoG,-0.3805,afoixmouvs
589,839,0.108
791,wrdwiuewyl,0.22
-0.1005,442,zldvqcidhl
-0.441,-980,CAT
-0.217,DoG,cAt
Cat,-1,229
vhqeuvokan,-0.3585,quqvsdqujz
caT,-941,shvdpyonkh
0.121,ithcfzzfad,0.421
0.2915,CAt,-552
xkcpeutiyr,872,ziaymwtcoq
-90,0.0765,dOG
cAt,0.0575,-0.101
smiirzymlw,-349,98
-0.077,CaT,DoG
0.286,cAT,sgisjwpdmj
-577,CAt,-0.25
dOG,0.3505,DOg
tqcxqntdon,DoG,fcvjgrmkxv
-0.3415,362,0.159
-716,0.2855,zmjrlagstf
-701,-0.17,-0.3225
-44,stzywrnyvh,0.402
-0.2385,doG,oyuohekoic
-0.1245,tqwlbnptvh,rrekuqzhcu
0.2675,cAt,949
-704,73,ltjgknumge
Cat,xzzamggflb,415
eisrzilhem,-0.1985,-116
raibwcyljk,CAt,-0.37
