srlxbndhfj,chifjibbjc,jkpswzkwwq,sndtgejxku,cmfrrxzseg
0.1515,cAT,0.019,-977,xifcwydjam
doG,Cat,dOg,evujuwbont,doG
-425,750,-460,-925,-508
CAt,244,cAt,dlvuujgatg,-0.4215
-0.1365,Cat,caT,-729,woihnyfqqe
-364,483,0.309,ibtggsykul,-482
voykeahirh,gzmjigguev,539,etomrxuxpg,qbaddbpwhv
0.195,-0.267,901,-952,-741
126,-778,327,10,CAt
-85,lvimodyuhp,773,-0.304,vmffunkhau
rxyhmhtohg,139,-0.1475,leymraoejv,300
514,62,shdnrdhxkp,40,679
0.368,-616,krsilbymux,CaT,jqarsgqtxe
-515,-0.2255,thdzzmgsrh,-0.2105,-0.312
273,icgtxjeyvs,333,-0.1145,-57
0.3745,-0.065,-0.342,0.1355,0.2655
cat,915,mgzbifeuri,doG,DoG
cwsfzmrwph,-52,syjmtoaxrc,-0.2495,mhqvskhpqc
-0.1525,-724,CAt,hnzsyhukqf,cat
214,0.014,hvuvzgvxzl,-0.5,-0.328
-342,-197,-191,0.2085,-329
59,-496,47,CAT,0.2505
roqhhnzcyw,0.4045,dxwcibbnzs,qxagpszmya,-0.2815
270,whsfytkwnl,0.1135,-0.424,-778
DOg,CAT,788,fqlbgwplwc,-0.0225
rwtmpadhsh,Cat,doG,148,-713
wuqkjyqpel,dOG,vtttikyuiy,0.1525,ehsgqumann
DOg,-0.367,Dog,0.215,-930
Dog,ctjbffujwb,tnjqsoborn,CaT,DoG
-65,kqcusfkodw,dOG,-0.5,ehdpxmukqj
-441,jzwqxczrlo,-70,ehwctqhpbg,0.174
tncigfokgo,rkbpckhjhs,Cat,-937,CAT
0.3835,-0.008,-618,hjusyuvsce,CAT
0.1755,doG,nyaqoalqgw,-0.4665,-0.242
DOg,-0.4645,-302,-0.106,-0.3315
dOG,-0.1675,khbokkqwlx,zhgcxshakv,doG
-675,248,-613,DOg,0.37
-849,395,-0.26,Dog,0.287
dbdinbcioy,-650,tmggwtlzzt,-0.2285,Cat
-957,-0.0445,-0.409,mbrrhofgyf,pxeoudoqas
-0.284,0.061,qgdffskdnx,byzyajvrmi,-0.3925
0.4245,cAt,868,602,-0.3635
dOG,dqeelvpjls,0.12,-0.085,23
ughfrwitwm,pyaabxovic,-0.331,-788,orwdxbjpnl
-4,-387,iwvnfcxsrz,0.349,qjvzdebsmw
-357,456,gmvbwvsypf,vtelebeqof,osjrdkgdsj
-908,13,bgrglebkso,-447,xphdhhgzzd
Cat,Cat,-0.072,-0.4255,-0.4835
lwafxtgeqa,dOg,vqxuxajjec,285,466
-0.34,-0.1575,dog,-230,unocivkbgj
doG,dizgporhsr,-70,-90,0.356
zbllzqdfjc,reesgalrqr,bvqxhvcowv,-703,351
apxmjsoekk,561,lvryiqbnre,xwyxwwunej,nhqxulnwmg
924,usntsxfiud,jolflgpybm,0.318,cAT
0.4385,0.446,177,iygnryfwlb,0.398
dog,-537,735,867,gcskbylzrt
225,-0.0415,-165,-0.0035,-0.31
klwstjrqss,ipoqzmjfff,btwfpiamyv,ziigluhxjq,sfcckmhric
0.0295,126,0.485,900,-5
734,-416,0.088,-0.4275,tcqtuprfnf
rxkeastepk,936,hbaxvqtpfs,Dog,-0.412
CAt,416,-773,yayhlvbupz,cAT
DOg,944,0.3675,-463,dog
-0.31,927,tmylfcqypf,-0.2115,hqblcryrvd
352,Cat,Cat,0.466,ikokbgxfjc
DOG,jlmaptnvmy,durrnyxlaw,0.34,-717
0.3315,0.0855,-0.1385,577,jhsoejmcnd
DOG,qnblqecpdj,dOg,379,2
ejrtnzvsla,0.006,671,uhthcotrav,0.148
eppcxmwfaz,yhkpvdquos,-586,289,mjtuaivyuq
oqddkinijv,-0.3825,-488,0.037,fpzmhqpdum
-0.3345,gpcqikciyd,-228,-654,-0.3985
dOG,-0.187,sykkgyulzr,865,-0.338
rheyalbgqb,123,msbpnjzqup,746,dOg
-974,bkialkfzgh,-0.2775,813,-43
dxqxajcgbp,uyyniizfwr,yoftitevzz,mrjvktnmdi,0.1755
-274,0.4255,-903,-0.4215,-0.345
-762,tqcbflidhx,-830,xicsxyxcnj,CAT
894,cAT,-0.478,-0.109,-0.1725
DOg,-910,0.0295,CaT,DoG
-0.277,eooxiowizp,dOG,caT,hhyrhharke
-73,0.042,mqkqrvvfzp,-415,dOG
-0.485,-0.1365,-294,cAt,-0.38
226,hcbtwpjiwh,0.1965,0.1095,834
bdlbuxapxb,CAt,Dog,-474,-0.3055
