cqkcvwybiy,jxsgvfbltc,frybcrgmlh,ndkmahbpuv,ongmdjbqub,qzcxoiwfeh
DOg,cAT,dOg,vnutiunmuh,0.1945,0.4275
0.162,dfhelnkrwm,-996,0.411,cat,-167
dOG,-0.4585,-0.4405,carvfijomj,nhapsttrff,yhvmhwkvmy
540,0.2985,-182,gharyenmwz,zsvjkjlvlk,bitcltdtdo
0.016,90,dOg,rraxgkxzse,280,nxtyezbsjs
-670,-366,bkftzamuqc,ofscsgxtyt,ctkcujijsb,-941
0.285,927,-68,Dog,-530,861
234,rbokobvcce,vmwajuaqws,mcrlvktibm,kfvzfqxhzk,-216
rnesrbfrkk,0.397,nuohksrazj,ryzcukzbrg,cAt,tayxknuxpn
cAT,CaT,caT,doG,-612,dOG
767,wktixurwmt,nuhecppdzq,0.1675,0.24,-0.2795
ukqmbqbqap,0.095,0.091,wousdxdrzl,-937,-0.286
vzcjgzqcvt,0.007,kvjeiflvae,CAt,dOg,0.4585
0.421,0.118,CaT,CaT,-0.3735,uhssfuegmj
rgsdbuwapq,932,-709,mirqdqztto,fsnvrdpaka,0.2705
dog,DOG,jnopnznwof,-741,moanbbkknp,0.2775
359,Cat,0.2495,402,-602,DOG
298,-114,Cat,0.471,-65,kviteglvfq
0.0665,CAt,DOg,Cat,povjtffgxw,-444
vhgchoqrnv,-435,-0.083,-0.178,lpbcycvffc,752
531,314,lgpzfgjnto,oxmdpjavur,0.222,gbuaawnrgw
0.1265,-0.398,cogienkuvg,keujxwfzvy,0.1965,rexpjuauvb
0.439,enhsgxnfee,dOg,-389,agkxkstuhq,0.461
ixfxmreiof,-0.0725,doG,DoG,0.4375,-0.4135
szqvejcnod,wviifbbxqq,-410,fmeweesftx,-867,-860
895,-0.33,xcolfrbcgc,700,0.1375,rtxewbgjbz
zlstfvwwbb,655,-0.121,esrowhuzda,caT,cat
0.1215,-0.397,0.325,-998,241,349
CaT,lqrrwycbao,0.037,fvkfdfilpk,-470,-323
940,0.3885,-0.2235,caT,srxnngpvaw,owqvpaobum
ujuciqfomf,0.429,sfnlokncdm,maipbiiwmy,0.3755,dOg
Cat,cAt,-499,0.2825,-0.472,0.498
doG,-183,0.094,-263,cAt,vwagdoguoi
-0.1075,crticuvfnl,cAt,-875,bdugqfxaey,xkfxoliygp
qpoyfqjhqr,-492,-0.2725,CAt,30,fgurnjyptn
Cat,cojudfnorn,13,bfwyhofmzg,-0.3915,80
809,-183,gycpdlnxym,-0.047,0.339,ommjjkiwfp
-0.1895,0.4615,0.437,dog,-0.085,-155
hyosogstay,feoayybcxr,588,hrphmujuev,-394,0.25
dOG,-0.2715,0.4145,mnajuepzil,811,alewhtgqqt
wvghmkmklz,gyitowsiue,-0.236,296,vsiiyxyhly,mogihdubci
-482,-0.2265,0.2285,cat,uyoteayncq,0.3565
309,DoG,-0.052,fbhppikwiw,qwwcmiuzoc,doG
yzmzrjlxca,nlhauktvgl,-0.279,-0.215,-0.3925,0.1385
ipcfxehyry,-0.3035,811,encldrurfz,kxbsrvjirn,0.484
0.3445,703,CAt,-249,0.399,lkqsdsozxx
-0.2855,-0.496,-243,-0.154,0.478,dog
dOg,CaT,596,nehkjoomxo,akpffppmqs,ofwnnkifhj
-0.34,752,tdkbubaesh,-0.29,-622,158
-0.3375,zvhlxyswlq,-0.276,0.2085,ckaftjepyx,98
Dog,37,590,drnufqiloc,rtdhcklmpt,doG
-433,Dog,-0.0325,0.4545,-0.4,0.4695
-523,lqfilqbzyy,-98,0.0965,asdiwikxer,-462
dzpzoorkot,-0.2055,skabagbrgq,CaT,-0.289,0.155
-0.2395,0.1055,ljsrpjxdrq,gyclufbtzy,191,ntsehszgln
didkieljdx,354,-0.18,aonvvwkzdm,soojqlzdvz,-0.0315
Cat,gfqdnprltv,dOg,-26,wbtkizerur,ydpxuvdwjr
cat,0.4095,-0.3005,-0.481,0.1345,-0.0395
tntsjmfafp,-0.4665,0.0875,jldkphqhop,-0.4025,Cat
CAt,cat,wihqzqkwcj,btjshbsuop,0.1465,-777
0.4285,-0.217,qzdricnoaj,jgblqutrzn,718,DoG
raevhcfgjj,CAt,-512,caT,-650,720
464,47,-0.4955,CaT,-0.0325,0.4775
nelhnukldn,DoG,bfzuwacznz,-955,etgnvkzrja,qbbbhqclvc
832,oqlkbeajuz,390,marvedafkp,930,-378
-438,525,0.082,-860,211,-52
axnstkuujb,0.1445,alqgwmebzi,caT,0.0945,-0.3045
CAt,dog,cmruzdmvxb,gjiqkgrgeu,-689,dOG
cAT,DOG,-0.354,460,48,0.3955
cAT,-248,0.413,-0.228,34,dOG
0.1865,wmnxzrytcu,oxujszkzcp,0.001,dog,819
flchnewfwi,0.459,0.448,-950,pccawhoyvu,-0.468
dOG,egiarziqkp,zwzbxjjizn,-0.1525,uiknokmazo,-0.2
0.2995,zxkjwougxk,dOg,mztzhoxadk,-925,kfgmwqflwf
dOG,-109,Cat,cat,-0.068,-295
-0.0295,-778,-288,kskhthfjhx,-0.196,772
zhtreqiekf,123,-181,-0.251,hlhkupdcjs,-386
iaczzihmwe,xzvndvirys,-168,zwospxhxbj,-103,CAt
ypfvbhsquu,0.3415,ktfgxhwpju,Cat,fwtgvwcueh,-0.0085
674,hwjokhyqhc,0.317,-778,-796,29
-606,miqanikjbs,wwvifzqnll,337,Dog,-153
fuqhepjpgo,5,0.397,-622,0.435,242
363,756,-0.3305,-286,awrvrohyvv,jvnfiyurtf
-0.417,-0.308,cat,0.382,0.31,52
64,caT,-0.4755,CaT,-0.048,-734
wztwcghbid,-307,zzgierekig,-218,Cat,qvqgnmghjl
jefrokscxd,CAt,ffffgghbxh,otfqeaayrw,sayxwqpyub,-192
-0.245,cwazhnktth,zkckfzusjs,0.0745,dOg,cAt
vkbdzchnlc,0.2365,-0.09,Dog,fhureckerz,CAt
0.4415,Dog,0.06,0.434,cAT,-0.3675
jakdqlwusv,-0.241,-0.299,nnuxoarwea,cgmpintorz,0.0165
0.0915,scivrteeud,dvnnhtcizh,cAt,282,-302
-0.369,ncuyggoxdx,-0.4005,321,-0.371,hcwydawiep
644,-0.2355,CAT,zduwjfjbce,nulxeopasz,caT
