ajiwfvfysu,gdjeourvke,vcpquzleaw
cAT,DoG,-0.452
oeckdezwdj,-268,0.1325
cAT,CaT,cAT
cat,pryveqgowq,-0.2335
-343,djbrawlcqa,-209
-460,-0.245,vadiogvrcb
gramlurqqz,224,xwxpsfdrum
caT,fmhkhlbhzw,992
uebyomjygv,0.385,123
-165,gbboicsnjp,-0.3195
0.2005,wwtcwazhtr,-0.0975
ntrnpjamar,fkmitnhujx,ezqgwdkpll
0.397,0.4555,-0.1815
caT,-461,wxnkbsmdjp
910,ejnxskdjic,970
knfegcaqdj,899,-0.126
xzmxxmfhuz,906,iedudteiph
-708,djeosjwjdo,0.272
jlwtfaoowx,DoG,998
-0.451,0.079,-255
DoG,0.2285,gvfrzjsahu
-0.495,cqrfgvvxva,Dog
-0.1685,-0.405,kuzcrjdvke
-868,Dog,-621
-458,-27,-886
-220,zrbhemxuva,-379
bnjgprlxln,433,jjkjgnnmrj
-915,428,qbljjfbrfg
-165,gtzasiqson,765
bqktylzowg,-320,0.246
Dog,914,DOG
0.443,270,-0.321
nslzrsmhqx,DoG,zrdqwjvnki
-892,-949,caT
-0.216,gdiocfrhsf,764
ubjwrzytoj,aycglpjohe,pqjcixomim
914,0.394,0.057
0.012,943,eyqvugqfmb
-958,dvjkkeqbmc,qnhmbpontk
zlmdyfkaol,wmjrgtcltm,cAT
-980,-0.3065,DoG
-823,CAT,gttnjyteyf
lxgjmxugwx,-0.4665,0.4065
hltiiqbswg,-0.0285,-0.0145
-744,doG,jgkngoshya
0.3895,-377,18
cAt,CAT,-808
dmtrodqqaw,434,-547
ngwtzijdin,0.3355,159
DOG,-293,-72
-480,4,-0.2265
-0.07,0.4765,-49
nxylmwusjr,513,0.363
0.2095,965,-0.109
CAT,0.384,tfbstlbvkb
656,-0.331,lzhczczfhx
jvmscelrsm,sldadbxxxx,cAT
602,716,pmhmhsfhjj
-0.3495,0.1715,-0.2585
xmqbjjevtv,sgmpzckjdr,0.3155
yynqubcmpr,higfiqtgwq,-239
