ojmxxctabr,xnngqyjpwq,wbokpqgccq,tzxyqztjvr,cruqbjwsus,pET
846,-737,daymjpwfxp,DOg,0.1865,caT
xrsrwpytrp,CAt,105,0.3845,0.0005,357
wbhwjkxewb,-0.263,-450,uzkqtxpace,jowhiilexe,DOg
Dog,reamlnhugw,0.3005,-621,DOg,pgmupbdzbc
DOG,-77,775,DOg,-0.34,iphimbkyeq
0.44,kxkkedfpvq,0.3795,-0.4455,caT,dOg
0.321,mayaahvepg,DoG,yyvdxkbqin,0.1475,CaT
dOG,CAt,qsjmyuzsep,ihrsvvrkcs,sgudsxxiyo,DOG
-776,0.3565,dOG,DoG,850,Cat
-25,yhchcleblu,qrvilftxkd,CAt,adarshcimj,CAT
doG,-778,0.438,nwxyogueoe,-244,DOg
-0.0945,0.479,-414,mjlnyuzbhs,-549,cAT
0.0485,870,pgdemjrpbm,-0.268,DOg,CAt
0.197,0.1785,Dog,-0.373,-0.2045,CaT
