frjnsqtofb,ubrbzhojuo,zauseeebvd,aczxbopdob,qrqxavcpdc,phersjixex
-192,498,DOG,393,khvzgugohw,0.2915
-491,645,DoG,-897,0.0255,dbybfcqnqz
yrpzynsydc,-0.156,dOG,gmzyvcqxqm,0.3615,0.353
-0.231,0.0595,jkbrxpruzh,tebeuhuydu,vrqgicfwwd,-0.4475
550,-0.4885,dexdksqamu,vwcffdxdne,Cat,Dog
0.266,-0.4825,-218,-0.1865,814,DOg
axiqnzyrft,639,-944,cAT,-934,-0.457
dOg,0.3825,dOg,-208,pwawmeweak,vtuaayobnh
-0.0125,vmokoqntxh,721,CAT,0.2685,ucptleyytd
-0.4105,-192,vghdmkgnhy,-0.2705,dog,862
-0.005,-876,eaixjabjtg,DoG,891,pwhukaodrd
eliehcnmbd,785,393,pqvjgpmivq,CaT,-826
0.498,vbdwojeial,0.483,ebzatdlbya,593,CAT
0.411,-266,0.269,446,0.024,prhgjtjdjh
640,-95,ccjfiqlcsk,-0.236,-0.211,cwygxdcnru
0.4785,rzuaddkqsb,-0.174,0.255,dog,362
xdytpplctx,0.3335,Dog,DOG,wixkyjmwzb,CAt
842,dog,CAt,0.324,nhppmkxxba,0.029
-0.178,-169,caT,-0.106,-0.38,mulgkmhsiw
cAt,0.2435,-647,yhirmfresf,-187,886
-0.0975,Dog,DOG,0.428,dog,-0.108
mredgvvqzs,-343,CAt,exrukjxset,379,phamvqsrto
-0.248,-798,-694,jikuhgeqkt,80,CAT
doG,ejnqctazcl,-0.312,0.1935,-0.243,-684
-0.1525,DoG,hvuowvksmg,-0.316,CAT,CaT
xpojgnbbgz,0.2165,-701,hvcyvutlmg,mtpnzkwpeh,cAt
Cat,DOG,jssxgkexbh,0.1635,agclpyssml,cAT
-850,dOg,fozhwunnbx,ricgjlksjv,-282,0.486
-0.1675,-548,thclnjqrpe,639,0.349,vcllbkvars
CAt,mfzofomran,0.0555,0.3815,cat,mdgyomiyup
whwkmcuaun,0.111,-0.3765,ijsvrsjihi,0.4625,-383
ucgwwbgjvr,fvznwmdxtu,ogdmfbaodh,522,-513,-609
bbjxgyprtc,679,-201,908,bccvbuicaz,0.4155
aservisofm,rjlzuumoes,dOg,iljasvloyc,31,547
-0.3755,623,-0.0895,0.0885,vkdbddqulc,972
260,zesjedmtmu,-924,0.481,nbkipccdyi,caT
621,-0.0935,gragpaajsg,-0.345,-744,-347
CAT,-841,929,-0.401,-0.043,-168
jevzatmztr,-351,-440,0.2105,-0.203,0.322
0.415,0.277,jpdlapgxva,-761,cAT,792
gxpxzdbnyq,wqmuezwyru,CAT,caT,435,0.331
0.193,-21,749,cxsruzmtfc,652,171
gcaqfjglbq,-65,-0.012,CaT,0.1745,-0.2595
caT,zhirzsxqij,twwaowpsve,tfovjjvgfx,15,apffruiypy
-787,dog,34,-0.3935,jpgrhzeorn,-0.266
-241,tlrxgtubsj,0.4285,qsfqwhwjkn,0.118,994
iuznmwzima,0.3935,cAt,-0.037,146,0.0705
0.0505,dog,dOg,0.3565,-0.1115,cat
0.4545,0.328,-0.245,toyoetxbfv,dOG,-40
-419,mxbxftxbtv,DOg,-0.203,cuxgslzrgs,-0.319
902,0.1975,yxqgzbcniv,CAt,-168,CAt
418,DOg,cljktslzdq,-129,iinlubtycd,-0.361
cAt,-631,-564,weydnhmcbh,43,mmoncpjkaq
dOg,106,197,-0.13,-498,0.1065
cAt,-581,DOg,-0.4675,345,Dog
900,-61,cAt,vzzvzkajfa,-121,-236
cat,idcpxgqcyw,tqihmpgyko,-695,0.041,ifkjyfrkgn
