kmfdyyhfjn,erxhgachax,itjzvjgami,jkgjwwhabr,fcudfxmolm
-437,DoG,836,493,doG
-0.2785,-0.037,0.118,-810,320
-104,lfjpgrttbn,kwpoeeemfe,-511,eaisoysley
-523,0.371,opqlfwwifu,-0.1335,0.3355
dOg,mlpinwtuem,mfjqhnplcv,ywwirjcafq,cndqupuazr
-0.0145,-0.0725,caT,sxnbhwzdzr,299
dOg,0.3135,qpttvpoiim,goxacvnjxm,0.0545
-884,cyoqokbeze,-459,-257,-0.1715
-583,CAT,nzabezojex,0.3835,974
-187,0.204,ukrcsbqsjq,dOG,-163
959,-0.247,0.033,0.066,-0.145
-421,-0.0825,18,0.2545,0.0775
460,ikhikfldpm,DOg,0.37,-695
-430,dOG,cAt,mkygseujay,DoG
CAT,0.417,uwpisbphxc,mylkxryjsa,15
-4,-0.3775,0.0695,-0.185,878
-0.4175,-0.285,ccaevowiyk,olgzbqwtfj,CAT
cAT,guqmdpzqsq,86,drrilyavrp,0.2985
jyyudkrtnj,lizezexzij,-0.33,wtznmdiczf,dog
cAt,sbfhmwppcm,-0.4155,-749,qnxpooepdy
0.144,0.3515,140,quwqvacyde,0.3045
qcpymfduoc,-864,-386,-0.112,dOg
lsvvhxckgl,-0.187,-838,0.185,tbmgeaaadu
640,0.372,smvdaovfus,wqqcvscrdz,-714
kpjokofxxi,cAt,caT,pfmqntiqqe,dog
246,-0.3485,DOg,alfepitisv,99
xlikgdnkph,-498,-0.417,fxngaaqtoa,0.479
0.4065,dOg,DOG,DoG,nwukjlhemx
-0.1005,dog,DoG,0.2795,0.269
dOG,senfttzcmh,xcftbjjxza,jccxisbaqq,329
583,-953,qsuuseonos,abjkmvuawy,0.0275
DOG,-0.131,0.0135,vaaoeuyvxo,-35
800,CAT,-455,0.2875,byxnupwhnv
Dog,Dog,-0.0895,DOg,-728
482,0.1275,cAT,0.4935,0.022
cat,tkzluqjwbt,-0.356,qjmchuhwpi,wqqrlhhbhk
913,-573,463,einxflnrnj,-260
bxzpbcdstd,-0.3125,jvfzrgmoly,877,eteapiwpik
pvdobzeabv,0.1315,rtsxngrjbw,-0.185,-936
-0.24,vsogbiwagf,doG,-0.2,200
caT,dog,mkpgxrilfq,almqpnzpzh,0.056
688,0.097,-13,0.1625,0.0485
vbnwetqxqr,0.1315,qbrrfjdtnh,dyfhbqqogr,0.4995
770,239,-79,541,0.431
dog,Dog,nfqlmpigkn,-420,plgtfomfyf
caT,dOG,dOg,218,-0.286
0.118,-0.333,0.2955,-154,0.1845
-89,xxtngxvdtq,-0.178,0.08,-281
843,420,-0.025,hbqgygcvgb,ibouxngurh
-0.052,-0.2705,hqtamvdfgw,-0.0945,-0.3655
-420,366,-0.244,CAt,-517
jweqbzipde,rugsqrrdkq,iwemtnhyrd,0.194,-0.0805
xildbliizv,-4,-0.4775,-0.118,0.266
0.1435,0.3515,0.4575,-38,0.421
-350,czbmanvomq,-655,-837,-759
-633,-0.4635,-923,lctrrxlyjo,teimquhqew
CAt,Cat,caT,zjckocbbrk,ucqxbivunv
DoG,dcjkmnkfod,770,kqnfcwnvym,0.3645
714,743,DOg,sbocttmjah,yasgaajuif
104,nqucppktwe,-0.4045,-0.1615,mzocjioubt
-728,-0.132,0.0895,164,CAt
-81,tsvijpeeli,966,-0.056,-0.093
Cat,-399,-0.2335,gxzewuudin,0.3295
pjbkwlospi,dleyenewlj,25,0.038,dahqrtwfxc
ehpprimkoh,CAt,891,-0.3625,dOG
-455,0.375,-664,-471,431
-0.0455,caT,fyqdsavfsa,-803,klcmwwacly
dog,ofjzvfkshd,npnctvotpa,0.3335,0.111
405,0.4685,-0.054,kxepbgdxel,-176
oluohgpwdc,0.337,kemfolbmsl,doG,-265
90,rstdpxvycr,dmndovrcxq,omsdtlqgkg,-0.343
kubsrcnnaj,imoaeoppwl,nucmduoxlw,-0.491,920
843,doG,dog,-0.317,969
-38,iwjujvcwnc,-52,ovfkgceamc,uzsusewxix
-0.3405,emutsvfwcu,CAT,126,cAT
-665,444,pipxiicltr,dOg,-728
-286,cAT,pxaehhfrej,-0.268,cAt
690,630,-335,ijfwhefhkw,0.107
voflftjppz,-0.3105,-0.081,rfxotqmnoc,-0.318
cAt,-369,dOg,-274,-251
0.2715,bykjappgce,-0.155,-0.2255,0.087
cAT,380,-649,0.1105,ncscfogkpq
-614,154,caT,shqkulvdlk,337
-819,CAT,-0.329,CAT,jjekapmxti
oqpbxltysb,0.0915,0.446,0.0935,xbbiyumnng
-106,caT,vzblccxcby,Cat,-0.419
226,-0.4755,-0.0875,-0.174,CAT
yvcsocizux,ktnblecukg,cbweqtaeen,dOG,jmihtxynem
0.3855,-790,878,vlyorddpdj,0.461
-477,379,thaxtuhzyg,-0.227,moubfowycp
-970,llqlraqxms,vynzkurldz,702,ioxegjhsir
nngasrilvv,cAt,-207,dOg,-299
rizypxujnp,fldulzqeym,-0.302,qwavrbbkvn,cat
