jccalvzexr,wvluolsvyj,iiolrgmhml,srjtvibget,wevzbeohdb,ftdnbjayrw,coomqwhtkv
lnndktgbgu,-272,nyaabrelch,CAT,sarsedgllj,0.474,-0.234
DoG,-391,-0.198,-0.363,-0.237,688,647
ilqrupvwjb,0.4975,-94,jcdawuxinl,257,-0.1045,-0.399
194,0.1895,gawffmjefj,DOG,ojrpvhjbha,-940,381
0.336,CaT,ognjggvuua,0.4215,0.4145,rzbytlcqnl,Dog
-511,jryqsdgqas,271,doG,0.3695,nhzedynhsk,CAT
563,0.304,DOg,CAT,cAT,450,0.2235
0.268,dog,ugfuxrmqzr,Cat,0.167,482,0.4805
-118,0.0275,bwphbfajur,uwbbcudjzc,-0.306,920,156
cAt,shzbkjtvxi,jawvkiwaqv,0.0295,756,DOg,DOG
