pEt,jmqtovekxn,bdyfbaoocm,bltcvnzozm
dog,vpmkxhnwac,0.431,znqhnytbhb
0.2505,0.0965,60,dOg
cat,0.1405,dog,uwzksymqhq
Cat,CAt,0.281,-382
CAt,cAT,cAt,dOg
caT,-857,-620,0.486
CAt,-44,-930,0.0575
DOg,522,CAt,-0.3695
dog,alhwbzlrlf,-622,zoiabcnsot
220,uuttbgprxt,61,DOG
DOg,-735,-0.2225,-0.1245
CaT,0.3925,doG,690
DOG,0.2015,DoG,0.052
-0.374,0.2455,drbmoxjzia,luwbtmegyb
cat,384,-0.4435,-0.0395
DOG,-236,nybitkvgin,0.3845
xfvuxkimoo,CaT,957,uqdlvwffjf
Cat,-98,0.143,-0.222
cat,-0.118,0.0335,cveggecqvf
768,618,-0.389,0.083
CAT,CAT,cmdovvcqjb,0.077
CaT,cgjqyfkshp,CAT,-0.303
bgpalbhnna,Cat,0.255,ypjxcrbnbt
dog,lkcnvpnrxv,-0.1205,-0.2725
hiraoyergu,0.2055,0.3975,103
Cat,iqksixdvvs,cat,-0.119
Cat,-0.335,-0.355,vdtifsvqdv
CAT,cAT,Cat,-0.3475
DOg,DOg,69,-0.45
cAt,imavhkmnfx,989,532
Cat,-0.164,-787,cAT
cat,lixcqaqeqe,Dog,caT
DOg,0.0335,suhfntiwvd,-0.4495
Dog,257,0.0615,0.3495
Dog,vwkbejpyzr,0.194,bfuozpivbo
CAt,694,-0.044,-0.0805
sioudoglcy,0.4785,0.4505,432
dOg,vpdawqifsr,nenhdntjvr,0.283
caT,cat,0.1625,CaT
DOG,267,-0.4765,sslfjpdfny
CaT,lunwzcwiat,qzkjytrdhy,0.1915
fixyhrahgp,ggyqjpsjlx,-668,0.0925
CAt,mndjisncjp,pxgiblybdy,irbokuxaql
DoG,-0.1245,caT,-406
cat,-545,615,966
DOG,-204,cAT,0.013
73,Cat,tkcxhxwuep,0.4755
CAT,cxvzpfkubx,cat,-0.4495
DOG,0.1675,505,-0.299
cAt,0.384,dog,277
dog,119,cAT,977
DoG,xkygyimfzg,doG,33
doG,wvikveyvgz,anowhheost,0.0965
xmbycicrgp,fiojacsojr,dog,0.0025
-986,cat,0.3155,fevrutrloc
CaT,757,0.3435,gboxjtpivv
dOg,qldwhylukd,omfeirowxx,-0.137
cat,-0.0875,Cat,-162
-0.161,-919,DOG,cAT
doG,cxgovfdkro,vciaqfzeoc,0.146
dog,57,-0.0135,cAt
Cat,-956,463,0.1255
CAt,-890,751,-0.4795
dOg,0.071,943,0.226
doG,jqwomddcsp,-409,dOg
DoG,ugzbfpdaao,0.389,62
CAt,-0.476,-793,-0.148
-0.3265,pbvkluhfnf,-0.4705,qirrnbqexi
0.1385,0.1425,yvczlelhou,793
CAT,0.299,-285,-0.422
CAt,rdurtfnzgq,cat,DOG
CAt,-0.102,DoG,0.2105
Dog,DOG,DoG,288
DOG,294,17,dpylicbqsg
446,-0.369,csfianlbhr,cotwozbdrz
CAT,72,0.21,-591
doG,ggmvaqeyoq,jeukylvrvm,244
Cat,tthudgtwny,cAT,uuczihgqto
882,kmgsqaplen,-501,bxbhunuycb
-509,0.347,-131,529
426,eglunkujjy,kgulkvvyec,vibbmonrdk
caT,0.073,-0.117,812
195,wmbavqshyu,887,dog
xepfdvntkl,hlzczklkjx,915,-322
0.164,0.302,cAt,971
caT,-0.0925,-123,-472
-0.468,800,-0.1785,wbrdrekvvt
cAT,-127,CAT,-801
Dog,-662,-621,773
CaT,-0.2535,-406,dOG
DOG,828,qiueshxbij,0.4665
ifoazsszei,-0.2975,175,vkgqqajymn
cat,-712,hrbujcjdfp,dOg
