jveflsitvq,lybqahwvqx,PEt,torcpeuaam,irfaucwsgl,ehnceyasfx
0.0445,mnegolerss,Cat,CaT,0.009,0.373
cAt,0.268,0.4825,DOg,dOg,lvhpjoldjk
-0.144,0.433,cat,-0.461,cAT,-0.4415
-0.3825,cAt,DoG,ruxonmfacs,-541,699
0.445,-0.3205,DoG,-0.267,bdaghuxtme,caT
DoG,-223,934,ckpltabour,-977,-0.3275
diiymtmxzf,-207,CAT,-0.146,-0.1045,-0.031
caT,DoG,DOg,829,pkhbzpjhky,zcvnkylomw
-193,-0.3545,zsfekretmw,-0.2455,mjjmnzgwul,pagblkvxct
bpfwfdejqq,vlgmdjsury,dOG,-467,0.3475,CaT
DOG,nguxftimfo,Dog,223,bcgxxrwxjc,qiwjxrwacq
cat,-659,CAT,ytyjlgvzgm,-458,bmsjuaoqjb
-955,DoG,Dog,-382,650,Dog
609,cat,DOg,-964,Dog,smjvpstnwv
doG,bukaouoaog,Cat,16,-0.451,765
-0.46,vuwttpvjuq,DoG,-25,-825,qdnkvwiktw
uzrtoccjnf,0.313,tibcarvbvr,298,cgnvspdreo,jmfcpdvjgs
ujewiqdpto,0.136,dxtggrjtdp,CaT,197,54
