gtlebycsgc,uaivrauthx,Pet,xrqebxnuuv
dhctyjphvj,693,DOg,459
regvqslnns,-260,-0.1665,451
-979,maodkkxlhe,-0.335,dOg
-455,klogiagwxf,DOG,CAT
-0.487,cat,705,823
-0.441,-905,-980,983
0.2085,-806,doG,-232
0.433,gkoqpywnhv,cAt,dOg
-0.08,gwwdrvlmvh,Dog,Cat
720,392,CAt,caT
oyzlhkiblt,616,DOG,0.458
-0.119,DoG,CaT,CaT
xnlzovnhmc,doG,cat,Dog
-483,-0.251,-340,0.136
CAt,ndzfsdcfck,DoG,0.212
fgvysbnuvc,-309,CaT,991
blqcwrtept,-0.2445,doG,-8
-0.2875,dOg,CAt,eyxtuydtzf
0.2855,726,DoG,0.196
0.4345,8,CAT,-0.1555
-0.2725,dOG,DOG,0.259
0.1485,161,CaT,Cat
-0.3655,xsxybohjkb,DOG,DOG
-338,hkmrdjdrbm,CaT,0.1955
0.1755,tvvjvgntrt,caT,526
qqnqnaxemm,dOg,0.4135,-343
CAT,-741,-0.3065,0.3025
0.034,doG,-944,dog
-0.3505,rbksfctkwf,cat,yjcxmwazfu
0.175,0.45,DOg,-0.2855
-562,mogbtunmbt,caT,-0.0885
-0.466,206,ujlrewrufm,0.4455
gpwnhiiylk,mydmndtelt,DOG,CAt
670,-0.382,-0.3835,0.3185
-81,0.2435,Dog,DoG
CAt,yowrsjgxlt,-479,-788
0.1895,0.098,CAt,0.474
tlrtzlkbbb,cAT,cat,0.171
pjkofztyzs,giayboiytx,Cat,ndbhjtwzrt
0.4065,ckvbgykoel,cat,0.329
-168,CaT,0.2405,whoftcguhp
-0.3175,vdscyoiiww,CaT,gkekrxvjcv
CAt,mglfbidwyq,716,0.1625
awwwnhucow,ddwemzsllg,CAt,0.4465
-0.047,fcodabtjot,DOG,DOg
0.176,hrmbdrdszs,DOg,-422
0.4245,lqjkonctwj,856,CAt
-360,jjdpiftquk,CAT,CAT
tnfurkrgkf,-0.396,-0.0885,0.2775
-0.2565,28,doG,-936
-0.348,bjjmytqgco,CAt,-0.498
ccuwaaxrby,565,cAt,xoxkzpppoo
-898,-409,Cat,doG
mopjwhfaro,Cat,cAt,vjztktrowh
-0.043,0.4365,DOG,dbrcjfxyet
0.3145,0.344,wcttidwqah,348
775,jwkrfxtaaw,cAt,caT
-0.063,-985,CaT,-0.1455
wbhsgrhpkl,328,Cat,-0.039
-404,-305,caT,cAt
CAt,-445,DOG,-0.329
