wlkydpvnjs,pfaulatmcr,ryhwgpazbm,kvkjsgawve
rblnywnxmi,137,314,dOg
-629,tfyiexcymx,aqnmwdtwds,477
0.0655,odnqorjhct,-613,0.4565
0.489,CaT,-0.2015,cat
-0.364,0.3545,bqeeanmfyt,owdeefieuh
xbdbvvvwnm,0.32,txiztxfbcy,0.169
309,doG,-0.2975,DoG
-315,-0.38,319,jzowcuxyrn
gycszizzrz,-551,nyqevrrjpm,905
-589,vuuxriayei,DOg,cAt
caT,585,585,eeascdtulz
0.064,-258,dzsreqxnsx,ooyepzpyme
DOg,srprtyqiwm,-0.261,lznkgnizvr
mfrwmdpehy,-0.4905,-0.4605,xwuhzxyuxu
-0.171,0.293,mekoqdswjb,cAt
-0.29,-5,dvbzptcyyb,-0.171
rsjofnelus,-564,-851,757
jczwicvhnw,sgxzpoawpl,-0.435,-459
-825,-0.369,464,-49
-0.2815,0.0245,cat,-10
CAt,0.0775,122,imixcxhrec
CAT,nzjloofixe,-0.271,CAT
foexmileju,710,-0.298,-0.3225
-533,qxivkwqpfv,kfuoogvggr,555
0.0285,CAt,0.485,pqhrztaxzm
0.2335,kadwwnzjyb,0.0405,0.3995
dOG,0.482,aunwksiuoq,cajgymoyzc
nkyjwkbras,ipvflrxets,xbypnlxsyw,-0.0915
-0.017,caT,-0.008,DOg
opcxgcvfvi,Dog,mjopupxawl,yqpyvezagx
0.341,761,ojzbybgjxs,-0.353
-205,ksvbpradjj,cAT,cAT
0.2595,kstlwdctnw,965,-91
0.496,gsooenwpcg,0.248,100
zrxqdemyll,doG,-0.106,unmbrluaib
0.001,-0.468,afohrzhjiu,235
uyselrddnd,496,854,-639
lptqvqdjnc,311,-0.464,0.3405
-0.1105,-0.3465,0.1195,gfemydniqq
rhwguievrr,-0.231,-0.3425,263
0.1235,xhcxrsbyrl,aneicfnzhh,ctpwdaicrc
0.4125,135,498,-869
34,0.039,vvpinkfxkb,ywwcgunrif
fhbtkgqfxf,-882,oupdvjpwoa,537
iqbylrwfgl,cat,sbiplnmndz,pwwbgpnkmd
-0.332,witvtjfwju,kibxifthal,0.354
-0.392,-0.4295,dOg,0.206
-96,563,dOG,919
0.1445,0.102,657,ldjejmvhbl
CAt,-0.358,-0.28,fmixpjiahc
891,doG,nllgesdpqf,660
-676,qeaapahapw,-0.296,-0.31
