bjnwrwjrhd,rfqcuzfhlo,pet,xkynvdrofv
504,ljgryauvkv,zmvgmavpyd,cAT
-0.173,856,DOg,cAt
ucbxrihloy,doG,739,-0.039
ciokumxmxd,Dog,CAT,0.387
bbnvwkjroh,0.062,cat,tqtrwnwnrt
kydmqmkwzm,vpndqaipbf,Dog,-0.164
-89,958,dog,628
tyzukvtlhs,lptorwkcev,CaT,0.291
-452,jqnbhyjsgu,cAt,cat
936,0.3215,Dog,wbxwlmzktc
-0.151,-0.0045,0.362,tfgqronwas
-927,-603,Cat,0.263
hifrjjggts,0.0525,-0.1655,ohvpawgnyy
aezhssqhjx,-454,-445,riaoptmadh
33,-569,-0.1645,-0.1835
Dog,uglchfhefy,-897,250
sszacdeyjs,qfbxybliim,-0.376,0.33
907,dog,doG,hckctbuwmc
-138,fwlkwnbmbv,DOG,mppnwyszpx
DoG,-0.4175,0.2205,-519
-0.322,-968,dOG,Cat
551,-800,cat,CaT
vbujyeulor,-789,DOG,CaT
0.0985,-364,DoG,-0.218
bxhokipvhw,-0.049,Cat,cat
cAT,0.2665,CaT,-635
-756,0.1305,dOg,Dog
0.2575,170,cAt,128
172,cat,dOG,900
dsjscsqtzo,bavkpkgxbq,CAt,rgmvrekdda
-548,-25,-68,jhykaqdota
cat,caT,dOg,cjvnrddagb
-366,0.494,cAt,nnfijnggvd
0.0405,927,doG,-0.312
-0.388,jlraquiqny,-989,293
caT,-0.235,-0.311,0.378
xeuzlhwwcu,xwbbcvgfio,0.352,27
ndcbfhoulr,caT,Dog,-852
efaqywbmkk,CAt,ymxzfcqytx,-100
0.0,0.2475,757,ygxzzcyumb
nprzlgauud,-0.462,cat,-672
jjbfewjcpw,0.0775,CAt,ogrrntamfy
CAT,91,dog,0.481
oyniedftpy,-716,dOg,236
ntwwnedmdk,321,zhufmvbzjs,cAt
-871,53,caT,-0.0645
