pcgtrwfqmy,muxlenocvh,kihjqgdgmq,mqhqwqzsrb,shscmxrrpx,wnccozwpvr
0.405,-858,cAT,paysbzbqfr,dOg,-9
-0.2655,tlrwqkvwdy,-655,dOg,-881,dOG
-0.4215,qcbsylquss,DOg,ucpubnewpu,0.1695,Cat
536,-0.052,-196,avvfedgfzl,mhepzttfzz,926
-0.3805,-447,0.0395,nnytlgbxih,-751,Dog
861,-220,0.4525,810,cAt,-0.172
-495,Dog,Cat,wyrhlnfyga,kktmmqbtcm,scfxbhvbcv
0.025,cat,mmyrllfftq,DOg,0.225,973
172,slxpuihfcy,qkpxsvejhp,-828,72,rpdunkfpam
-0.166,243,-0.0195,257,-0.3185,ykhmctvqom
494,0.138,-0.4215,0.3,0.0015,djmnilpsxn
aemwojerxz,-0.277,-315,912,DOg,-51
-0.0325,cAt,DOG,swhuombhni,CAt,-84
907,dOg,-975,676,doG,fonugcrgzt
-115,825,DOG,-0.213,mzbosvflqb,-240
iugkhfenud,701,-484,0.2175,fczijwncaq,0.3515
-285,-324,826,-0.3595,-0.201,harzdiqrmq
560,CAT,42,118,shgtisatiz,ugygdhucyz
dOG,0.4375,CaT,494,cujpopaujs,0.1635
34,0.357,caT,-0.2505,0.4155,kkxncdtnsx
-0.099,lsjcmitcmi,ugkiywpemb,-413,0.1975,doG
cAT,-725,CaT,-0.223,caT,-454
0.013,-0.1715,-0.381,dkvzirxoxu,DOG,zsdgbwjblc
ewyzvyowrm,-0.3955,tmexufxuok,DOG,482,DOg
885,-720,DOg,0.1395,bsmutiiksk,-140
bejsxmtekv,0.22,bndkbbuosu,zgctkefttd,-0.3395,menkpjpacu
cAT,-0.4195,dog,570,-822,CAT
ernttarjjs,ycqvaqvpaf,0.3065,-0.1405,ahjlkbhwpk,-0.1895
cAt,pozqnulyzr,91,dOg,-0.4105,-852
ldqvcklbde,267,0.315,spqfgmagnm,pknjgfrwuo,-116
kmbkpcwvct,-0.1925,200,294,-578,ecakxyjwyi
0.3625,cat,286,455,kmskkknavu,655
235,ljhjltlule,0.2545,cowvrkoocs,401,0.451
