opdnbbxitg,ymdlzeokvb,pEt,xkhogbohgn,cjvrveqrlp,egmkdetyfx
zxjeiblzma,203,803,-0.2585,doG,-472
570,243,479,-0.4345,970,0.1315
-0.213,epmjbjnrmj,CAT,0.005,-0.374,CAT
0.0345,quzxbdbstf,DoG,0.291,-930,tbfhtayjkw
-0.3815,0.121,doG,hvyolfeqkx,-0.44,-276
0.0265,rrtxwxhwae,doG,phoztmirnc,hdkctbrmgz,bsswdyiiup
-0.3365,39,ncdxiijcnh,0.449,CAt,-0.375
-0.282,ctipwvmkds,CAT,bigdrfrwel,-202,0.3435
ujrmuwuorx,290,DoG,-0.2655,caT,wvvvgyaxed
cAT,-90,-973,460,-512,cAT
513,dOg,dOg,-0.367,caT,525
wafcslblnn,0.0785,CaT,nocmvefnbt,-5,dOg
388,ifwkxvtwcq,cAT,0.395,0.3775,-0.248
0.403,0.256,DoG,471,CAT,uamptqynai
0.204,71,azjncgasbv,-0.122,xbrsjzyteb,0.048
utthrwnzfj,dOg,Dog,cat,hbdujubekn,-868
DOg,CaT,caT,ztpwwogagq,-0.035,87
-837,abxbpvbxvq,97,-199,-0.27,sresmxrfrw
vxfojdupwq,-928,cAt,-56,-265,yzswlxeeoc
-0.429,wctgdigiof,dog,DOg,xtduktpmui,0.0435
zlqrioeasp,-0.014,Cat,192,DOG,DOg
772,-364,ffxdydafxu,0.4825,0.1975,nfgudiqzin
-0.3325,accmoxnpjn,DoG,hjtohlvulz,674,-395
0.4765,cAT,dOg,0.13,0.133,0.0845
-0.3405,qvccxxursv,-976,xamklzlcjm,yejqckqwdc,CAt
Cat,bbuwjackhc,cAt,-0.437,79,gppynkhmki
-193,mvtsqklpsc,cAt,ztverqmxku,0.424,0.473
0.1335,-459,kjmitnvpop,273,-427,oyvafxjyub
DoG,-0.0185,Dog,0.247,-0.445,zlnbgtjume
25,trebmutybu,doG,-723,0.333,0.1205
0.0385,-0.119,doG,irexmvciow,ixlexpfldr,-326
DOG,-304,dOG,adpdcuwjvy,-0.2675,43
-0.416,-46,doG,-26,btxfepmehn,-844
271,DOg,Cat,DoG,mmdjxpcomk,CaT
sajlsbiohz,-184,Cat,0.017,0.4625,0.045
DOg,-0.0585,dog,oumakhpyvz,317,qopmksymuw
-134,-918,lxwvaunxeh,xnrrprdxqu,eaqsrxdotu,-729
-720,9,jihhpcwieh,dOG,0.421,0.3195
-26,-0.4915,-706,0.266,-0.174,wsnzzpjjkf
lffryjarex,nmljsmfoob,dOg,pwdzqqgsyj,knbfcnqljv,-651
vmnpdqcdro,giqipsgowu,CAT,itucgjzowy,sqdarvhtaz,0.284
0.2585,-866,mdnhurvmrs,kcttwoeqqy,0.0695,-0.1695
634,0.2375,Dog,cAT,0.3555,560
-481,-962,chgrpknrov,rmvohnsyep,-0.0895,-0.482
bmoumqvltm,-0.416,DoG,-0.212,-0.487,0.3595
pkprjkjojw,0.2415,-519,948,cat,0.017
-0.231,CAT,dog,zwrsbmcndm,kmpzmrmcqg,kumehptpol
vqgrrmodrp,-0.0895,cAt,dog,rmozvjixjv,-0.0735
gnsjseykqc,DoG,CaT,znnpbsigdf,caT,157
408,wnrixadfua,gkyqegybob,868,-890,-0.399
dog,dog,-695,CaT,cAt,-297
-0.3905,0.2945,cAt,cat,DOg,63
-0.347,-0.0215,629,708,-945,dOG
0.401,19,DOg,fecemtzljx,-806,ofqxrixalb
lpdmutbwps,-694,dog,-0.3295,-0.0915,759
ygdqcdcdai,0.4335,CAT,zmicarlpod,-753,CAt
CaT,fpaoslzauh,-760,-0.096,nejxlmzpuc,687
-547,CaT,Dog,Dog,DOg,-787
-283,-0.148,Cat,DOG,orooalkqlb,0.425
gqujjiwmwp,hqgqmnrzzd,cat,zcqbctjqvi,-0.3695,dOG
doG,zegdstgnmt,dOG,0.1705,-180,-0.262
Cat,doG,DoG,0.0575,CaT,-361
0.4985,470,CAT,0.101,DOG,caT
563,pbkctoaznp,CaT,0.246,rgatysuiqh,zpwlnwgnwy
975,DOg,doG,769,0.3105,0.19
jbahwmvrbz,-681,CAT,0.2475,468,kqsburovsp
662,cAt,DoG,919,0.099,-119
748,fltinoiows,dOG,laoetxqvmo,-0.115,-966
-0.363,xfkvvgvwgp,caT,dhmrpdldpj,0.3795,CaT
0.4095,dog,dog,-240,zoioawqfld,-134
wcvrqtaxqv,0.0775,DoG,0.23,bzxulxsnib,0.071
bcpvfhlmmv,pwzbokwijr,DoG,-0.085,-0.229,DoG
-424,qghjvjhlbn,DOG,0.3565,937,395
hwzgiehizo,-0.279,cAT,849,-262,0.204
-0.0525,dOg,CaT,962,-465,0.273
-966,0.3365,DOG,979,415,-916
0.226,nuliqqmdlj,cat,0.049,727,-661
852,989,Dog,0.0735,932,lhcqdolisq
rnjrjhuzdp,-0.1355,Cat,Cat,0.0625,359
oziymtzezj,DOg,CAT,-0.0275,dog,-871
pkguavvmmo,332,0.478,-100,-326,-106
-0.093,DOg,pzktkqerrn,kwptkqoakg,agxtuymqqe,-0.205
nfctefafim,0.0415,rribsigjhe,iomxnjstcf,tfwufmibgx,0.24
-0.3595,0.1365,Dog,mlcrysxero,lkaxrkzrrr,0.057
klogvugwof,-0.3875,Dog,-382,398,fhkhcxpjlo
0.3785,0.0295,cAT,dog,tarkebkegx,-896
immdkbiztw,ppijyfhflb,uboodclrby,0.0845,DOG,cAt
0.0635,iuvlbfhaci,CaT,970,htzkehnrky,-57
-0.396,CAT,-0.2565,fwszemslgc,yoffqarxht,356
-99,cAt,DoG,cat,mupeebmwcl,-715
0.344,348,DOG,-0.3215,697,CAT
