sqajulyxxg,pwqsyvacpx,esemhpadhy,uwisgwedhi,yxdjflbxfg
pjzwpcbzhk,-710,0.419,323,581
0.2525,0.102,0.329,caT,febbzguwlj
793,jvlcifikvp,cAT,794,caT
rppifgmuna,-624,0.121,0.141,pkezonlaru
dOG,dforovbxkd,yfkjhddsqx,gainjchxub,yzijzqcnxw
0.1965,-153,0.4585,161,0.01
byvuszocye,mxfskjwfzt,CAt,dOG,qwualgwkjh
hybacedppw,-875,-0.3125,-222,0.3675
0.11,bxrkskagnz,-0.326,vnvhdbtnhp,-486
puzydeielm,620,zkszxebusx,ddfkrczkfr,-0.349
Dog,cat,-900,-639,dOg
-149,sgqxtjxfmw,77,frppfmjoxh,szoujoxcrm
fvrkpvvcff,171,cAT,yuslqhntws,doG
-0.1965,zfszqrehne,-562,cat,whpqoejkmx
0.2485,-980,0.365,-0.3545,-338
rfgzfthgns,mxuurlvone,dpnaewxyrn,0.3745,yqesduqewo
nbrcsjvsdy,evwnzlejlc,xtpwrjiagc,218,0.3485
iuqwaxucyz,CAT,yujsocccnc,vaqkhleseu,CAt
0.4665,428,cAT,-727,-216
dOg,0.4675,-812,-0.137,kuddcjmrla
0.349,0.352,DOG,0.0165,-60
udjxaixqdy,0.1605,pxuyaxpcbm,-0.068,pdxkqthlkv
427,iuplqqlmxv,-0.3265,-713,-511
cAT,485,cat,-468,-867
CAt,yszqgoibtt,CaT,DOG,-0.46
0.034,dOg,cAT,304,-0.3065
0.452,npbyovcmaa,lvxwvkinan,62,798
fhsotxaeme,-438,tftazckpxh,ptcanosbgn,zntnvafqql
0.024,vlkgdacreb,trcgrzjvox,yyzmgsjvey,0.203
0.3985,0.4525,0.467,0.354,-977
cAt,-0.478,0.0995,-0.3795,782
-172,-538,0.321,yzlhpykjnm,-0.4195
