reayelmmhp,mnxrlqquys,ukiggnluom,PET,ipgliruoqr
dOg,0.462,-870,DoG,0.2635
rhwvwwymdo,-0.1355,lucbydtxkx,dOG,-0.1825
-140,mgkkueiais,CaT,CaT,120
-0.437,lrdpvtbqcl,409,doG,DOG
352,-0.247,0.3115,-0.223,0.306
qsmjccouxe,-271,79,-0.412,dog
-0.36,dog,oemgafzxmi,CAT,-784
-0.444,0.42,327,doG,-0.3305
106,0.3705,cat,53,-0.1715
nssmkdtutr,83,-12,mgawymgurc,732
490,xwgpoyxrgb,Cat,DOg,-0.146
DOG,0.1345,bspufssuhl,-173,-414
mvsuypkhby,-85,nhdsuhtfak,CAT,26
5,-726,qhgawnxdec,-0.112,-0.1585
DOG,Dog,-0.0755,CAt,CaT
-0.3365,DOg,Cat,DOG,-0.3625
662,362,0.3025,CAT,cat
-587,cAT,mtidmkzqmt,cAT,thpmqqwhed
