gzleopgoay,peT,fakfppacuk,vtuotyrluu,birbqucsbe,eydoclnhjh,kjosjsygsa
DoG,Cat,0.192,-0.166,-0.2125,0.3445,898
bnembdgbkr,cat,0.381,CaT,ghyelpstkj,ybrtzqwztw,-0.235
xxzffrbxhl,CaT,dOg,-712,DOg,-0.0295,0.082
iygwrmayxy,dOG,tuaedaqxvr,0.286,cat,khrdwvihpa,-759
0.1715,DOg,811,896,0.146,yqirzydysk,187
cAT,Cat,xlnjhcvapd,-0.3905,bmtequwaom,-203,0.3745
710,dog,DOG,-0.0505,-0.003,yijdxydixd,miojhfclel
-866,ywuecefckr,DOg,ccjvcoljtf,432,239,CaT
0.3515,cat,dfjtcyxeht,sfujpewjic,wxuivhbznh,CaT,-0.051
nixgkjakyt,cAT,-0.25,-385,539,280,yizjzonlbt
0.0275,cAt,925,-0.03,795,46,cAt
wjirtilhsm,efdlakcdml,846,doG,-818,10,0.1735
DOg,CaT,-0.1135,186,ajfdwtmjcq,-628,blzgkktdbq
538,CaT,0.286,0.15,446,205,CAT
DOG,dOg,-31,blyjjweecw,kcojuzpixf,rzjnenwksk,evhkqbwkna
pfnvjwqxji,cAT,CaT,0.3465,Dog,dog,220
-0.2005,CaT,861,278,dxtdxddisd,936,aavmhwxrpr
cjszsttpzh,DOG,CAT,0.305,Cat,wwwvemably,tjylrilpwv
-194,CAt,0.228,845,708,275,-0.288
vbopglzkwb,dOG,nlorctphiv,atszcudpyx,axifyolrek,cat,-521
toncpwygrl,354,-0.3885,xtbsyceaxs,0.4165,ikgrgjiuzl,-0.075
kmyspuutdm,cat,Cat,enplscxewn,125,xlocmewtwh,dOg
ukfkuoddlw,-808,larqeoztjn,wucfwgvixs,voriqfuwaf,-0.0875,jxlgwyjtiy
-0.097,DoG,-0.487,520,-978,0.105,odwcjtyssi
CaT,CaT,caT,itpbiseays,-0.327,0.019,-399
-967,-0.432,evwhyrzqjf,nhlanxqdfd,cqsyangcaz,-280,-0.4965
0.2195,pykmieonfk,0.406,0.414,kzzdknsbfq,dog,aglyulwkgh
0.0725,twamndcalr,auqoutscxo,-0.3665,0.3685,-157,cAt
-0.3705,cAt,-169,dOG,-953,dOG,-0.296
318,cat,CaT,0.4185,hhzvnxvdev,-304,DOG
dOg,657,Cat,cAT,0.379,-958,-732
667,dOG,ezicvrudpf,ltbxnrwiir,CAT,0.1755,cAt
988,dOg,-0.0665,CaT,-469,-758,0.1325
-942,43,Cat,-471,0.3505,-164,vkuyvclnrb
-0.4545,CAt,ydbvhkjbtv,-0.054,70,0.153,rhzmmtesxf
979,doG,DOG,-0.0135,-0.006,-0.412,-892
1000,CAT,0.4195,656,-801,508,DoG
641,Cat,-0.2265,-0.4745,32,0.486,309
305,cAT,cAT,caT,cefitlpsfm,Cat,-0.292
