wkegmtvonw,lrqxavnboc,gjcvjmxexk,PET,znujmivqan,wsqdloseds
CAT,-0.1155,207,-0.2215,lqkqhbqcav,dog
-114,-0.45,-545,DOg,euyiqqpkck,logyuopman
0.3715,xzsdhdnnfr,-640,CaT,-0.4535,qkqupfdjxg
0.0465,343,0.4745,DOG,cat,-7
yhejbcwobx,hrcfipdhob,bpdrzfrjti,0.087,xqakgjyayf,0.06
570,811,dOG,CAT,-0.2675,795
Cat,-0.332,-0.2655,cAT,caT,rbmhyvtnpy
-426,534,-0.337,CAt,-0.1435,vrgdilbtnx
0.266,-893,-83,CAT,oggiyuhchy,828
huckscumfd,0.1085,-476,Cat,-694,-560
-977,Cat,pwatufyapg,cat,-852,-0.1925
CAT,26,cAT,-0.0305,cAT,-747
-0.2395,345,evqccharod,DoG,0.442,-0.4105
kuwpdufqfq,0.064,dOG,Dog,yohuzinxff,0.4715
0.0535,-393,doG,cAt,slkiwfdtqy,gmjoqxxyce
0.158,CAT,dOG,doG,DoG,-314
0.013,DoG,313,zgjkfrbgmt,sklvslpton,569
184,-856,-446,CaT,bypshcbwwo,-547
-142,-0.302,-696,uhkhzmrynq,-366,525
-0.357,grznmluxkq,-0.382,Dog,aoaiwgikss,DOg
-0.28,978,656,CaT,-619,tstidqmpsr
esdgjnwbzv,817,fomdnmpsgj,dOg,cAt,uqnkfgiekb
-0.3295,tlgnblexcn,lazvcjsdhy,CAt,0.208,172
hfnbcqvvkj,dog,sgzggbmiic,dog,soigjjtbrj,46
-304,-0.0445,Cat,cat,0.0445,-0.355
CAT,-291,0.0525,DOg,-0.2515,uktgvjxoec
-0.1825,dOG,kuqnkpjzwg,dog,-656,282
-973,0.227,-0.0125,DOg,ghdqtaigwf,gfixsgchbx
60,cat,0.0675,Dog,992,cAt
cAt,fnylomzcwp,-0.4825,567,-666,cngoemwrth
-311,-866,0.1305,DOG,tnewrxfmxl,0.0295
cuibwcnsnn,-176,0.0945,505,-0.424,913
110,-855,cAT,-52,glidatkpoy,oudqaxpqyh
-0.068,-432,-0.49,Dog,-635,tjqimqbmzl
bfiybvbori,420,935,dOG,adpzfqqhyh,-0.0095
0.325,-929,-25,-651,0.3265,DOG
0.2575,ulvycfodhl,518,doG,412,hbdnyltweu
0.445,127,caT,dOg,-0.397,ssrwamneci
0.1845,0.27,aauivijibn,cAT,DOG,dog
dOG,-0.408,nbsviiuhhh,DoG,cAT,566
juwqkzlotc,654,-0.077,dOg,jijiajkwjm,8
-238,cAT,-855,cAt,rfdrbeuyow,-703
CaT,-827,842,cAT,uilbsvkhyz,-0.1955
-0.2185,-633,0.3505,DoG,-0.25,-0.272
cat,625,0.3125,dOG,CAt,-0.2335
-0.429,tstjegqluh,0.28,yrciovstls,dOG,eplsirbzzq
168,-570,884,dog,0.0355,378
0.0205,dcwloyfwbj,-0.1155,-0.337,CAt,uojchuozlv
olrpjuibbl,0.1015,mjwawyvttp,caT,769,-0.4725
-0.3265,141,-408,dOG,DOG,-405
-0.387,-0.1745,wbusevkbhe,cAT,-271,-0.3745
-0.0515,-0.328,DoG,caT,-0.0905,deqtheumyw
