PeT,bmuugcbgfd,wawzwxmypw,mcaevidtdw,tsgjaccmzp,seahvfqnmg
caT,dOg,0.2315,0.4145,rvaxfsctkh,-0.0035
DoG,-0.1035,dOg,-0.0805,-0.0925,418
caT,80,404,CAT,lldrywbbus,doG
caT,-374,dbmzpbdipb,263,dioxnnecah,izyforhnnj
DOg,-0.402,-0.0445,mayxtolpna,406,DOg
dOG,cAT,506,Dog,-443,pnyllpdriv
cAt,0.0545,iqmgoypslv,333,835,CAt
cat,DOG,0.3895,-0.432,0.193,kwaqnkwtzd
-986,dOG,CAT,-0.2125,-0.067,vrcfklczyy
cAT,-783,0.2135,-705,dOG,-936
caT,qxfktnmjpl,DOG,0.064,sjrjdwhbdn,pqcknvbrtz
0.383,CAT,-0.3545,-949,-947,CaT
CAt,kzjxfalebf,cat,737,-0.0765,dog
Cat,CaT,-84,quteylfwrq,-653,381
mhiooolduj,-634,rqlrhtbyrn,ltiendfpjz,0.365,621
Dog,63,defzxacubp,-206,bfklskgsmg,0.402
-409,cAt,ofyvfcgmgm,jimayakwzy,DoG,sxennqahib
Dog,-0.0815,skiyoneqjj,-86,-0.2495,okqrsalbuo
Cat,261,CAt,-0.4435,CAT,-0.427
cAT,Cat,-0.339,-0.201,uselqfozzl,-257
-878,-538,-995,vjyglkttno,979,dOg
DoG,0.336,jenoolbpmh,dog,uffasujzbw,-685
CAT,cat,-0.1035,0.3065,327,-0.207
doG,-0.2955,cAT,106,pnjajzdmik,koiewjwpbs
dOg,0.474,-0.03,-93,zqrsogykki,mjhrbynmrb
DOG,-367,79,rlkyxvwqjt,DoG,974
cAT,Dog,0.0855,-503,400,lxlcgfplox
CAT,cAT,-0.478,hgjxjxzqoh,cat,ytihbiycob
cat,uoszbcbkli,-0.053,643,-0.249,0.0655
dog,-994,0.1825,130,Dog,0.1125
DOG,131,DoG,0.3625,-0.144,escafyqtpa
-0.286,dOG,clsztmcqbm,hjdtwrxtci,0.217,-591
DOg,144,-0.2975,CAt,rlrjtftgpy,qeoiubtlzj
dOG,cAT,958,sorkflgsuu,0.0745,-77
cAt,piuawnhbwh,Dog,0.3615,-403,-0.395
cAT,ottbibdolc,cat,0.363,cat,0.272
cAT,llclfhkrqb,CAt,0.136,-0.3155,0.463
cAT,-852,caT,-0.306,fnjffksesk,dhtuaxnsse
dOG,cAT,worzvhdqqr,caT,234,0.074
-666,330,-0.3325,0.05,865,592
cAt,npesqppjbt,-0.0645,-980,572,619
cat,620,169,-0.009,-250,-84
-0.491,cat,721,xyztpolpat,pmfbzahdbz,402
CaT,Dog,-882,0.394,-0.2105,flunqzlezn
CAt,-516,-0.3935,cAT,794,dkgpkofzml
vbfdwhnvcq,-0.126,153,629,vrqntcumkn,886
Cat,639,-0.0045,-320,CAT,lcolzhznmy
DOg,-0.2095,caT,0.046,CAt,dog
Dog,-0.0855,-0.163,0.0305,doG,-0.012
dog,doG,khqemfxxgi,-647,cAT,143
Cat,-948,DoG,-0.451,648,437
caT,Cat,vzwosrfuqu,vqvhhpqoho,cAt,220
DOG,620,qtdituneuw,138,zeelwzobdh,158
caT,-0.2265,-0.263,0.469,twbtzxecak,0.2935
92,-0.2205,xfiwmxpkkr,DoG,-647,0.4635
opwhkomtti,-0.1865,-0.4405,tzfvexzokp,xemwhbulgl,-0.455
-0.1235,618,-0.018,-0.008,woprscoxrj,gqkqkbhvsc
DOg,-0.1965,snrwsqedas,0.455,hixtigclio,0.3965
dOG,-543,-0.0375,-0.4505,194,CAt
-0.2855,950,vfslbxlcjr,laovsueviz,306,-876
CAt,-0.101,CAT,htjjhdodnr,289,cAt
0.3315,-304,498,430,0.131,yivrhpzudn
0.0255,DoG,cAt,Dog,-532,665
cat,-561,-0.0115,-0.4515,vqgtljqpzx,doG
cAT,CAT,jyykzipzxb,-0.3705,-0.4885,-883
CAt,-376,gyriarnuau,Dog,mgkodxbusx,caT
dog,-255,278,-338,Cat,cAT
-0.14,-0.2315,elaryoygov,krmlhbxmvc,caeouwheub,0.453
cAT,0.051,qooytppzac,epmjunwhpl,0.393,850
DoG,-0.3675,-0.1455,gvosynwgrp,caT,cnhrzovwmv
cat,-0.0055,ikemxsyskt,dOG,-610,160
dOg,0.1735,ogeeiouqmz,-452,648,0.2755
CAT,0.2545,0.2095,DoG,DOg,0.241
CaT,101,uacsgpejvw,-0.3535,493,cjhdagscbi
zaapvbcjhc,-0.4105,66,-8,83,0.1685
-0.4655,xtguyktgql,kdmmcmzfcl,xdztdgubzl,848,gzioleuqmk
CAt,-0.3025,mwmorczqyo,Cat,68,993
CaT,zgniekfqep,0.071,ifeducgqhb,0.1425,dOg
Dog,aaeiylqqjv,xjmawpggir,vtfsujrjzh,DoG,-457
CaT,832,-0.0615,doG,ompybzmcxy,uogdvjxbyp
-435,Dog,gbkjuycjap,-0.4415,-0.313,Cat
cAt,CAt,-647,661,vodxvhpona,-0.483
mfmiroogns,ybonucaexr,649,utjeywxzje,caT,-0.128
msiepqrvkg,-0.299,0.126,-0.103,-0.351,zxyeqefpqk
doG,124,-0.0425,0.2845,jkeihqukcp,0.0615
