bompnqwbej,dxdagfstvl,adkxmryjim,thkpgjgvqt,ngnvwbkbmq
0.3405,winqbnmtol,hahgzcfuvt,cAt,0.3345
899,-0.3015,-0.2345,fakztpylxr,acsbalerlq
311,0.4715,pngwjgvzok,358,203
-537,dog,-0.1665,0.0965,cfmvowtrwl
dog,-0.4265,-0.171,hnejcuagcj,DOG
ldguxlkfew,-0.3305,wwkigaecbq,DOg,-232
byvjlgfrbw,-0.4775,0.1465,0.1425,dihsavhohw
cAT,lfwwedzxbh,jevqpaazdq,ukonllvhgn,-0.0425
axgclxpitf,vpmzehwmnn,-61,pdocwmqxbs,-552
0.259,bvwspchghm,0.0755,-919,-405
xnqftcnwux,sfqeczdfbl,kquegbseyr,-281,vnetxrozts
Dog,ivmwbnaywc,242,xfsookvmpq,ugqcrzhgbr
qpqdkoevex,-0.033,vjoecgvrdf,cat,0.477
DOG,-649,-0.4525,xxjmhzdsyh,tzxtxcgtym
0.0465,oxhjlyglpc,0.474,601,-141
-613,0.1465,352,0.4775,Cat
-987,irhxjriyfj,0.271,785,vdkjloznbp
-0.4285,760,-21,Dog,cAt
595,DOG,wtqzwuwpxr,-0.027,DOg
0.1195,-438,rmjeikrsdg,roxrwdepkj,-606
0.3275,rozkndstve,0.3095,caT,gyjbaqqdip
0.0025,zzgogbjatx,0.4665,-0.167,gcffjvbwcs
kreyhuwxfo,0.1425,DOG,-0.1935,-0.061
-915,449,-0.458,-457,0.0775
-293,mzwwaldrco,dOG,-814,-0.1195
27,Cat,Cat,629,0.1295
