jqyjstcjxd,phirawgtxw,fjudsovoiu,ufbsqbxdcm,fwksezvssi,jcqunmcxdp,rrrghjsppn
otrvfkehzl,vncjdposwo,-0.044,jaahlvxiny,-759,-0.369,0.3835
934,458,cuattyjxtl,pvytmjweil,-247,382,-836
-0.0225,703,-0.4495,0.3795,833,506,0.126
0.0045,Dog,0.1135,858,dqturgngre,CAT,759
0.2185,942,0.065,xdcvvssbfd,0.1715,-562,-0.0805
504,loybkxrjqi,0.4135,833,ghpqcshrnq,-378,-0.344
qpzhrnitfb,-0.3155,-674,lfwqfeaefe,CAT,-821,tikivxjxlt
979,0.0415,ifxaqiobrr,334,ymhjcfupng,-409,yyxuwanbic
koivjapshz,435,-0.1375,-0.414,-0.3505,0.3075,-0.424
0.4285,CAt,-0.1485,dOG,44,DOG,-403
230,324,-610,0.4135,-256,kagjtkbkun,nkpgszqtww
-0.043,dOG,-819,-18,hyptswuisd,-494,ymmaloknro
-0.195,0.1065,831,-650,771,dOG,ccmbsowwzw
0.3265,0.2075,-156,745,nhpbbdfwpf,30,0.144
DoG,ujcmjoindi,wykweqeyku,0.4515,ggkgymbang,773,0.401
618,DOg,liupfriyua,-0.3815,caT,-71,awhhbwvmsr
-0.3095,-535,730,265,395,bhauucalat,evovqllqdh
-800,142,-259,0.448,Dog,0.432,-76
ebhysdtnkp,psjzokvsph,dOG,DoG,0.4465,qmedfbttib,vsdidnrfqc
55,353,ejxqzdqbwg,mtoptorjat,-0.0765,-0.235,ikcatokjzz
wbwcpgsapm,DOg,-0.195,214,CAt,mdhootsdwm,-0.2635
-673,-0.24,686,ldcovhrfzy,wlxftcaynb,wiqeixzbst,0.0415
-423,doynjykvpj,cat,DOG,-0.014,499,597
hrylfvyuvd,386,ncycvyvphw,-6,0.282,zexhaepzex,inmlafongj
DOg,-945,0.444,0.425,-0.4575,0.0035,DOg
0.259,mzpwypesgl,dOg,yhfmjltxgo,dOG,-0.191,cAt
cikgzslmdb,624,968,-0.2195,244,0.2335,746
-174,-773,-0.197,-869,-304,0.347,-523
706,-151,-628,-959,-822,-593,-0.1425
0.1385,Cat,-823,nyjpvdskta,0.1845,666,619
sgakimjxnj,-0.461,535,442,-545,DoG,0.2495
DoG,0.101,969,-857,-678,-0.0715,0.2435
-75,-59,-434,guqbjpqqdd,-0.0625,zoqnagnqgv,-0.4715
-0.36,272,Cat,hmnvhaywjp,cAt,goukucfyzb,-645
DoG,867,pbooixlehk,ythcukvfmv,Cat,bohikrlkru,uynmrwddqh
CAT,-0.409,hpwzwpvvxd,kvrbpxwhio,sgsiivvgnr,-0.187,-0.2025
cAt,jqsjibawpu,-109,558,doG,366,CAt
67,0.063,cAt,CAT,0.0065,fhauikdmhb,ifkvkokfts
gorxneigae,DOG,-685,CaT,178,cat,756
-0.4885,0.2655,hwkiepfsaw,iiwurjyybo,-0.27,flqvkxtunh,zbqvptxuqs
0.3295,881,squspwvfkb,-433,ssmzasnajm,bwsziffjyz,wzwpzqhffv
CaT,0.2895,0.141,-30,-0.162,DOg,30
dOg,cAt,-619,wqwdjrxqnp,0.0755,174,sferiakgmh
-182,-239,fzzavarief,716,dagfiyoufs,597,0.387
Dog,-648,575,0.095,uunrzjutgy,CAT,-0.073
