lqblxpnede,tewrssxjsi,pkckvhnohh,uetsxqyszz,xwamckckae
keqymbjjes,0.364,peduitkiie,dstccjfwoi,0.1455
CAt,Dog,225,0.0675,hocfgpwbln
CAt,675,mlcbegjfaw,kcqqqkaucx,cAT
CAt,917,-0.428,0.046,351
797,caT,rvpxsgwrin,0.3735,449
630,yqklumgskw,-971,0.159,693
uhfpwipnih,Dog,myowkncuug,-30,lgmnppmakx
113,CAT,lvkiwvyvgx,793,340
ndhvfxgypo,dOG,516,DoG,-0.175
bynjgwbspn,-478,-0.228,DOg,nkmpodywrc
-0.4175,410,0.3585,cAT,klsyepmoun
-760,-0.174,-0.0065,dOg,998
972,0.002,DoG,pfgnaomims,927
swwwfztbxm,0.063,lqiqhpyvbe,Cat,391
385,iptesdnasi,aztjnnmfwu,cruzjgsppw,dog
ewehqkjsgz,-713,-587,0.1645,-493
dog,0.0575,dvqmcqxwdz,0.359,438
ivlueudnfw,cAt,-0.347,-631,ubpvhzybqm
0.3195,0.124,CAt,-0.179,vyknkmxvif
zhhdmutmad,dncrsrsxqh,zxoviutbma,ocqibhtoqy,mcfqwcuzcx
0.149,cAT,jjfjpahvec,949,dOG
cedsuvfzfo,DOg,ukharjuauw,-0.19,-818
-0.442,0.4595,-0.022,-589,-584
-210,cAT,-926,869,0.19
720,-0.353,DOG,0.279,xzxupwwpfx
958,vlieovbmoe,-0.0805,0.139,DOg
-0.129,oqpdypxjmp,0.3345,408,vulfxyapxf
0.18,bxsdmvhjed,xazxqbjnra,0.3255,0.009
0.0265,skcdajeoef,0.138,-99,dfnubotvns
442,Dog,lmkwmfatbg,109,115
0.3875,tchyartxcs,DOG,drwnzfdawk,0.3945
0.17,-200,434,ocldqvitln,zksstyplbl
wpuqinbovm,656,lhdecotxmf,zfogsztbcv,0.2125
cAt,jtzwdmnbry,jpahezougt,qaklkwdoob,xckidtltwb
zqulccihfs,wpqclwsetl,cat,-0.3565,7
nhzdjjpajp,rjygtdvogt,-862,bsioiqpgcl,coxxenrkph
-0.1795,sudrvujgaz,-561,kwcdxziadl,499
sdtiojvqcx,0.026,dOg,-0.0105,mnlxuqcjgx
-0.423,710,xngacttfhd,0.0485,0.4105
CAT,verdshmxti,dOG,-0.145,-0.3365
ffvixardss,220,-0.0935,fjfchompef,284
589,268,60,-0.483,565
38,0.041,bilwohggud,-583,-0.0755
-0.0725,qttvylhyqh,-765,465,923
tmyduiagxm,-0.049,-0.292,DOg,-0.4495
-836,dtxaxfyjqq,-214,0.17,hkrqceprvx
-0.16,nswzspsblv,owqtwybijb,0.0595,zylfctdscf
