qwkkbudbga,shslxukhhj,htaztngxdt,srkvulqtfc,mnfuqfutlk,yrsggookrv,zrrpdonxyg
817,152,-0.432,-824,wyqwtgazbp,eefuuagpkr,xkilrnquhe
CaT,-435,-217,797,933,doG,wyqdivcrtq
72,-0.3245,ddryiipuxd,232,862,uasieoxkkc,kqppbgzhnv
caT,rxqcomrgsf,qluaqyahuv,zlnjuivbmz,fqbsnlkldh,-0.047,-620
-0.386,cAT,-0.4795,0.4415,-368,-0.4705,fzbrpyvyxv
0.421,cAt,-231,CAt,emnuowtjtj,bdpvqlftxf,txbrvdvrcg
khvvokkeur,-341,0.0305,975,921,ulxvvyxxuk,0.4095
abqatdrufg,0.175,-49,lvswwiyqtw,DOG,caT,-733
-0.4745,0.455,-390,cAT,-289,-334,-0.053
Cat,-0.2115,0.494,413,0.0005,975,-34
caT,-945,-481,0.112,dog,Cat,789
688,0.4775,-0.4375,dog,dgjigtlsha,hspyncqbqu,-299
261,zsywjkioxb,0.361,sursgzhfll,0.2,cat,-0.477
229,-710,640,-369,-847,CAT,163
748,494,0.1665,CaT,cAT,-0.33,0.131
-548,912,DOG,-0.358,-0.357,izxetwibzj,-262
vgvcmnbjyb,108,-0.4645,CaT,-602,-0.4365,-0.318
cAT,Cat,relznzhufr,-0.136,CaT,0.0005,-248
519,-304,-400,lammwowtih,0.257,uskdzewltr,623
-0.2485,kfkxmeacmi,-0.2395,44,0.0225,Cat,Dog
racevwbsjj,644,973,CAT,-277,ampsahemvi,wvorycbjuc
lffaktqacn,261,-470,caT,pyugjldfhc,0.067,-0.261
0.0305,vzbvpmjydw,0.4435,-878,-56,253,-0.2175
115,-451,0.071,lzmpzwbuod,gczlbtcxsm,0.3865,cat
lspvkpxqws,0.4915,0.1805,-786,725,-811,CAt
vpkwegesyz,-307,xncfnsctpm,dhaxcjqjxe,0.2605,0.3175,dtnndviuik
320,-0.3255,997,-969,doG,gzlrsrkqbb,bofkexlrwk
cvgxtwesfv,wxndhsxdlh,0.348,-0.005,jdkpniojle,822,Cat
0.013,dOG,dog,caT,-0.464,-754,0.334
dog,312,arhznphtqm,-0.416,17,qydfsuskjs,emafnqsghk
-0.0325,0.3215,upxnaraabd,-0.234,992,-0.1465,DOg
0.1895,-38,iaytkdtkzh,-0.227,dog,-0.437,-161
-0.064,DoG,0.2255,-0.445,0.42,-201,ilwawhekpl
-320,CaT,rmyxcxmtqi,0.369,-425,mevwnfzzdp,jfsnritccw
-0.049,-201,DOg,-0.4365,avwspjqpdt,-0.4285,-10
-648,DOg,gerkrbfywa,-771,chdqzbdwdk,CAT,-0.3925
-0.371,mrwibsxpsh,-0.28,965,-412,bdkatbhngv,cAT
DOG,-537,0.1805,0.0555,skxaiyxgrm,CAt,doG
cAT,671,uhunifbxoy,DOG,0.033,-32,cerwntbpwb
cat,0.295,0.2545,doG,1000,wmxuuoorpj,0.293
-972,pegrhgwttb,360,136,doG,CaT,cAt
0.3675,0.1595,0.138,Cat,85,-0.146,-796
619,obbrdmgxgk,npddjicidu,xqfpfrzqus,682,709,lowsaqtzym
nvjgxybzfh,955,-399,ddpqmqnpqh,nkrflsbfat,0.196,493
dog,CaT,-986,-0.0255,-340,dOg,-526
qpejbcsshl,-0.4605,0.3655,bpksngpqpq,-0.106,0.4315,-0.028
-0.394,agyuwjpcqg,-0.086,597,-0.227,DOg,vvtvqyhztb
-0.109,776,-905,-32,-523,aemgacguvp,-0.083
sjnqppqgaw,xbcikdhghw,rfrvkukumg,lxabtzheke,179,0.004,kjmovpmkal
-622,ryykgdkbkv,0.2825,uvbajknucw,dtlvoanelk,265,-417
-485,guntdegdcq,ndkeuzxfil,xhehpyjlhs,fseanadgrd,CAt,-925
0.395,0.162,caT,0.139,0.1145,0.135,ttrkpvqrke
Dog,0.243,awtvsvndlh,rxecazojqz,0.448,994,kyjkjyshuu
hrwkvrwpxf,icnoxmivud,CAT,-0.344,-585,lplgfkfnmw,tugfopfxmu
114,137,841,dog,kkdofgyzqs,xkkjlmuzlk,dOG
-237,cAT,lddfljdcyk,-0.021,njhziintvl,kdrrujqvdx,0.2655
fpuwrdbhnm,224,gmqytjbkbr,disymtxpaf,ncqqljevtt,cAT,-0.015
429,30,unblomjgeb,-506,-694,gbtxlpetnt,-0.1745
Dog,zmyajbhicx,mbxclgdkrn,0.213,cAt,670,tatfgeousw
605,601,dfakcteblg,lrdrrdhvpl,caT,720,-0.2115
CAt,doG,DoG,cat,0.053,132,Cat
Cat,egkxdueliv,0.324,-0.433,0.1275,-0.0315,ljmzdzvxoq
549,-0.373,xcsnhythcd,CaT,0.3905,-0.1025,869
445,0.4305,0.073,-82,-210,310,CAt
