PET,ipbltnkrkq,qjukqtwyzi,tkljptxfcm,daliyaqpuw,qaskjiljnq
doG,-477,258,qwfxtodwrx,120,viinncyhpf
dOg,cat,-0.1685,cAT,0.4645,-0.0145
-141,ehoubkeqmp,-13,-0.466,-475,-671
CAT,-217,0.4025,-0.0905,nlxlkhikzs,CAt
CaT,-423,Dog,tgiguccmum,yvdkxeduyd,-442
dog,990,-0.295,qwwsfmcscf,-0.1755,-0.016
caT,doG,830,-0.489,0.129,rsbapmkizw
CaT,0.099,0.23,-0.1975,-0.0155,eyyfixgdlp
dOg,tagimokeji,dOg,0.2975,-0.3495,118
CAt,byxzseuczx,tlopieqwap,443,-0.149,-0.085
DoG,192,0.141,-580,ikscxsurut,kimxwjdeiu
dOG,-138,-0.256,-886,raojmjlfdh,Dog
doG,vvstyntffz,0.462,-0.4725,-663,vbcpmbjdjr
dOg,-0.3725,yjyiynxtit,-0.4755,325,160
CAt,0.368,uxhreyohav,CAT,doG,0.2415
cAT,0.4225,-125,971,0.342,tbrejhuvvy
zqtvkpnmnf,cAt,-781,cAt,636,DOG
Cat,wpeqjqkjyj,0.1425,ubbnsrkrad,-751,DOg
dog,0.4635,hyfgubnkxb,-869,-0.299,vovezoazek
cAT,smhmkmidgn,-0.155,-0.4145,toykuhkyrj,dOG
dOG,krkeebzpie,522,261,djoyaxwrzv,-0.3225
DoG,-705,0.378,-608,xsxiwmkjdv,jggfitryru
Dog,cyitipbdcp,Cat,641,opbufertyh,-0.2965
cat,dOG,-0.0865,817,0.201,147
doG,-0.112,727,-863,155,93
713,nehxzprmyq,pabzdzoytw,-289,-0.333,9
cAt,wmwegfxknv,225,464,cAT,-0.1925
CaT,-125,0.3365,763,-0.328,csusfgwqhg
dOG,dog,llersqizrv,euvvhkecht,pirzztrhmk,330
Dog,0.3925,ljzdpuutij,dog,0.078,twnehkorzd
-289,-164,Cat,uzhsxousio,DOG,gfbkbfgerq
CaT,pywujaoulj,0.116,qhpjozmehn,umbypueorn,-0.1335
dOG,dOG,0.335,0.4565,-453,-863
caT,696,rkgojqjxcj,anskzisquf,187,-0.1985
-0.024,542,CAt,0.4945,yoqhgqqiwq,hjwdfeorqy
CaT,621,cAt,-620,-943,cpkrmfogeh
dog,dog,0.4105,CaT,-0.4325,-464
dOg,pckatjvfcl,967,DOG,-496,0.497
Cat,-3,-0.058,doG,cat,0.0455
xtqdbqssii,Dog,-0.4925,0.319,0.174,whghgfxqaa
CAt,-949,-0.35,-598,-0.087,-346
CAt,bimmbpuzyv,415,-247,harsjygdxf,-0.351
DOG,zhognhchrc,-854,cvrjaonlwa,482,588
doG,-596,0.14,CAt,wzlmeyowec,ebasskqpre
-0.3755,cAt,-182,Dog,434,936
Cat,-708,909,Dog,-280,fzzqzfzsni
caT,-0.224,cAT,cAT,-387,DOG
qjtbkmbncx,DoG,791,cAT,0.302,cAT
dOG,Dog,doG,392,CaT,0.2165
CaT,-0.017,602,-591,iyejudrree,-751
caT,-749,ruhuyquhwm,-0.059,-0.419,319
dOg,vuafpjtuzb,dOG,-215,gheyvlzltp,agpvrabgab
dog,Cat,0.1535,0.1045,-0.054,bdpsjftxwc
-0.226,doG,fguadiblwd,-0.162,0.2455,pvamnpwwth
0.433,0.316,113,-0.2665,doG,-385
wpxjnpvfkw,-388,-344,-0.2025,-0.188,0.2
Dog,zozcerypyb,595,akcpwyubgh,-0.1375,0.144
DOG,0.1505,-0.0645,0.4265,cat,426
753,484,-0.3565,-978,dvmyyzapqk,caT
DOG,DoG,fcsayqjckm,csfyotytlf,-0.233,durpbflqdz
Cat,-0.4345,cAt,0.346,ivgfbrmaun,qyihyzayyh
doG,-0.061,0.3345,yvsvivvwsq,-658,0.444
DOg,dOG,133,-500,-518,-0.386
DOg,0.219,667,865,-452,0.399
Cat,cdtscdllgj,-850,-554,-869,-0.4
Dog,obubpatyfy,-0.408,342,kdfsoxtpqw,myvshrujzm
DoG,-0.336,-99,484,-0.2395,-673
cat,-117,-6,jjebdanewa,kkfzsvophr,655
DOg,-0.2225,0.3345,dOg,450,oekimooixg
cAT,pnnsilkenl,cat,vpuhmpyjqq,-837,-213
882,-995,dOG,axfalvwuwz,-0.29,0.119
72,dyxvchxlis,tyfffnbzrw,729,evokidoych,wcrnwfmhje
keyistqysd,DOg,cnugawvtjx,CAt,sjncuojumj,qxeloijdlu
ojjhswubja,-0.4745,jzrwmfnswt,0.4385,-600,ouvcokehfd
zcccowlpbi,0.2705,841,dOg,-411,0.2515
doG,-995,0.347,-645,orslogyzdh,-0.0415
CaT,-413,79,lpxxcioeps,737,-0.1755
dog,mczqpbmdyy,gprqjstofy,-0.193,-49,fqpyvpdvrn
Cat,-498,-0.137,-0.1915,cibalndpuy,0.2485
CAT,-0.4225,-0.133,vceqodiryk,hurklyvcga,497
dOG,dzqkcmdolg,tcwxsrxffh,-363,0.1005,0.1475
DOg,0.181,llqmoiccqh,0.119,-857,143
dOg,dzbygzxiqh,tpgdugrfrk,trifkzrbzd,-0.1615,dOG
Cat,ggjpwtolch,0.1405,Cat,0.0075,ogxwscmhbz
djefsmbzti,-453,-0.182,-0.2455,-0.2035,949
