umzfjggwtu,uolkhaqmsn,mqwlzmxjjv,ciqvwgmlys,byxkxzossv,PeT,kipbsrldlu
-0.0515,0.4675,0.1145,dOG,-24,DOG,uhcygpbipl
psotxnnjbi,jergesbzid,cat,573,-0.138,caT,-0.1805
-167,caT,xkpwjsvzsd,0.4875,0.208,Cat,-0.332
faakzyapik,0.006,-413,zyuksqvqgt,-0.2995,0.3775,mqclyowzrg
cAt,-472,-937,doG,798,doG,-766
zblfntptsf,0.1105,skunpiljlz,-449,21,cAt,-0.143
-0.1825,223,0.4825,gptzchzkwd,184,0.04,-592
pxvumlveqi,cat,0.435,225,mdjevdcvsl,Cat,-0.1965
jmcilzearm,sshryeagez,-740,rkvikweyvd,509,cat,-0.025
-736,572,-588,DOg,-519,CAT,-976
iuhomxgedf,584,925,443,-0.3995,CAt,CAt
cAT,pyqnmuixtw,-0.3465,0.313,jcqkbhajlh,CAT,qfnxjjfvcb
-0.493,0.366,0.176,-25,-0.123,Cat,tnolnmlzlb
caT,-702,uxfgtdarvd,903,hzshndbfkl,Cat,-735
mqolsynwej,-690,tvnddzmzca,fcbrkqelhl,-0.4275,Cat,736
ykwmhjqyal,bxxgfypner,0.313,rhjwurkrxe,zjnisubtev,-490,lrvdbosvvj
-0.32,DoG,esuyatrzxv,sqakeupjlh,-0.348,xsadfoupyc,huocsmdfhq
-0.3555,CAt,qzhrjvzyth,DoG,0.073,DOG,0.286
ftjengrgko,Dog,hgjkbzuqft,oaahykuxav,0.285,CAT,0.207
-0.0595,xflscqwzvo,Dog,0.416,0.2645,dog,-258
-346,-0.1445,DoG,-0.1595,jqmcfytbvj,doG,0.1855
474,0.48,ijarwjvfkf,tkdjmfcywd,dOg,caT,-850
-0.1035,cAt,DoG,-0.101,DOG,DoG,bwxpgqizcm
0.271,cat,890,ssclwrmzcg,93,183,dOg
0.164,-518,-0.1055,msnmxdgjrv,436,lvcblncsbj,CAt
-0.143,qasnaeyefq,btyjniidjk,wkdtxfyyro,-796,dOg,kcwqfictnz
0.107,nzywyzkefg,0.068,-4,191,CaT,-0.4245
CAT,0.347,alvfikptfh,ncsugfqqyi,hascwgobej,CAT,-0.457
-0.06,-0.1965,-67,Cat,0.3725,dOG,717
-0.2075,Cat,mvpankjmqf,0.3195,Dog,DOg,cAt
stdqzjksgz,-506,0.265,DoG,gokltzincw,642,0.404
DoG,196,-644,-0.443,-0.229,zvyefujmsl,-0.342
0.4345,avmukoredj,dog,Dog,dOG,0.178,-410
0.141,-0.445,CAT,fuaowisnmf,-0.379,CaT,DOG
0.0205,-0.042,528,-828,xccjvgbglo,651,CAT
-651,-197,fngfomxxou,caT,xvhjstbusm,dOG,909
dOg,fsudwyodzs,109,789,-0.0755,dOG,CAt
usgocbolaa,negnwxfbhm,cat,-548,dog,dOG,CAt
981,-183,mclfgbices,mqgiugmcgx,0.4655,doG,ssrhkbgaac
193,jmioozoeop,0.1135,590,-365,Dog,-0.365
roffscekmn,CaT,flyqodfqso,dpwvzcjzrr,-0.433,0.0965,-138
cat,vxngkfyaxs,xpfzsnbjui,-952,CAt,CAT,helveaqlaj
hcbrnuvoqz,0.056,184,0.4815,caT,CaT,bpbcvrzrok
cat,-0.006,niaeikhuhn,-503,0.409,0.3855,cbbfbnrbye
drvrkxatxn,dOg,emxmjnhama,xorykzxuqz,kinunlsian,287,pdcbminkjj
cphstxaxgm,-826,373,157,0.1835,Dog,-282
awiijbnpfr,dOG,-0.3945,0.1575,274,CaT,0.291
gfrluckftp,cat,-385,cat,-0.275,CaT,-965
ywcuqddltc,cat,-0.0245,dog,akyhynxvyq,doG,-0.187
-134,-509,0.4205,-721,-539,DOG,0.204
0.127,-0.483,-0.476,fzdycogneg,92,DoG,cAt
0.056,-0.091,80,-0.0955,227,DoG,etpiqtlzjf
xiwgtgsgdo,641,-0.033,unddmvjozl,manqactckn,cat,858
CaT,dOG,0.4245,0.284,CaT,cat,-753
361,-893,-0.0495,gaehmteuxw,919,efqgowomlq,tpwcvcealr
-0.461,jgsctqaipj,-432,doG,CAT,CaT,doG
rlhozhwlug,0.271,cAt,834,-856,DoG,dOg
sktndrhfap,-381,0.485,cat,CAt,CaT,cat
dog,CAt,-513,dog,-0.46,CAT,mnvdihaxqd
910,zsastknvjj,889,khiyhtbopa,oabogmmzia,jrrjaggnsl,-307
0.157,-0.0985,-0.1545,hterawekfi,0.329,caT,-0.103
-272,-0.0325,DOg,rliraoemnq,0.253,dog,0.303
DoG,pmqvaiuciu,0.1205,nsrqnrjunm,cAT,cAT,-731
0.0985,riaamtuspl,ffjkaxblbl,415,-23,caT,CAT
dOg,-0.2935,cAt,dOG,qamwdhjgki,gbuxsdofhi,-0.1545
hvsocvavgg,-835,-827,145,0.231,-524,qsindffzjz
vtnpqzwmod,kxtguwbakl,0.468,ypwkgsqlte,anwmwuqncj,CAt,-103
527,lablbsupjb,jbztthlczd,-0.453,-502,fkckmcisdt,-0.1895
0.2415,-107,-522,cAT,209,CAt,-0.467
0.2835,lefpfygxfo,DOg,bzwpcsdrif,vweeyvrpph,DOg,510
dtwsbibqxa,dOG,zvdkhevapd,DoG,Cat,dOG,gmiflyjpyw
-0.135,lljnqwyuqv,0.248,-794,mgbzhmkegp,doG,dOG
0.246,580,952,597,caT,CAt,kdafrltueb
-0.418,xxkhinnqlj,0.0345,0.0785,-0.037,mxfswqpfld,0.196
nkjxtndptm,zosbprqmih,pabvqqhuut,Dog,qbwousjuqx,Dog,0.4385
lmqnafymnj,-305,doG,doG,-883,CAT,519
826,rvesdxqdbv,DOG,bztngfkozv,fbwyaxesle,0.1505,khjpbsztim
9,bokquhzhsr,0.2385,-376,dwtbvfwcpx,DOg,ubsaemwzlx
DOG,0.194,lszuhnwcpc,njqkvnremr,535,doG,CAT
iurdftcvfq,-0.363,cAT,-483,0.1775,DOG,dOG
668,tikrueyric,-458,-0.2175,dog,dOg,omvvntbbjf
-111,-7,-0.1155,-100,esfnxxxdev,caT,0.3785
DOg,-0.1515,czvyxxolte,bewljxnclu,608,dOG,caT
dOG,-0.016,0.341,caT,dog,CAt,-0.16
bxintbjvgn,-912,ugkjowffgd,Cat,irqsvvpmks,Cat,caT
0.347,-761,-926,901,-424,CaT,gkjcodsxkx
-0.155,-287,qmkbdmocyz,700,-0.247,cAt,-321
-827,258,-54,0.1655,0.319,dOg,jxyqmqoetq
0.1455,thzfinvdrf,gomgswzbdu,-0.1495,spuhbmkywm,dOG,0.2585
0.1175,0.299,gryhjrhmwz,0.027,0.291,cAt,kbidrrvrlz
-0.371,dOg,-0.313,slvhpyzbbv,neulepkozj,dOg,-830
qzkhjdcwpq,-0.3595,uqqavgcgzh,rlkvipsgkj,-598,Cat,-189
723,dvqczmeqba,-130,cat,DoG,220,wykdkxkglb
-0.264,jinbgurfmm,doG,-327,-924,cAT,185
sbhridewbn,60,-556,-0.1745,-187,285,16
