PeT,betcwxmazy,giowtutvsq,riqkruhqkr,phoyntouuw
51,CAt,0.1395,DoG,trqaedxppp
caT,-0.4405,-101,-851,0.3005
cat,0.2655,bhpvyjgkhl,dOg,spqyzpzpvw
cAt,-0.4565,dxbisyetpz,cat,-999
xsvnalkdlp,-768,642,-52,-334
cat,dog,yojrjmeopd,DoG,0.192
dog,fheykmrzdg,-0.0825,-0.323,lqeioepgsx
CAt,470,rfjmxvoljx,0.1635,CaT
dOg,dnlqdvvvlh,weagxbyfgu,357,cAt
DOG,-768,-602,235,dog
CAT,vbzbhcvepm,Dog,qctawvogms,-0.3305
CAt,-133,DOg,-0.0645,cAt
doG,-160,abaaimdaei,-0.3565,nzdfxbaafy
CAt,eqhvvzkrgn,-900,0.025,CaT
DOg,-645,0.3795,-0.383,pqbnvasxbz
DOG,0.172,0.2695,310,814
CAt,0.0505,-0.391,-0.3515,0.27
DOG,0.013,-98,987,dOG
DOG,ysssvxcuxz,uwqijdyfoq,0.3075,30
-0.4015,0.366,-0.1055,sgjbpooxdc,0.1125
nyvstduibe,0.1385,0.4555,awwgkbduir,0.102
ldetyhvrsm,917,0.204,cAt,-532
31,143,-561,-0.253,-0.1235
457,agdvnhguvs,-0.021,yfsrtxsnsg,641
DOG,-412,CAT,DOG,dOG
Cat,39,-129,-559,-0.2225
cAt,0.1945,-204,szafrunnsm,647
dOG,750,xjzgcxytww,0.377,418
doG,953,-0.1545,514,dOG
CAT,-411,tfitvbujdu,dlctdufsnc,doG
caT,akgmpqgyll,0.1695,eghrklfnnh,wlvvqflfyh
dOg,CAT,0.231,-166,fkstagytuc
DOG,637,xgzbpeenos,bwtafypuwe,bzcvgsbcwi
doG,0.292,-613,lvnpwnzqwg,beqlbnenau
dOG,wurfmqapwf,0.133,-0.201,0.3675
0.0655,197,cAT,ndtlpfuaum,-0.176
CaT,-852,udrnhastgt,DOg,0.194
DOg,-156,-534,-917,102
599,0.217,-190,dOg,828
cAT,-0.3215,fkcwrjfvhq,-431,hgzupqlaad
dog,tjylucwrpd,schtnewbln,aeojwlapxc,DOg
DOg,-157,-433,-10,819
voipekyahl,541,dOG,cAT,0.323
cat,-454,ukshvdtszv,yclnhmxkbp,-946
CAT,0.157,-0.024,pldkklbaps,0.436
Dog,184,qdqynlocoq,qqptpiwjpa,nhatroqxve
cAt,dmjrzlnpvm,swtgidoriu,CAT,cat
DOg,pyeodmbveg,592,Dog,gtihxqxpgu
CAt,-0.4625,fnkdgsczre,CAt,uqsjhfbdyk
-0.044,-0.1785,dOg,DOg,990
doG,vplbhouefg,-0.259,piyvpjrzot,cat
qdwepkouno,0.238,755,572,CAt
cat,DOG,eiwuwqgftg,496,0.202
cAt,etmjjlrkqf,tzcvcgpugs,edtacgpkcz,caT
