jkylsesnrm,oovyqrfnle,hmwpzykynm,rtqmsrlnyu
0.044,CAT,DOG,192
-657,630,-384,-0.1945
-0.115,484,780,769
vuspemtyoq,-671,fsaxqbtskx,0.029
txyjeqljrg,dog,158,29
qjsryfjgao,-0.2705,-0.3975,-0.1865
0.425,-0.22,ofbeddfzjq,lmnkbkagez
0.139,kooqnfptpp,Cat,dOg
Cat,cAT,0.0525,bzsdqyesah
gxsbuzxhix,359,0.446,yjgwjrufcu
arfwcfynho,-0.233,ayguacoxgw,858
-865,-15,-0.273,qhjeqmhmzw
xmkymvidct,-0.0445,-171,dog
dOg,0.336,-440,-98
870,382,381,0.4355
uetykyxqyi,0.089,bwptbsdelc,DOG
-0.2775,0.0285,cat,-471
letpzxgzzb,-224,-0.1095,0.001
Cat,-877,931,-13
lvctopnixo,-0.4465,0.401,-0.1855
0.211,slpciscyic,-635,509
-868,zcxjstxfrx,DoG,dOG
214,475,0.0035,CAT
0.2455,gveyzzkjjt,-0.0675,-0.208
262,cat,901,-708
-0.283,-824,-547,-0.2
DOg,0.115,-211,0.265
DOG,-600,vsjuksghpr,734
dOG,43,yqsjyvodjt,osbhdnimvi
188,-0.2125,pkcrwucnwa,bnaixgxobh
108,-0.125,dog,gopcxeamuy
cbzoopkhvq,DOg,argoqmlffj,-0.419
Cat,-620,orqalupgfp,545
-586,-966,634,uyunzqpqja
0.055,-388,pvnygfxbon,473
