vmmmnmfphj,pghgltbspz,jdoxfkosbk
-0.256,-0.1025,jfekbxgtgz
0.2025,-460,dOg
0.3865,-0.3775,-0.1845
204,CAt,jbxbgyvfic
dOg,0.386,-285
wnbkwichdm,qozkgfxyuo,kvsuxtmyfg
izobxptoyx,rkrkobafwh,dog
36,davkggtysv,CaT
0.4615,-0.4465,0.2205
cAt,0.1145,dOg
dwfmnzjhkh,lhgedxdbzr,-0.211
0.239,lpigbbzaqr,cat
724,-997,-64
81,kunsrmygsb,lhapwexeen
0.425,0.191,-0.1165
hinttkafrz,-0.407,638
muafkwjxhg,-15,rkrrxlrvnv
-0.107,-0.3655,-507
cAt,fxhjvfwwox,0.3475
uifmrvlbof,0.1265,wrbemcbqdp
-0.01,-121,oztueyupst
cat,-0.275,0.0055
swlfsdeknf,-0.244,0.254
560,0.125,xxyuftnbws
-0.092,0.089,-568
uuqfcuvvmz,386,ootfamhmqn
bjnpewhajl,0.157,-0.3535
Cat,-737,-0.1545
spwnkkrggv,0.068,-141
zqnegcopgz,-453,cisbzmrfaq
-850,enqolveftb,482
qgbbgjfnus,lrrbwosqwo,260
-0.4285,-0.093,0.235
951,-0.394,0.1015
wkskhrlfaa,-821,-0.3785
606,268,549
0.421,-0.065,mpcptwwybv
706,-228,917
0.299,447,0.1475
-0.09,doG,lfoobhtocr
333,-0.1415,-0.245
604,-0.338,-0.172
542,oogspkxdfu,Dog
mlitslxigq,cAt,-248
19,DOG,nbbklnmdxc
qrjjlnwtgs,ieeuzmwukg,606
-719,Dog,0.345
jiwxtqneuc,-597,Cat
dog,-65,cffuzcdobk
0.1545,xaaiwjapmt,mydruopcui
-777,-648,-155
-0.319,umdanxspif,xbtfuuybjy
0.314,-0.3745,-0.4655
224,tyrsdobekt,-569
95,-535,Cat
-817,pgovffmgwx,-0.1395
tlenxdzslc,0.182,CaT
374,ydobxmzbpr,-0.5
dOg,puequhmnvm,wryuwjvntw
cAT,DOg,rwurpctvzc
-314,gkmyjirvib,-667
nohwfvsgwz,cbetiaegwf,cat
huahoefxrq,-0.0705,cat
0.231,0.1375,cat
0.3235,-582,rnougosbly
jnsbtbxsuq,-0.148,-448
