vcnztswhfl,haipjnpozt,rlbxoceqpe,hfnvorlume,PeT
ivvtpxeuam,btzhazlejt,-0.1695,-0.26,doG
doG,-508,-0.0595,-380,252
472,DOg,932,748,CAT
0.3295,0.309,xgmqdbiriy,-0.3455,0.286
nqtugmftfc,-115,dOg,2,qgsbjgvvdd
585,0.461,dibqdeeugq,CAt,vtbcedpeez
cat,Cat,-735,804,dog
-0.31,-359,790,caT,DoG
-0.0285,ywlgmjzffu,cAT,DoG,dOG
CAt,legpkxeboh,-0.2765,778,CAT
881,910,cat,evblqspaqd,CAt
cAt,789,zfhhkkebxl,707,doG
-0.2735,0.0315,-354,nxmnvpdjum,cAt
-0.2155,-0.088,189,ibpxtdndvi,-0.429
0.0565,0.253,-0.0215,435,CaT
-0.0535,-64,263,vnweqwereb,cAt
scptpscske,caT,hvyecifmwd,0.347,caT
incvccwdnz,-267,dOG,cAT,Cat
waaiocgjhw,28,cAT,slbjntiuxx,148
vuykdljtwm,cwcqtqifze,-950,0.0725,DOg
zclhbyvzua,-564,dog,0.2315,Dog
udaytsctmj,-904,hahmfhgymz,ywpzugkbml,vhrbytfcef
hducijlzej,-115,clbvnsdexp,0.368,0.1535
yjoxelpqlv,-681,wxkqzhdyny,outqtgxtxo,22
-896,cAT,183,qdxqwwecig,dOg
-0.2875,947,wdccdlfjyn,twscdhnoas,DoG
943,venjgsytfn,-0.137,lnhyzevnzl,vkazqbiiwt
-0.357,dxvmcfxxrq,uutwsqflhq,-633,-0.1445
Dog,CAt,-0.398,dog,Cat
-0.07,0.1595,tjaeervljs,-809,-134
