pet,gteelaqruf,gdnpvsjkbr,plgvdlvxou,twqvecpcak,elbtvvlihp
cAT,cAt,0.067,cAT,ifupzaeznr,wlsybnlsno
dog,-0.329,0.0025,-998,-123,dOG
cAT,162,-9,856,etcejgxowx,892
718,-282,DOg,bqojofpwub,0.224,-0.0105
cat,myvvsrmhev,473,-0.2835,370,iimdzplomc
655,0.2435,udqickjmea,610,onbcizrgyv,psvwwesvjz
dOG,caT,mczmnxtmxm,vdptjorgeo,-525,878
CaT,407,dOg,0.2875,qxpyhnhoan,dog
-0.407,601,cuytaigkxe,-991,-0.359,-315
DoG,0.496,CAT,lpzpzbjpuw,336,0.1485
DOg,utltvvmyjm,DOg,-32,zaxnukddph,-288
Dog,-0.129,yivwfpuemk,kqtvjfqupg,0.0175,140
opqmkckzdg,cAT,Dog,aenthihaqf,dOG,vljmcdmwoo
CAT,0.1895,hkajtlosdi,tlwcmbyysh,CAT,kyvxexajgi
-177,-0.0535,0.327,CAt,ljyuzssfkc,-272
-571,hmjkisiery,-55,-896,0.0095,nondetddtb
doG,0.165,406,ukrnfcvxvh,-143,-678
771,0.1305,8,jwwdwgrusu,xjgceffamn,fmpzosslbz
0.4715,608,jxlxuaixhe,-358,-633,hlyfjxpbgu
dOg,rcnotfxmew,787,-21,-307,DoG
310,0.3745,lilimkijcw,620,sxkpwkhydu,-335
cfnippujyi,hcbzjvxksg,yjvgyidefa,alnixqpoer,wrrcmszitu,ygzvxtpycf
Cat,-0.451,-807,-0.4015,-0.4015,wvdhvccfux
Dog,-0.3405,-34,155,342,DOG
dog,27,qmjzxgsemk,caT,guzmappcws,doG
dOg,-0.3645,96,0.459,jjgnktyqaq,dbskodnlzl
372,dOg,caT,0.412,caT,-0.392
pvddmximtq,898,pddjvyquon,0.356,enzaagabkj,0.416
172,zblguplvhi,0.067,dvfvnzibre,ugzwovhcrl,446
Dog,-132,CaT,ouheytdxub,cat,akwslhjhls
-164,yjfforutlr,tetypyqtya,DoG,-4,doG
DOg,0.24,CAT,bfeyxvrnct,379,tcclbojpak
Dog,minpaabnxo,-963,821,dpfffejvrh,-862
dOG,dOg,wkjkvlbjzj,606,suagodhmoo,-97
DOG,cAT,ubopsmncsh,46,-0.163,tjnlwwwspj
dog,knbohruvkl,-0.206,dog,0.477,CAT
DOG,iwbekncurq,180,sevhyncsbu,tmfyydpepk,589
dOG,457,-60,-192,-444,caT
CAt,vyfknqdbxa,pyivtsfspw,dOg,lemlxxytxa,0.093
0.3755,grhhokgakq,7,jgkpsxshbc,760,871
CAt,0.0895,826,0.181,-0.2425,kmdcfroccq
dOG,-622,iaujtvrxlf,kwvpjkprst,CAt,tfzsemlhsh
cat,qprsgyachz,Cat,-460,-0.4965,DOg
cAt,-130,0.129,-470,-0.397,doG
dog,cat,Dog,jkgsofpnbo,DOG,78
CAT,690,-0.0005,-452,-386,598
dOG,rsbkmdyvyp,-111,424,0.367,0.3585
DoG,-0.39,0.1925,-0.3915,caT,ffqgbdvhgh
cAT,-0.316,133,-418,0.3125,eswbulxeya
sagngzcjgn,-0.0555,-512,-311,-393,424
CAT,cAT,0.141,-102,Cat,0.4465
DOG,-598,761,iowjsukzea,cAT,wyyxtxuwqs
CAT,292,dOg,-496,681,kqayzuygdk
0.4415,olqazclruq,hwxzprvscw,-347,cAt,macpdwumbd
htusundqwq,-0.2265,Dog,-0.337,795,-0.2785
cat,myzvlbptat,373,CAt,-0.1605,-68
DoG,uavyebfdav,uvjlogvwhg,tdbpexrrcv,Cat,0.0905
cAt,-0.234,vwnikwonjw,-0.2655,DOg,-260
dOG,-0.1655,-938,wsrdyhxtwz,sxmszzypiy,cAT
cat,-0.096,0.034,dOG,wgqzcihpjr,-679
CAT,0.3165,qzhvtevsyz,591,-0.31,DoG
cAt,248,-367,422,riovbdrgqz,Cat
pdgfbuaiuz,-817,vvmwmgprjt,561,hmhdgyupmc,-0.1885
dog,doG,cAt,362,0.252,rdmlorlvaw
dog,caT,dOg,dieplaxgez,dog,-482
DoG,82,0.1725,78,nzbweucxkb,0.46
Dog,-272,cat,-535,fkwgmgwkuw,-491
CAt,0.2905,hnpxnjvdhu,-579,0.042,DoG
gsndtpuvfc,-0.0665,-0.0885,118,nhqfvdlxpc,DOg
Dog,iepyiylbgo,doG,-763,-0.439,-189
Cat,lgkqycemvo,-0.14,-429,dOG,zumyssolxq
478,cat,0.44,500,0.2165,-321
dOg,cwxwrkbbke,97,364,nrrkxyxykp,-868
-0.1565,boqbddsuzl,yzkcemupqd,DOG,-0.388,-0.304
Dog,tynrnetvew,Dog,DoG,cAt,Cat
CAt,ckblhwvihy,0.1885,CAT,cpmnmwjhaz,ldpqpmggwd
qxarvcxnvb,cat,-0.058,DOG,rgsswmnbnl,fyyqhieyar
pztecjpmoo,qrkwmvfyoq,-0.453,ybhhleqsyb,vnmrpqtqmc,hfkegodxxv
Dog,dltdushvhc,ezxzmcubis,evfoxlniee,gwonhjgois,-884
DOg,-217,0.0225,blopmtuynw,irdfjisohf,berhljlvem
35,0.106,yjtodswbjc,-0.2535,cAT,-0.216
CAT,943,0.4575,tqwnalihya,-575,0.253
CaT,CAT,CAt,gdtxdcufpl,-0.145,0.1895
mnjempkiyi,uikjqfkguq,nzvqcizoiw,rafbwejahi,kggcxbqiby,bxbbwkascb
DOG,891,0.4915,CaT,363,200
