curjkxbnco,Pet,zpbbjthnqe,gdjqyredxk,wymfmchykn,iotflgapeq,idaisgedht
ocrbfsivay,caT,vrbuozsehu,dneqevpugn,DOG,cAt,0.174
-0.444,436,-0.299,-456,wyzlspyusd,csvzqfpzsv,0.4985
vwchyhkkvv,DoG,0.284,0.0455,0.38,-485,vozdlyhvle
vzaykgzmlm,DOg,bfjhhgdkll,0.1345,-0.239,doG,780
0.0595,-650,ikwwbfsfnq,0.457,-781,CAT,vzrmlgglek
-883,doG,0.0125,hzouyfdqvh,-663,bllwvropng,-0.354
atybajqezw,734,bohvqrlfjx,0.322,-0.105,plxhlrjszm,238
0.2755,dOg,melrscfkdv,0.018,-317,hlqwkjfffo,-0.447
-256,caT,-0.192,xwvhvlldnk,CAT,dog,-0.3225
yttdtgzytc,CAT,DOG,CAT,cAt,sndqeitqzz,-439
CAt,Dog,0.052,880,-0.14,0.452,-22
0.274,0.094,-0.0425,0.333,-0.1955,tcaafyceqn,xznmrjnepu
933,cAt,pzgiflsnjl,-0.23,-0.446,dog,0.2705
-866,dog,0.2875,pjpevgaiuh,Dog,gpptzujyud,0.0865
59,cAt,CAt,323,0.045,cat,-0.1505
okqfkryeeg,CaT,0.3535,mbwqupzjbs,bxqncorycd,-0.457,-0.0205
klihmlfidt,DOG,ntfywjfuxr,caT,rfumoojvaw,cAT,726
cxxumgzmti,dOG,-506,-361,-0.0265,retvofpfyu,kwlepzpnor
vtpblwwwcx,Dog,-41,754,782,994,0.3865
718,Dog,dOg,-505,-0.0255,0.01,cAt
dOG,CAt,lsdwnosnwo,477,dOg,zvqcvaaatd,-640
-690,cAT,rkajclespv,tyzkkhbzqx,Dog,-0.4245,dOG
cAt,doG,kkjhngpnbe,cat,rlhmzbsimv,tmcpbxjhct,doG
0.0875,-0.1355,zshdglqqac,-171,0.142,btlgppxscq,gvxeghjibu
-930,0.184,kqeawbwheh,-204,phaywgokhd,-671,tdalhquhon
-875,0.376,DoG,qgogpvmaxx,pjuvzoqbfd,cat,0.135
-0.2605,Dog,dOg,zsqqrtyncx,duzluqaupv,dbhujaapop,awfljwvlzj
-0.3055,sofxbylucx,711,824,fztyyevfwy,-400,-0.4285
cAt,Cat,164,dOg,-426,0.2735,0.443
CAT,Dog,-0.199,DOg,-0.1765,cat,-0.403
cnafkfxirm,-0.3095,-316,0.072,-351,DOg,DOG
umpcmwpftn,-618,cAt,-454,iwsjosvyvl,perigcdbwl,bmemmuiadm
CAt,DoG,769,ufcwdwztkf,cAt,0.029,zgywxkjkjy
CAt,fngdvpmzhl,457,-0.3015,doG,0.4965,Cat
0.4325,48,304,545,gcrbwccdcc,473,-0.146
dog,avztsogwyk,cAt,dog,Cat,-0.2425,CaT
-0.374,Cat,-592,-991,0.4695,trmvpwzrrc,vlffypfmvg
0.1495,CAT,385,-0.059,0.222,cat,-497
-941,-926,0.393,0.054,-181,drawmlyvye,69
-613,373,-815,970,sszhgqyxws,caT,CAt
-221,DOG,0.258,-0.0585,Dog,0.462,pdvgmdxguw
673,dog,DoG,hsrvkrxnnh,-438,-0.478,-676
684,CAt,yflbyhfngo,nwzsriajpn,847,cAt,dOg
191,dOG,492,-854,DOG,enlfrojhxe,-684
wvyosopbkh,Dog,0.393,-950,rpcngipjcs,-803,-984
doG,DOG,dOg,-783,488,cfamunrnch,0.3255
792,caT,-643,fhzdcsmmay,0.289,doG,-0.4515
-813,dOg,Dog,yavlztuiyw,0.0425,-806,84
-0.002,CaT,433,DoG,-0.0315,rrbzapxkdg,cat
-0.142,doG,-869,524,0.117,-0.022,645
-220,DOg,189,-0.3995,120,54,-0.218
ujjyyseaok,-123,-0.379,-963,-0.482,646,-417
-567,doG,sobapyrkmc,0.405,lwetemlaei,-0.134,grxbmzzndb
CAT,-690,281,902,-0.1705,-0.4165,ipbrsttzcy
cnnvkacboj,CAt,lpmlkfikxy,gpzeyolave,Dog,885,dog
676,-674,210,624,0.127,hwqfraoatm,0.047
-0.2275,0.1845,kayuydrkwp,wrjpodgoiy,0.0065,-0.0995,dog
0.196,dOG,CAT,115,-0.09,0.2105,opmaypkohj
627,0.4425,cAt,-312,0.357,8,-93
cAt,cAT,577,87,-914,vbuxjqbiez,-0.1845
rxnlhlnnox,dOg,onaotpwzyi,-0.0745,-240,0.3065,-177
vnwoctkmcn,dOg,Cat,qlxvpkudxc,664,-664,xcqtjevodq
0.001,Dog,182,-0.3335,yoxsvbqtjt,DoG,-0.291
-0.155,-0.206,smhgovikyt,pewqgoeubm,-818,rdmggxrtto,230
-267,DOG,-0.4315,-343,otcwtyibwn,zxpudvkovy,-0.102
0.417,Cat,-0.093,11,-661,Cat,izmbqegmjt
370,DOg,230,0.3215,-609,iwxykdgwul,DOG
cat,dog,cAt,388,-37,-510,0.4665
-0.17,DoG,rkxqqwysme,vktnhfqhzu,340,454,gbpqjaalhk
xvlooolasd,CAT,-849,-336,xjkxdfbuuf,CaT,-0.248
0.2325,0.429,-985,dOg,axykjphfcd,301,268
CAT,dOg,0.4615,pphmzogobd,0.1855,0.144,0.3715
doG,CaT,0.363,jkudwaublb,-137,-533,olarbqfipo
coyjydhaie,510,xbmoosgndk,zfsytaiuup,361,-0.254,cjncwfhhpp
-374,dOG,-0.4375,-867,taddrggraj,-337,-517
0.336,dog,peysreajdz,0.3335,-347,iaeaasrxiu,107
-0.2565,doG,-0.2095,caT,357,pbeqbleynp,0.4495
0.0155,Dog,0.0925,Dog,526,0.142,doG
-432,dOg,mlgtshodrw,dshpssziva,-0.009,dog,dOG
DOG,cat,rvtttcijwd,-211,dOg,lbrvrpmytn,dOG
95,0.3735,hafyrkegps,CAt,273,kynrbnxmwg,-673
