jjdsayocno,pEt,tapiplxwrr,jbhaijlsso
dOG,DOg,utkohxkcsa,-0.21
wcinmuatoj,cAt,-0.3,-98
spsfsdqaqs,DOg,DoG,seoipborrl
-0.463,CAt,0.1565,-0.4835
-4,CAT,111,988
zvrvxpifmy,zkswmzxmxt,-823,cat
0.2585,cat,0.4145,-0.119
600,DoG,irbghpxbui,0.254
-913,Dog,ncxdfhmxzq,-0.169
0.47,Cat,-913,gyvszapvag
-0.3935,covvtjjgiv,-0.1745,0.327
846,-0.372,868,0.266
doG,tutexzwlfo,-0.1775,hvrjuqvpeu
jnsrtwtsrt,dOG,-202,caT
-490,-550,0.418,Dog
-0.399,Cat,dekvodgnid,-396
0.0265,Cat,400,160
elblqlunqe,caT,Cat,rkfgwfrnxx
811,CAT,dOG,DoG
580,CaT,-0.0945,gzhswqohpu
wnicwfctug,cat,0.251,796
299,CaT,0.0755,zlzowstzrr
-393,cAT,dOG,fpojmgxtne
mirclutxnh,-163,gctmraaipi,-767
DoG,avefmxspyx,0.372,dOg
doG,Dog,0.405,wcrvkxlaey
nfbcmojwrp,dog,pgbmwpxaqa,dxfwbcvowe
-525,cAT,307,0.4195
0.246,DOG,246,bzecrhvvvo
-137,awoqqtamxi,-0.1765,750
0.274,90,hhxrbadmae,0.0565
dOG,DOg,caT,-54
btkzjwduvo,Dog,0.418,CAT
0.091,0.0035,CAT,0.2895
caT,Dog,zdhagynpdj,bcuqtdmkde
caT,dog,-104,-99
-0.0135,cAT,-0.027,hjyxjdpvbc
0.17,caT,ovszsrhkop,-0.447
191,cAt,-0.3505,dog
-913,DOg,flwphfhnqu,oihiuafhoj
-751,dOG,CaT,-25
cxohogbgcc,380,expairpcag,780
0.315,svrioliaiw,814,flgsslcpqd
0.372,Cat,qieosgaodg,-0.039
qgxuxnmnso,byltkhvblz,-0.3575,-281
128,cAt,xccqgyfhug,-27
-0.3865,0.315,-0.044,-39
-712,doG,caT,guirihakhf
